f0:82:61:46:9e:a9,-74
34:8a:ae:6b:5e:6f,-80,-76
dc:fe:07:8c:bd:f8,-90
b8:ee:0e:ba:fc:a2,-79
34:8a:ae:6b:5e:6e,-66
88:a6:c6:7b:56:96,-83
58:d5:6e:a9:68:33,-89
06:90:d8:dc:2b:2d,-75,-74
34:64:a9:87:16:87,-90,-81
92:72:82:f2:08:76,-84
18:d6:c7:4d:3b:ee,-63,-57
18:d6:c7:4d:3b:ec,-45,-46
98:13:33:4a:7f:f8,-85,-81
ac:f1:df:c8:c1:aa,-90,-86
60:e3:27:a1:06:17,-83
18:90:d8:dc:2b:2d,-74,-75
18:90:d8:dc:2b:2f,-82,-71
18:90:d8:dc:2b:2e,-59,-51
c4:09:38:6d:3b:09,-47,-45
9c:c8:fc:2b:42:b2,-73,-72
f8:ab:05:4f:90:86,-68
f8:ab:05:55:49:b6,-86
44:e9:dd:4f:50:ea,-78
