_id,gp25,gp26,gp27,gp28,gp29,gp30,gp31,gp32,gp33,gp34
615f71793d0c66082ceff04a,,"[{""BSSID"":""a4:ce:da:58:e1:4f"",""RSSIs"":[-50,-53,-47,-50,-45,-48,-48,-46,-46,-47,-46,-48,-48,-51,-45,-46,-46,-46,-44,-44,-45,-47,-43,-44,-46,-46,-45,-45,-47,-46,-46,-45,-46,-46,-46]},{""BSSID"":""70:f1:96:86:9f:76"",""RSSIs"":[-54,-51,-53,-54,-52,-54,-54,-54,-54,-54,-52,-54,-54,-50,-50,-52,-52,-52,-52,-50,-51,-52,-52,-51,-52,-52,-52,-53,-53,-53,-52,-52,-53,-53,-53]},{""BSSID"":""78:dd:12:1e:3b:1a"",""RSSIs"":[-85,-82,-85,-89,-81,-80,-80,-80,-80,-80,-80,-82,-82,-82,-81,-82,-82,-91,-83,-82,-78,-82,-82,-80,-81,-81,-81,-81,-82,-81,-80,-81,-81,-82,-91]}]",,,,,,,,
615f71793d0c66082ceff04b,,"[{""BSSID"":""a4:ce:da:58:e1:4f"",""RSSIs"":[-49,-47,-47,-48,-46,-45,-53,-43,-37,-36,-36,-36,-37,-36,-37,-37,-36,-36,-36,-35,-37,-37,-36,-37,-37,-35,-36,-36,-37,-37,-37,-36,-36,-37,-36]},{""BSSID"":""70:f1:96:86:9f:76"",""RSSIs"":[-57,-58,-56,-57,-60,-59,-58,-59,-57,-59,-58,-57,-57,-59,-59,-59,-59,-56,-57,-56,-58,-59,-57,-58,-56,-55,-57,-57,-58,-57,-59,-58,-58,-58,-57]},{""BSSID"":""78:dd:12:1e:3b:1a"",""RSSIs"":[-85,-87,-83,-86,-83,-82,-86,-82,-83,-83,-82,-82,-82,-82,-83,-81,-83,-83,-83,-83,-82,-83,-82,-83,-82,-83,-83,-82,-86,-83,-83,-82,-82,-86,-82]}]",,,,,,,,
615f71793d0c66082ceff04c,,,"[{""BSSID"":""a4:ce:da:58:e1:4f"",""RSSIs"":[-49,-50,-47,-47,-47,-48,-47,-47,-47,-48,-47,-48,-47,-47,-48,-47,-48,-47,-48,-48,-48,-48,-47,-48,-48,-48,-48,-48,-48,-48]},{""BSSID"":""70:f1:96:86:9f:76"",""RSSIs"":[-50,-51,-54,-51,-50,-50,-51,-51,-51,-51,-51,-51,-53,-51,-51,-52,-51,-51,-51,-51,-52,-51,-52,-51,-50,-50,-52,-52,-51,-50,-52,-51,-51,-51,-52]},{""BSSID"":""78:dd:12:1e:3b:1a"",""RSSIs"":[-80,-80,-80,-80,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-80,-80,-79,-80,-79,-79,-80,-80,-80,-80,-80,-82,-83,-82,-81,-83,-81,-81,-93,-82,-81]}]",,,,,,,
615f71793d0c66082ceff04d,,,"[{""BSSID"":""a4:ce:da:58:e1:4f"",""RSSIs"":[-56,-56,-52,-47,-47,-47,-47,-47,-47,-48,-47,-47,-47,-47,-47,-47,-46,-47,-47,-47,-47,-48,-47,-47,-47,-47,-47,-46,-47,-47,-47,-47,-47,-47,-47]},{""BSSID"":""70:f1:96:86:9f:76"",""RSSIs"":[-52,-54,-55,-55,-55,-56,-54,-53,-54,-56,-52,-54,-54,-55,-55,-55,-55,-54,-55,-55,-55,-55,-55,-55,-55,-55,-55,-54,-53,-54,-54,-54,-54,-55,-53]},{""BSSID"":""78:dd:12:1e:3b:1a"",""RSSIs"":[-79,-75,-75,-76,-78,-79,-78,-78,-78,-76,-76,-77,-76,-76,-76,-76,-76,-76,-77,-76,-76,-76,-77,-76,-78,-76,-75,-76,-76,-76,-75,-76,-77,-77,-75]}]",,,,,,,
615f71793d0c66082ceff04e,,,"[{""BSSID"":""a4:ce:da:58:e1:4f"",""RSSIs"":[-58,-45,-46,-46,-45,-45,-45,-45,-44,-45,-45,-45,-44,-44,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-44,-45,-44,-45,-45,-45,-45,-45]},{""BSSID"":""70:f1:96:86:9f:76"",""RSSIs"":[-51,-52,-51,-51,-51,-51,-52,-51,-51,-52,-51,-52,-51,-51,-52,-52,-52,-51,-51,-51,-51,-52,-52,-52,-52,-52,-52,-52,-51,-52,-52,-52,-51,-51]},{""BSSID"":""78:dd:12:1e:3b:1a"",""RSSIs"":[-83,-82,-81,-82,-83,-83,-84,-84,-82,-83,-81,-81,-89,-81,-81,-82,-81,-79,-90,-80,-80,-82,-81,-81,-81,-81,-82,-80,-81,-81,-82,-82,-82,-82,-82]}]",,,,,,,
615f71793d0c66082ceff04f,,,"[{""BSSID"":""70:f1:96:86:9f:76"",""RSSIs"":[-51,-46,-45,-45,-45,-46,-46,-46,-45,-46,-46,-46,-45,-46,-46,-46,-46,-46,-46,-45,-45,-46,-46,-45,-46,-46,-45,-45,-46,-46,-46,-46,-46,-45]},{""BSSID"":""a4:ce:da:58:e1:4f"",""RSSIs"":[-45,-51,-52,-50,-50,-52,-51,-51,-51,-51,-51,-51,-50,-51,-52,-51,-51,-51,-50,-52,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51]},{""BSSID"":""78:dd:12:1e:3b:1a"",""RSSIs"":[-79,-79,-79,-76,-79,-79,-79,-79,-78,-78,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-78,-79,-79,-79,-78]}]",,,,,,,
615f71793d0c66082ceff050,,,,,,,,"[{""BSSID"":""a4:ce:da:58:e1:4f"",""RSSIs"":[-51,-52,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-51,-51,-51,-51,-50,-51,-51,-51,-51,-50,-50,-50,-50,-50]},{""BSSID"":""70:f1:96:86:9f:76"",""RSSIs"":[-57,-55,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56]},{""BSSID"":""78:dd:12:1e:3b:1a"",""RSSIs"":[-88,-75,-75,-75,-76,-76,-76,-89,-77,-77,-76,-76,-76,-76,-76,-75,-76,-76,-76,-76,-76,-76,-76,-76,-76,-75,-75,-75,-75,-75,-76,-75,-76,-76,-75]}]",,
615f71793d0c66082ceff051,,,,,,,,"[{""BSSID"":""70:f1:96:86:9f:76"",""RSSIs"":[-52,-52,-53,-53,-53,-53,-53,-53,-53,-53,-53,-53,-53,-53,-53,-53,-53,-53,-53,-53,-53,-53,-53,-53,-53,-53,-53,-53,-53,-53,-53,-53,-53,-53,-53]},{""BSSID"":""a4:ce:da:58:e1:4f"",""RSSIs"":[-54,-49,-55,-55,-55,-54,-54,-55,-55,-54,-54,-55,-54,-54,-55,-55,-54,-54,-54,-55,-55,-53,-55,-55,-55,-55,-54,-54,-55,-54,-55,-55,-55,-54,-54]},{""BSSID"":""78:dd:12:1e:3b:1a"",""RSSIs"":[-77,-76,-77,-76,-88,-76,-77,-77,-77,-76,-76,-76,-76,-76,-76,-77,-76,-76,-76,-76,-76,-77,-77,-88,-76,-77,-77,-77,-76,-76,-77,-77,-76,-76,-76]}]",,
615f71793d0c66082ceff052,,,,,,,,"[{""BSSID"":""a4:ce:da:58:e1:4f"",""RSSIs"":[-53,-52,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50]},{""BSSID"":""70:f1:96:86:9f:76"",""RSSIs"":[-50,-50,-52,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-52,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51]},{""BSSID"":""78:dd:12:1e:3b:1a"",""RSSIs"":[-79,-76,-77,-77,-77,-76,-76,-77,-77,-77,-78,-79,-91,-77,-78,-78,-77,-78,-77,-78,-78,-78,-78,-78,-78,-77,-78,-77,-78,-78,-77,-78,-78,-78,-78]}]",,
615f71793d0c66082ceff053,,,,,,,,"[{""BSSID"":""70:f1:96:86:9f:76"",""RSSIs"":[-49,-48,-48,-48,-47,-48,-47,-47,-47,-48,-47,-47,-47,-47,-47,-47,-48,-48,-48,-49,-49,-48,-48,-48,-48,-48,-48,-48,-48,-48,-47,-48,-47,-47,-48]},{""BSSID"":""a4:ce:da:58:e1:4f"",""RSSIs"":[-57,-55,-55,-54,-54,-54,-54,-54,-54,-53,-53,-55,-57,-55,-55,-55,-54,-55,-55,-55,-54,-53,-54,-54,-55,-55,-54,-54,-54,-54,-54,-54,-54]},{""BSSID"":""78:dd:12:1e:3b:1a"",""RSSIs"":[-74,-73,-73,-73,-73,-73,-74,-73,-73,-73,-73,-73,-73,-74,-74,-74,-73,-73,-73,-73,-74,-74,-73,-73,-73,-73,-73,-74,-74,-74,-73,-73,-73,-73,-73]}]",,
