18:90:d8:dc:2b:2e,-62,-67,-63,-62,-63
f8:ab:05:4f:90:86,-62,-66,-66
34:8a:ae:6b:5e:6e,-66,-71,-64,-67
18:d6:c7:4d:3b:ec,-58,-62,-60,-61,-60
c4:09:38:6d:3b:09,-24,-28,-24,-23,-25
