CF:27:BE:19:4E:31,-60,-58,-59,-59,-60,-58,-60,-59,-58,-60,-58,-60,-59,-59,-59,-59,-60,-60,-60,-60,-59,-59,-59,-59,-65,-65,-59,-59,-59,-59,-65,-65,-59
CA:D9:80:DE:59:61,-72,-72,-72,-75,-75,-76,-75,-71,-72,-74,-75,-72,-72,-72,-72,-74,-74,-85,-74,-74,-74,-74,-75,-85,-85,-72,-72,-73,-73,-85,-72
CE:F1:1F:F8:97:20,-76,-72,-75,-76,-76,-76,-77,-78,-77,-79,-77,-76,-78,-78,-77,-76,-80,-79,-79,-80,-76,-78,-78,-77,-77,-77,-85,-84
FC:B0:61:E1:7F:E2,-79,-78,-78,-84,-76,-83,-82,-82,-81,-78,-77,-79,-79,-76,-76,-77,-82,-78,-77,-76,-77,-78,-80,-77,-77,-77,-77,-77,-77,-77,-77
