f0:82:61:46:9e:a9,-78
a0:8c:fd:5e:48:c3,-78
70:8b:cd:c8:b1:30,-75
84:16:f9:9f:45:e9,-88
00:23:6a:75:42:66,-84,-86
12:08:b1:54:f0:9c,-84
98:13:33:4a:7f:f8,-74
c0:7c:d1:0b:3a:78,-84,-87
18:90:d8:dc:2b:2d,-92,-90
18:90:d8:dc:2b:2e,-72
64:66:24:f2:ae:36,-90,-90
f8:ab:05:4f:90:86,-60
f8:ab:05:4f:90:85,-83
f8:ab:05:4f:90:87,-79,-82
34:8a:ae:6b:5e:6f,-78,-90
62:e3:27:a1:06:14,-85,-90
b8:ee:0e:ba:fc:a3,-87
34:8a:ae:6b:5e:6e,-58,-68
86:a0:6e:f3:15:2f,-88
18:60:24:d8:98:0a,-72,-77
5a:d7:75:f8:18:ed,-80
06:90:d8:dc:2b:2d,-91
e6:ab:05:4f:90:85,-84
18:d6:c7:4d:3b:ee,-83
50:c7:bf:a2:64:70,-88
18:d6:c7:4d:3b:ec,-66,-64
ac:f1:df:c8:c1:aa,-88
3c:7a:8a:fd:87:d4,-90
84:a0:6e:f3:14:2e,-89
c4:09:38:6d:3b:09,-49,-48
9c:c8:fc:2b:42:b3,-92
9c:c8:fc:2b:42:b2,-71
f8:ab:05:55:49:b6,-79,-83
