e8:2c:6d:0d:ee:a2,-89,-90,-88,-82
a0:8c:fd:5e:48:c3,-84,-89,-77,-78,-85,-80,-84,-80,-86,-79,-86,-84
3c:7a:8a:fd:23:d8,-83,-84
cc:32:e5:31:fb:b4,-89
2a:f5:a2:eb:f3:25,-82,-82,-86,-84,-83,-84
98:13:33:4a:7f:f8,-88,-87,-83,-85,-86,-83,-84,-82,-85,-85,-80,-85,-83,-85,-84,-82,-85,-87,-84,-84,-84,-85,-83,-85,-82,-81,-83,-83
60:e3:27:a1:06:17,-83,-81,-81,-83
18:90:d8:dc:2b:2d,-91,-93
c0:7c:d1:0b:3a:78,-88,-88,-89,-91
de:54:d7:1c:8b:9b,-89,-88
18:90:d8:dc:2b:2e,-75,-70,-71,-70,-71,-72,-71,-73,-71,-73,-72,-72,-72,-71,-72,-71,-73
f0:82:61:46:9e:aa,-89,-89,-89
38:70:0c:bb:e0:89,-88,-90,-87
54:64:d9:eb:7b:8f,-86
b8:ee:0e:ba:fc:a3,-87,-83,-82,-80,-80,-79,-80,-81,-79,-78,-79,-80,-80,-81,-79,-79,-80,-80,-79,-81,-79,-79,-79,-79,-81,-80,-79,-80,-80,-81,-80,-79,-80,-80,-79
34:8a:ae:6b:5e:6f,-89,-87,-89,-88,-88
dc:fe:07:8c:bd:f8,-86,-86,-86,-85,-84,-84,-83,-84
b8:ee:0e:ba:fc:a2,-63,-68,-63,-68,-71,-64,-63,-69,-63,-69,-67,-64,-64,-67,-67,-66,-62,-68,-62,-63,-63,-63,-63,-63,-66,-67,-67,-67,-63
34:8a:ae:6b:5e:6e,-66,-65,-62,-61,-61,-61,-61,-61,-65,-64,-64,-62,-61,-63,-64,-63,-62,-63
18:60:24:d8:98:0a,-68,-72,-71,-72,-69,-70,-77,-66,-71,-64,-65,-72,-67,-71,-70,-71,-69,-70,-71,-64,-69,-66,-69,-69,-67,-71
5a:d7:75:f8:18:ed,-85,-87,-83,-86
e6:ab:05:4f:90:85,-82,-77,-76,-76,-76,-77,-77,-77,-76,-77,-77,-77,-76,-76,-76,-79,-81,-79,-79,-79,-78,-78,-79,-77,-78,-80,-77,-79,-79,-79,-79,-80,-78,-81,-80
6c:ca:08:bf:62:95,-90,-89,-89,-90,-88,-88,-92,-90,-91,-89,-86,-88
18:d6:c7:4d:3b:ee,-80,-81,-80,-82,-81,-80,-81,-82,-82,-80,-79,-81,-78,-79,-79,-78,-79,-79,-80,-79,-78,-80,-81,-80,-80,-80,-80,-79,-80,-80,-80,-79,-80,-81,-81
50:c7:bf:a2:64:70,-90,-87,-88,-89,-87,-89,-90,-90,-93,-89,-91,-88,-90,-92,-89,-90,-90,-92,-92,-89,-88,-90,-88,-88,-88,-91
18:d6:c7:4d:3b:ec,-67,-62,-62,-62,-62,-62,-63,-62,-67,-62,-63,-63,-62,-63,-60,-60,-60,-60,-62,-61,-61,-61,-61,-62,-61,-61,-62,-62,-64,-62,-63,-62
5a:d7:75:f8:11:d9,-88,-89
c4:09:38:6d:3b:09,-51,-54,-51,-50,-50,-50,-49,-48,-45,-48,-51,-50,-50,-52,-55,-50,-51,-49,-50,-46,-46,-46,-47,-47,-48,-47,-50,-53,-52,-51,-50,-49,-49,-49,-49
f8:ab:05:55:49:b7,-89,-88,-89,-89,-90,-89,-89,-91,-90,-89,-88,-89,-89,-88,-89,-88,-89,-89,-90,-90,-87,-89,-87,-89,-89,-90,-89,-91
9c:c8:fc:2b:42:b3,-81,-83,-82,-83,-83,-83,-82,-84,-83,-83,-83,-83,-83,-82,-81,-81,-82,-83,-84,-83,-86,-85,-82,-84,-83
5a:d7:75:f8:1e:6d,-88
9c:c8:fc:2b:42:b2,-59,-71,-71,-60,-60,-62,-59,-60,-76,-61,-61,-62,-74,-72,-74,-61,-61,-75
c4:04:15:17:e1:90,-86,-83,-87
f8:ab:05:55:49:b6,-74,-69,-66,-63,-66,-67,-68,-76,-69,-69,-68,-70,-72,-68,-68,-68,-69,-67,-71,-69,-67
44:e9:dd:4f:50:ea,-78,-79,-77
f0:82:61:46:9e:a9,-70,-69,-71,-73,-84,-74,-76,-70,-72,-69,-72,-71
da:13:99:7b:d9:5e,-81
54:64:d9:f7:ac:50,-81,-79,-79,-82,-81,-79,-78,-80,-79,-79,-77,-78,-76,-81,-77
00:23:6a:75:42:66,-90,-83,-81,-80,-80,-78,-79,-83,-79,-80,-81,-84,-82,-79,-79,-81,-80,-80,-78,-80,-80,-80,-80
88:ad:43:cf:e7:38,-76,-76,-74,-75,-76,-78,-74,-77,-76,-78,-81,-76,-79
50:c7:bf:a2:64:6f,-70,-78,-76,-78,-75,-75,-78,-82,-81
64:66:24:f2:ae:36,-87
ec:08:6b:b6:59:0a,-87,-89,-84
f8:ab:05:4f:90:86,-57,-56,-56,-57,-57,-58,-59,-62,-58,-57,-59,-60,-59,-59,-57,-59,-58,-59,-58,-58,-56,-58,-57,-60
f8:ab:05:4f:90:85,-81,-77,-76,-76,-77,-77,-78,-77,-76,-76,-77,-77,-77,-76,-76,-80,-80,-79,-80,-80,-79,-78,-79,-78,-78,-78,-77,-79,-78,-79,-78,-80,-77,-81,-79
f8:ab:05:4f:90:87,-80,-74,-72,-75,-72,-74,-74,-69,-71,-73,-76,-73,-74,-71,-71,-78,-75,-72,-72,-71,-71,-72,-75,-74,-73,-71,-72,-71,-71,-71,-72,-71,-70,-70
40:65:a3:a8:a7:4e,-86,-85
58:d5:6e:a9:68:33,-80,-78,-82,-74,-76,-76,-80,-78,-78,-72,-77,-78,-77,-81,-79,-76
ac:f1:df:c8:c1:aa,-86,-86,-84,-85,-86
7c:8b:ca:f9:9a:95,-84,-88,-83,-86,-85,-90,-84,-85,-84,-81,-86,-87,-87
58:d5:6e:a9:68:34,-89,-86,-86,-87,-89,-88,-87,-86,-88,-88,-85,-85,-88,-87,-85,-88,-87,-91,-87,-88,-88,-89,-88,-85,-85,-85,-86,-87,-86,-86,-87,-87,-88,-85
18:a6:f7:bc:ed:39,-75,-74,-72,-73,-71,-70,-73,-70,-74,-74,-71
f4:f2:6d:fc:76:6a,-87,-86
ec:ad:e0:d4:e8:f8,-77,-82,-77,-80,-81,-77,-75,-79,-79,-81,-79,-80,-81,-79,-79,-81,-76,-70,-77,-78,-75
