18:90:d8:dc:2b:2e,-69,-69,-69,-69
34:8a:ae:6b:5e:6e,-65,-63,-62,-63,-63,-64,-64,-64,-64,-64,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-62,-62,-63
18:d6:c7:4d:3b:ec,-62,-61,-61,-60,-60,-60,-60,-59,-59,-59,-59,-59,-59,-60,-59,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60
c4:09:38:6d:3b:09,-45,-43,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41
f8:ab:05:4f:90:86,-56,-56,-56,-56,-55,-55,-55,-55,-55,-55,-55,-55,-55,-55,-55,-55,-55,-56,-56,-56,-56,-56,-55,-56
CF:27:BE:19:4E:31,-75,-73,-72,-71,-70,-69,-69,-68,-68,-68,-68,-68,-67,-67,-67,-67,-67,-67,-67,-67,-67,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66
CA:D9:80:DE:59:61,-82,-82,-82,-82,-82,-82,-82,-82,-82,-81,-81,-81,-81,-81,-81,-81,-81,-81,-81,-81,-81,-81,-81,-81,-81,-81,-81,-81,-81,-81,-81
CE:F1:1F:F8:97:20,-74,-75,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74
FC:B0:61:E1:7F:E2,-81,-80,-79,-78,-78,-77,-76,-76,-76,-75,-75,-75,-75,-75,-75,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74
DB:4F:6E:19:A2:52,-90,-90,-91,-91,-91,-91,-91,-92,-92,-92,-92,-92,-92,-92,-92,-92,-92,-92
DF:5A:33:2A:96:47,-91,-89,-87,-86,-85,-85,-85,-86,-86,-86,-86,-86,-85,-85,-85,-85,-86,-86,-86,-86,-86,-86,-86
C2:3B:C4:50:F8:6B,-84,-85,-86,-86,-85,-85,-84,-85,-86,-86,-86,-86,-86,-86,-86,-86,-85,-85,-85
