18:90:d8:dc:2b:2e,-58,-67,-61,-61,-61,-84,-63,-83,-62,-63,-54,-63,-63,-62,-63,-62,-60,-61,-62,-61,-61,-75,-61,-62
34:8a:ae:6b:5e:6e,-63,-57,-61,-59,-59,-59,-57,-59,-59,-57,-62,-56,-62,-55,-62,-61,-55,-57,-57,-56,-58,-46,-61,-61
18:d6:c7:4d:3b:ec,-62,-56,-57,-58,-58,-56,-59,-60,-50,-58,-57,-60,-60,-60,-59,-59,-60,-60,-56,-59,-52,-59,-59,-58,-58,-58,-56,-59,-59,-59,-59,-58,-58,-59
c4:09:38:6d:3b:09,-43,-45,-42,-43,-41,-41,-43,-41,-41,-41,-43,-43,-43,-41,-42,-41,-41,-42,-43,-43,-43,-43,-41,-43,-41,-39,-39,-41,-41,-41,-41,-41,-42,-42,-42
f8:ab:05:4f:90:86,-54,-56,-54,-54,-56,-53,-54,-54,-54,-55,-55,-55,-55,-55,-55,-54,-55,-54,-55,-55,-56
