18:90:d8:dc:2b:2e,-68,-71,-69,-69,-70,-70,-72,-71,-69,-70,-67,-69,-66,-71,-69,-68,-69,-66,-70,-69,-68,-68,-62,-70,-69,-69,-70,-69,-71,-68
34:8a:ae:6b:5e:6e,-61,-66,-63,-62,-62,-66,-65,-63,-63,-64,-61,-62,-63,-61,-61,-62,-64,-64,-63,-63,-62,-64,-64
18:d6:c7:4d:3b:ec,-63,-57,-66,-64,-65,-64,-64,-64,-64,-64,-62,-62,-63,-64,-63,-64,-65,-64,-63,-62,-64,-63
c4:09:38:6d:3b:09,-21,-23,-22,-23,-23,-24,-25,-23,-23,-25,-24,-22,-25,-26,-26,-22,-23,-26,-26,-22,-25,-24,-26,-26,-25,-23,-22,-24,-24,-25,-24,-24,-26,-25,-22
f8:ab:05:4f:90:86,-56,-55,-57,-57,-57,-57,-55,-57,-54,-55,-63,-57,-55,-55,-55,-54,-54,-55,-56,-55,-54,-54
