70:0f:6a:de:c1:40,Sheridan Secure Access,-59,-58,-58,-58,-58,-58,-57,-57,-58,-58,-58,-57,-57,-57,-58,-58,-58,-58,-57,-57,-57,-57,-57,-57,-57,-58,-58,-58,-59,-58,-58,-58,-58,-58,-58
70:0f:6a:c8:29:40,Sheridan Secure Access,-77,-77,-77,-77,-77,-78,-77,-78,-78,-78,-78,-79,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-79,-79,-78,-78,-80,-80,-80,-79,-79,-79,-79,-79,-79
70:0f:6a:de:ba:60,Sheridan Secure Access,-84,-84,-84,-84,-84,-84,-85,-84,-84,-84,-84,-85,-85,-84,-84,-85,-85,-84,-84,-85,-84,-84,-84,-85,-85,-84,-84,-84,-84,-85,-84,-83,-84,-84,-83
10:bd:18:c6:b7:a0,Sheridan Secure Access,-91,-92,-91,-90,-90,-91,-91,-92,-91,-90,-91,-91,-91
10:bd:18:c6:b7:a0,eduroam,-82,-81,-81,-81,-81,-83,-83,-82,-82,-83,-82,-81,-82,-83,-82,-84,-82,-82,-82,-82,-84
