18:90:d8:dc:2b:2e,-66,-67
34:8a:ae:6b:5e:6e,-60,-62,-63,-62,-61,-62,-59,-59,-60,-60,-61,-61,-61,-61,-62,-62,-62,-62,-62
18:d6:c7:4d:3b:ec,-62,-62,-64,-64,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-66,-65,-66
c4:09:38:6d:3b:09,-52,-54,-54,-54,-54,-54,-55,-54,-54,-54,-54,-54,-55,-55,-55,-55,-55,-55,-55,-55,-55,-55,-55,-55,-55,-55,-55,-55,-55,-55,-55,-55,-55,-55,-55
f8:ab:05:4f:90:86,-49,-51,-51,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-53,-53,-52,-52,-52,-52,-52,-52
C2:3B:C4:50:F8:6B,-81,-82,-84,-85,-87,-87,-86,-86,-86,-86,-86,-87,-87,-88,-87,-88,-88,-88,-88,-88,-87,-87,-87,-87
CF:27:BE:19:4E:31,-74,-72,-71,-72,-73,-74,-74,-74,-75,-75,-76,-77,-77,-76,-76,-76,-75,-75,-75,-75,-75,-76,-76,-76,-76,-76,-77,-77,-77,-77,-77,-77,-78
CA:D9:80:DE:59:61,-76,-76,-81,-83,-84,-84,-84,-83,-82,-82,-82,-82,-82,-82,-82,-81,-81,-81,-81,-81,-81,-81,-81,-81,-81,-82,-82,-82,-82,-82,-82,-82,-81
CE:F1:1F:F8:97:20,-80,-75,-73,-72,-71,-72,-71,-72,-71,-70,-70,-69,-70,-70,-71,-71,-72,-72,-72,-72,-72,-73,-72,-72,-72,-73,-73,-72,-72,-72,-72,-72,-71,-72,-72
DF:5A:33:2A:96:47,-85,-85,-86,-86,-86,-86,-86,-87,-88,-89,-89,-89,-89,-89,-89,-89,-88,-88,-88,-88,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-88,-88,-88,-88
DB:4F:6E:19:A2:52,-90,-93,-92,-91,-90,-90,-89,-89,-90,-90,-90,-89,-90,-90,-90,-89,-89,-89,-89,-89,-89,-89,-89,-90,-90,-90,-90,-90,-90,-90
FC:B0:61:E1:7F:E2,-76,-77,-78,-78,-78,-79,-79,-79,-79,-79,-78,-78,-78,-78,-78,-78,-78,-78,-78,-77,-77,-77,-76,-76,-76,-76
