e8:2c:6d:0d:ee:a2,-87
64:66:24:f5:87:f6,-79,-78,-74,-74,-78
10:86:8c:8a:06:7c,-91
a0:8c:fd:5e:48:c3,-79,-82,-77,-76,-71
70:8b:cd:c8:b1:30,-67,-70,-72,-73,-70,-69,-67
84:16:f9:9f:45:e9,-87,-88,-86
18:1e:78:05:6f:3e,-84
98:13:33:4a:7f:f8,-73,-73,-74,-72,-73,-74,-74,-71,-73,-72,-73,-72,-73,-74,-74,-73,-74,-73,-74,-74,-73,-78,-75,-76,-75,-74,-75,-74,-75,-72,-73
60:e3:27:a1:06:17,-88,-82,-81,-77,-80,-84,-78,-77,-91,-83
18:90:d8:dc:2b:2d,-94,-89,-89,-88,-89,-88,-89,-89,-89,-88,-89,-88,-88,-88,-88,-88,-87,-88,-88,-87,-88,-89,-87,-89,-87,-89,-88,-88,-87,-87,-88,-88,-89,-89,-88
c0:7c:d1:0b:3a:78,-77,-81,-75
b4:75:0e:51:83:7e,-90,-90,-88
18:90:d8:dc:2b:2e,-69,-69,-75,-68,-70,-68,-67,-68,-67,-67,-70,-67,-66,-68,-67,-67,-69,-67,-68,-67,-67,-67,-70,-67,-68,-66,-68,-70,-70,-69,-68,-68
84:a1:d1:5b:67:36,-75,-80
42:65:a3:ac:56:a6,-88,-86,-87,-88,-89
40:c7:29:f6:95:96,-86
b8:ee:0e:ba:fc:a3,-86,-83,-83,-82,-84,-83,-85,-84,-85,-82,-86,-85,-84,-85,-87,-86,-85,-86,-85,-86,-84,-86,-84,-86,-84,-84,-84,-85,-84,-85,-86,-85,-84
34:8a:ae:6b:5e:6f,-88,-87,-88,-90,-90,-87,-88,-87,-89,-87,-89,-87,-88,-89,-89,-88,-88,-88,-88,-89,-88,-88,-89,-89,-89,-89
b8:ee:0e:ba:fc:a2,-68,-68,-63,-66,-64,-63,-64,-63,-64,-64,-63,-64,-64,-67,-64,-64,-65
34:8a:ae:6b:5e:6e,-71,-70,-69,-69,-69,-69,-71,-80,-71,-72,-70,-74,-71,-68,-70,-73,-71,-69,-72
18:60:24:d8:98:0a,-76,-67,-68,-71,-68,-69,-65,-68,-66,-63,-67,-63,-68,-69,-71,-70,-71,-71,-67,-66,-68,-67,-67,-67,-69
06:90:d8:dc:2b:2d,-88,-88,-87,-87,-89,-88,-89,-87,-88,-88,-87,-88,-87,-88,-87,-86,-88,-89,-88,-87,-90,-88,-89,-87,-88,-88,-88,-89,-89,-89,-88,-89,-88,-88
5a:d7:75:f8:18:ed,-84
78:24:af:7b:15:c8,-87
e6:ab:05:4f:90:85,-79,-76,-77,-78,-78,-76,-77,-76,-76,-77,-77,-77,-77,-76,-77,-76,-77,-76,-77,-76,-76,-76,-77,-76,-76,-77,-77,-77,-77,-77,-77,-76,-76,-76,-75
6c:ca:08:bf:62:95,-89,-91,-92,-91,-90,-91,-92,-92,-92,-92,-93
18:d6:c7:4d:3b:ee,-80,-72,-72,-73,-72,-72,-72,-74,-73,-73,-73,-72,-75,-75,-75,-75,-75,-76,-75,-74,-75,-76,-75,-75,-76,-76,-75,-75,-75,-75,-76,-75,-75
50:c7:bf:a2:64:70,-89,-90,-91,-92,-92,-91,-91,-90,-91,-92,-92,-90
18:d6:c7:4d:3b:ec,-62,-60,-61,-60,-61,-62,-58,-59,-59,-60,-59,-57,-59,-58,-59,-57,-57,-57,-58,-60,-58,-57,-58,-57,-58,-58,-59,-58,-60
5a:d7:75:f8:11:d9,-87,-86,-86,-85,-86,-86
a0:ab:1b:88:ac:a0,-90
84:a0:6e:f3:14:2e,-87
c4:09:38:6d:3b:09,-51,-49,-52,-51,-51,-52,-52,-49,-50,-50,-50,-50,-52,-53,-49,-53,-50,-51,-52,-49,-51,-49,-50,-52,-53,-52,-51,-50,-50,-49,-52,-51,-51,-48,-51
9c:c8:fc:2b:42:b3,-80,-80,-81,-79,-80,-80
9c:c8:fc:2b:42:b2,-61,-58,-58,-72,-59,-59,-56,-58,-70,-56,-69,-70,-58,-63,-57,-61,-68,-63,-56,-71,-56,-72,-61,-72,-66,-57,-60
c4:04:15:17:e1:90,-86,-86,-85
f8:ab:05:55:49:b6,-72,-75,-75,-67,-74
44:e9:dd:4f:50:ea,-73,-75,-72,-74,-72,-72,-69,-73,-77,-72,-73,-73
a0:63:91:b7:09:90,-80,-80,-78,-87
3a:b1:db:82:9d:c1,-75,-78
f0:82:61:46:9e:a9,-73,-69,-68,-70,-71,-68,-70,-69,-73,-69,-68,-70,-68,-71,-68,-67,-69,-68,-71,-69,-69,-70,-68,-71
98:da:c4:52:b7:d6,-80,-82,-86
54:64:d9:f7:ac:50,-72,-74
00:23:6a:75:42:66,-84,-75,-78,-78,-82,-77,-78,-76,-78,-80,-80,-79,-81,-78,-79,-83,-77,-78,-74,-80,-80,-78,-85,-78,-72
12:08:b1:54:f0:9c,-85,-86,-85,-85
42:c7:29:f6:96:90,-82
88:ad:43:cf:e7:38,-74,-76
9e:da:c4:52:b7:d6,-86,-82
50:c7:bf:a2:64:6f,-77,-77,-74,-69,-76
