18:90:d8:dc:2b:2e,-61,-55,-62,-62,-62,-62,-63,-63,-62,-63,-62,-61,-62,-62,-62,-62,-61,-62,-61,-62,-62,-62,-62,-62,-61,-63,-62,-61,-62,-62,-61,-62,-61
34:8a:ae:6b:5e:6e,-65,-64,-65,-62,-63,-65,-65,-63,-62,-67,-61,-62,-62
18:d6:c7:4d:3b:ec,-51,-45,-48,-49,-50,-52,-50,-50,-50,-48,-50,-49,-49,-49,-49,-49,-49,-48,-49,-50,-49,-50,-49,-48,-49,-48,-49,-49,-50,-48,-50,-49,-49,-49,-49
c4:09:38:6d:3b:09,-56,-60,-58,-58,-59,-57,-56,-54,-53,-52,-54,-55,-55,-54,-56,-53,-54,-53,-53,-53,-53,-54,-54,-53,-53,-54,-53,-53,-53,-54,-55,-54,-52,-53,-54
