24:f5:a2:eb:f3:25,-78,-76
62:f2:62:99:01:97,-47,-34
54:64:d9:f7:ac:50,-72,-68
70:8b:cd:c8:b1:30,-54
00:23:6a:75:42:66,-73,-80
88:ad:43:cf:e7:38,-75,-66
2a:f5:a2:eb:f3:25,-74
18:90:d8:dc:2b:2d,-89
50:c7:bf:a2:64:6f,-76
18:90:d8:dc:2b:2e,-62
44:e9:dd:3e:bb:d6,-78
f8:ab:05:4f:90:86,-57
5c:8f:e0:5a:a6:77,-87
34:8a:ae:6b:5e:6f,-90,-87
06:90:d8:dc:2b:2d,-89
6c:ca:08:bf:62:95,-90
18:d6:c7:4d:3b:ee,-80,-79
50:c7:bf:a2:64:70,-89
18:d6:c7:4d:3b:ec,-66
ac:f1:df:c8:c1:aa,-84,-73
18:a6:f7:bc:ed:39,-62
c4:09:38:6d:3b:09,-31,-31
ec:ad:e0:d4:e8:f8,-72
ec:ad:e0:d4:e8:f9,-91,-88
44:e9:dd:4f:50:ea,-64
