f0:82:61:46:9e:a9,-68,-66
7a:8a:20:54:02:a2,-91
10:86:8c:8a:06:7c,-92
62:f2:62:99:01:97,-27,-21
70:8b:cd:c8:b1:30,-73
00:23:6a:75:42:66,-88
2a:f5:a2:eb:f3:25,-82
88:ad:43:cf:e7:38,-82
9e:da:c4:52:b7:d6,-90
60:e3:27:a1:06:17,-81
de:54:d7:1c:8b:9b,-85
18:90:d8:dc:2b:2e,-76
ec:08:6b:b6:59:0a,-91
f8:ab:05:4f:90:86,-60,-90
f8:ab:05:4f:90:85,-89,-85
f8:ab:05:4f:90:87,-80,-74
b8:ee:0e:ba:fc:a3,-82,-79
62:e3:27:a1:06:14,-86,-90
b8:ee:0e:ba:fc:a2,-77,-67
58:d5:6e:a9:68:33,-71,-68
86:a0:6e:f3:15:2f,-95
78:24:af:7b:15:c8,-88
e6:ab:05:4f:90:85,-88,-85
18:d6:c7:4d:3b:ee,-82
18:d6:c7:4d:3b:ec,-69,-61
ac:f1:df:c8:c1:aa,-88
58:d5:6e:a9:68:34,-86
f4:f2:6d:fc:76:6a,-88
c4:09:38:6d:3b:09,-53,-55
44:e9:dd:4f:50:ea,-72
