C2:3B:C4:50:F8:6B,-72,-89,-84,-79,-78,-83,-72,-72,-77,-65,-70,-75,-72,-85,-74,-78,-65,-68,-68,-66,-62,-66,-78,-77,-78,-65,-65,-65,-65,-64,-63,-72,-76,-70,-66
CF:27:BE:19:4E:31,-88,-76,-74,-76,-85,-79,-78,-85,-79,-75,-78,-76,-82,-80,-92,-75,-76,-79,-80,-76,-100,-94,-94,-75,-76,-75,-82,-75,-69,-66,-74
CA:D9:80:DE:59:61,-84,-91,-92,-98,-89,-90,-99,-91,-90,-91,-86,-98,-92,-94,-91,-92,-89,-89,-88,-89,-87,-91,-92,-88,-88
CE:F1:1F:F8:97:20,-86,-80,-82,-83,-82,-84,-83,-79,-80,-96,-92,-89,-83,-80,-82,-80,-79,-80,-80,-86,-87,-93,-83,-83,-78
DF:5A:33:2A:96:47,-85,-84,-73,-64,-68,-73,-79,-73,-74,-76,-82,-66,-78,-80,-83,-76,-73,-76,-76,-76,-72,-70,-74,-82,-80,-80,-79,-88,-80
DB:4F:6E:19:A2:52,-76,-77,-76,-78,-76,-74,-81,-86,-82,-85,-80,-76,-76,-73,-74,-79,-73,-71,-69,-71,-71,-82,-82,-81,-82,-81,-78,-77,-71,-91,-98,-79
FC:B0:61:E1:7F:E2,-91,-89,-83,-82,-85,-82,-81,-82,-86,-82,-81,-82,-79,-76,-80,-80,-81,-82,-82,-80,-81,-80,-80,-81,-77
