18:90:d8:dc:2b:2e,-77,-59,-58,-65,-58,-58,-58,-59,-59,-59,-60,-59,-58,-59,-59,-59,-61,-58,-58,-60,-58,-62,-58
34:8a:ae:6b:5e:6e,-57,-59,-59,-59,-59,-60,-59,-59,-59,-59,-59,-58,-58,-59
18:d6:c7:4d:3b:ec,-66,-57,-59,-61,-58,-60,-57,-61,-60,-59,-62,-62,-61,-58,-58,-64,-58,-57,-60,-58,-61,-58,-58
c4:09:38:6d:3b:09,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32
C2:3B:C4:50:F8:6B,-70,-73,-71,-71,-68,-74,-68,-74,-70,-72,-74,-69,-70,-70,-73,-68,-69,-68,-72,-74,-74,-68,-72
DF:5A:33:2A:96:47,-69,-76,-77,-74,-77,-76,-77,-77,-74,-74,-76,-75,-76,-76,-76,-74,-74,-75,-76,-77
DB:4F:6E:19:A2:52,-78,-84,-85,-85,-85,-82,-83,-81,-85,-85,-81,-84,-85,-85,-83,-85,-85,-85,-85,-82,-84,-85,-80
