5c:8f:e0:5a:a6:77,-91
f0:82:61:46:9e:a9,-74,-66
62:f2:62:99:01:97,-19,-24
b8:ee:0e:ba:fc:a3,-76,-77
da:13:99:7b:d9:5e,-87
58:d5:6e:a9:68:33,-69
18:60:24:d8:98:0a,-81,-69
e6:ab:05:4f:90:85,-83,-89
18:d6:c7:4d:3b:ee,-78,-79
50:c7:bf:a2:64:70,-90
18:d6:c7:4d:3b:ec,-62,-60
98:13:33:4a:7f:f8,-85,-84
58:d5:6e:a9:68:34,-92
18:a6:f7:bc:ed:39,-74
18:90:d8:dc:2b:2e,-74
ec:08:6b:b6:59:0a,-85
c4:09:38:6d:3b:09,-51,-57
f0:82:61:46:9e:aa,-88
f8:ab:05:4f:90:86,-62
f8:ab:05:4f:90:85,-83,-90
