64:66:24:f5:87:f6,-83,-82,-82
24:f5:a2:eb:f3:25,-89
62:f2:62:99:01:97,-21,-20,-20,-20,-22,-21,-20,-21,-22,-21,-23,-21,-22,-23,-23,-23,-23,-21,-21,-22,-21,-21,-22,-22,-21,-20,-21,-24,-21,-21,-21,-21,-22,-21,-26
a0:8c:fd:5e:48:c3,-78
ac:3b:77:a6:b2:ae,-89,-88,-78
3c:7a:8a:fd:23:d8,-82,-85,-82
84:16:f9:9f:45:e9,-89
0c:b6:d2:e0:ad:b0,-90,-90
2a:f5:a2:eb:f3:25,-86,-85,-85
98:13:33:4a:7f:f8,-77,-75,-75,-78,-78,-75,-75,-77,-67,-75,-77,-76,-71,-77,-77,-76,-76,-76,-64,-74,-75,-75,-75,-77,-73,-78,-75,-71,-76,-76,-82
60:e3:27:a1:06:17,-84,-78,-83
c0:7c:d1:0b:3a:78,-84,-88
18:90:d8:dc:2b:2e,-72,-72,-72,-72,-74,-75,-69,-75,-75,-71,-75,-76,-72,-72,-72,-70,-73,-72,-70,-71,-71,-74,-74
f0:82:61:46:9e:aa,-88,-89,-89,-89,-91,-89,-91,-89,-88,-90,-91,-91,-88,-90,-91,-88,-89,-90,-90
38:70:0c:bb:e0:89,-81
d4:5d:df:b0:3f:d8,-87,-86
42:65:a3:ac:56:a6,-87,-80,-86,-86,-85,-88,-83
40:c7:29:f6:95:96,-84,-88
b8:ee:0e:ba:fc:a3,-77,-77,-77,-78,-78,-76,-77,-76,-76,-77,-77,-76,-77,-76,-76,-77,-77,-76,-76,-77,-77,-77,-77,-76,-77,-77,-77,-76,-76,-76,-77,-78,-77,-76,-76
34:8a:ae:6b:5e:6f,-90,-89,-91,-90,-90
40:c7:29:f6:95:95,-90,-91
b8:ee:0e:ba:fc:a2,-74,-69,-68,-70,-67,-69,-68,-68,-67,-68,-68,-69,-67,-67,-67,-68,-69,-73,-68,-69
94:8f:cf:81:3e:0d,-88
34:8a:ae:6b:5e:6e,-69,-69,-73,-69,-68,-67,-69,-69,-68,-69,-66,-70,-60,-67,-68,-69,-69,-70,-69,-70,-66,-72
18:60:24:d8:98:0a,-68,-68,-67,-69,-65,-65,-69,-70,-70,-65,-65,-68,-66,-65,-66,-67,-67,-65,-67,-67
e6:ab:05:4f:90:85,-77,-77,-78,-78,-78,-77,-78,-77,-79,-78,-77,-78,-77,-77,-78,-78,-77,-78,-78,-77,-77,-78,-79,-79,-77,-78,-77,-78,-78,-80,-79,-79,-80,-78,-79
6c:ca:08:bf:62:95,-91,-90,-92,-91,-90,-90,-90,-91,-90,-91,-93,-92,-92,-92
88:ad:43:cf:f2:18,-88,-85
18:d6:c7:4d:3b:ee,-84,-89,-86,-86,-85,-88,-85,-84,-84,-85,-84,-86,-85,-85,-84,-85,-87,-86,-85,-86,-87,-87,-87,-87,-88,-87,-88,-87,-87,-87,-86,-86,-87,-86,-85
50:c7:bf:a2:64:70,-88,-89,-88,-92,-90,-90,-90,-88,-88,-91,-87,-88,-89,-87,-89
18:d6:c7:4d:3b:ec,-63,-65,-66,-64,-64,-64,-64,-65,-64,-64,-59,-65,-63,-65,-65,-64,-65,-65,-65,-65,-66,-64,-65,-64,-64,-64,-64,-64,-64,-64,-63,-64,-64
34:49:5b:21:27:ee,-87,-84
c4:09:38:6d:3b:09,-51,-49,-57,-53,-54,-51,-55,-53,-51,-53,-52,-54,-55,-54,-52,-52,-51,-56,-55,-53,-56,-55,-56,-52,-55,-52,-55,-53,-55,-54,-52,-55,-54,-57,-53
9c:c8:fc:2b:42:b3,-82,-80,-81,-79,-78,-82,-79,-80,-80,-81,-80,-81,-80,-79,-80,-80,-80,-80,-80,-79,-81,-81,-79,-79,-80,-79
f8:ab:05:55:49:b7,-90,-91,-91,-89,-90,-92,-91,-89,-91,-91,-89,-91,-90,-89,-88,-91,-88,-88,-89,-89,-89,-89
9c:c8:fc:2b:42:b2,-64,-63,-62,-62,-59,-72,-60,-63,-60,-59,-62,-60,-73,-63,-59
c4:04:15:17:e1:90,-85,-87
58:90:43:b7:8e:f6,-89
44:e9:dd:4f:50:ea,-79,-76,-75,-71
a0:63:91:b7:09:90,-87,-87,-90,-87
f0:82:61:46:9e:a9,-67,-71,-73,-62,-69,-69,-69,-68,-66,-70,-69,-68,-67,-69,-69,-69,-64,-69,-70,-69,-68,-69,-69,-66,-66
7a:8a:20:54:02:a2,-88,-90
da:13:99:7b:d9:5e,-78,-81
54:64:d9:f7:ac:50,-78
36:49:5b:21:28:ef,-88
00:23:6a:75:42:66,-81,-81,-81,-74,-77,-73,-76,-75,-81,-74,-83,-76,-75,-73,-75,-74,-76
92:72:82:f2:08:76,-87,-85,-85
42:c7:29:f6:96:90,-87,-88
88:ad:43:cf:e7:38,-79,-72,-72,-75,-73,-71,-75,-73,-73,-73,-74,-76
50:c7:bf:a2:64:6f,-75,-80,-74,-76,-73,-79
42:c7:29:f6:96:97,-83,-87
f8:ab:05:4f:90:86,-56,-57,-59,-55,-59,-54,-56,-55,-54,-53,-54,-55,-58,-53,-56,-56,-56,-58,-57,-56,-56,-55,-55,-56,-57,-57,-57,-56,-56,-54,-66
f8:ab:05:4f:90:85,-77,-77,-77,-79,-79,-78,-78,-78,-80,-78,-78,-77,-77,-77,-79,-78,-77,-78,-78,-77,-78,-78,-79,-78,-78,-78,-77,-77,-77,-80,-79,-79,-80,-78,-80
f8:ab:05:4f:90:87,-71,-70,-69,-71,-71,-70,-72,-67,-68,-68,-68,-72,-68,-68,-68,-72,-72,-67,-69,-68,-69,-69,-72,-68,-68,-68,-68,-68,-69,-69,-68,-69,-68
90:72:82:f2:08:76,-89
62:e3:27:a1:06:14,-84,-81,-82,-84,-82,-84,-83,-83,-82,-81,-82,-83
58:d5:6e:a9:68:33,-75,-77,-77,-78
ac:f1:df:c8:c1:aa,-82,-84,-85,-86
7c:8b:ca:f9:9a:95,-87,-85,-84,-86,-86,-85,-82,-88,-87,-88,-77
58:d5:6e:a9:68:34,-89,-87,-90,-89,-89,-89,-91,-91,-90,-89,-89,-89,-87,-91,-90,-88,-89,-88,-89,-88,-89,-92,-89,-89,-91,-90,-88,-90,-90,-90,-90
18:a6:f7:bc:ed:39,-74,-75,-73,-80,-75,-65,-72,-77,-75,-74,-73,-72,-76,-70,-71,-74,-72,-73,-74,-75,-70,-81,-71
f4:f2:6d:fc:76:6a,-84,-83,-85,-85,-86,-87,-88,-82,-84
40:65:a3:ac:56:a6,-85,-87,-83,-85,-83,-83,-88,-83
ec:ad:e0:d4:e8:f8,-78,-76,-76,-74,-76,-74,-75,-74,-75,-74,-73,-73,-71,-73,-71,-75,-73,-73,-74,-72,-69,-72,-72,-74
78:8a:20:54:02:a2,-89,-89
46:c7:29:f6:95:95,-92,-91
