e8:2c:6d:0d:ee:a2,-96,-83,-86
24:f5:a2:eb:f3:25,-86,-82
64:66:24:f5:87:f6,-77,-74,-73
10:86:8c:8a:06:7c,-88,-88
62:f2:62:99:01:97,-28,-25,-33,-30,-34,-27,-29,-23,-25,-22,-22,-23,-22,-23,-23,-22,-24,-23,-24,-25,-27,-27,-26,-26,-25,-27,-29,-29,-30,-30,-24,-26,-23,-25,-26
a0:8c:fd:5e:48:c3,-85,-85,-82,-89,-81,-83,-81,-84,-81,-82,-80,-82
3c:7a:8a:fd:23:d8,-81,-78,-82
70:8b:cd:c8:b1:30,-73,-71,-73,-71
2a:f5:a2:eb:f3:25,-86,-85
98:13:33:4a:7f:f8,-89,-87,-88,-86,-87,-80,-85,-85,-82,-84,-86,-85,-80,-81,-86,-85,-81,-80
60:e3:27:a1:06:17,-85,-86,-85,-81,-82,-79,-83,-81,-84,-84,-80
ba:b9:8a:4d:24:ce,-82,-83,-82
c0:7c:d1:0b:3a:78,-87
18:90:d8:dc:2b:2e,-75,-74,-74,-76,-76,-74,-76,-73,-74,-74,-73,-84
f0:82:61:46:9e:aa,-88,-89,-88,-88,-85,-86,-91,-89,-89,-88,-90,-89,-88,-89,-89
38:70:0c:bb:e0:89,-89,-89
54:64:d9:eb:7b:8f,-87,-86,-86,-86
42:65:a3:ac:56:a6,-88,-79,-84,-87,-82
b8:ee:0e:ba:fc:a3,-89,-86,-83,-87,-87,-81,-80,-82,-80,-81,-82,-82,-82,-83,-83,-82,-81,-82,-84,-82,-82,-82,-83,-80,-84,-81,-83,-85,-83,-83,-82,-81,-82,-81,-81
dc:fe:07:8c:bd:f8,-79,-83
b8:ee:0e:ba:fc:a2,-64,-63,-65,-66,-65,-64,-65,-64,-63,-66,-69,-65,-67,-64,-62,-65,-63,-61,-54,-62,-65
94:8f:cf:81:3e:0d,-80
34:8a:ae:6b:5e:6e,-76,-73,-74,-74,-79,-75
40:c7:29:f6:4f:86,-87,-89,-91,-76,-87,-87,-81
