RMAC,X,Y,Z,txPwr1,txPwr2,plref
10:bd:18:c6:b7:a0,1.437,0.0,1,8,5,24.4
70:0f:6a:c8:29:40,0.0, 20.2216,1,8,7,21.514285710000003
70:0f:6a:de:ba:60,5.9689, 19.8356,1,8,6,24.02857143
70:0f:6a:de:c1:40,7.3914, 1.7558,0,8,6,24.4
