RMAC,X,Y,Z,txPwr1,txPwr2,plref
18:d6:c7:4d:3b:ec,1.437,0.0,1,8,5,24.4
c4:09:38:6d:3b:09,1.437,0.0,1,8,5,24.4
f8:ab:05:4f:90:86,1.437,0.0,1,8,5,24.4
CF:27:BE:19:4E:31,1.437,0.0,1,8,5,24.4
CA:D9:80:DE:59:61,0.0, 20.2216,1,8,7,21.514285710000003
CE:F1:1F:F8:97:20,5.9689, 19.8356,1,8,6,24.02857143
FC:B0:61:E1:7F:E2,7.3914, 1.7558,0,8,6,24.4
