18:90:d8:dc:2b:2e,-53,-60,-57,-60,-60,-60,-61,-60,-58,-60,-60
34:8a:ae:6b:5e:6e,-62,-64,-64,-64
18:d6:c7:4d:3b:ec,-49,-51,-51,-51,-51,-52,-51,-52,-51,-51,-51,-51
c4:09:38:6d:3b:09,-67,-64,-63,-62,-63,-65,-62,-63,-62,-63,-63,-65
C2:3B:C4:50:F8:6B,-88,-89,-87,-86,-86,-86,-86,-87
DF:5A:33:2A:96:47,-78,-78,-77,-80,-78,-79,-78,-80,-80,-78,-79
DB:4F:6E:19:A2:52,-65,-75,-75,-74,-75,-76,-76,-74,-71,-73,-75,-68
