70:0f:6a:c8:29:40,Sheridan Secure Access,-74,-73,-74,-74,-74,-74,-75,-75,-75,-75,-75,-74,-74,-74,-74,-73,-73,-73,-74,-76,-75,-75,-75,-75,-74,-75,-75,-75,-75,-75,-75
70:0f:6a:de:c1:40,Sheridan Secure Access,-75,-77,-76,-76,-76,-76,-76,-76,-75,-75,-76,-76,-76,-76,-76,-76,-76,-77,-77,-77,-76,-76,-77,-76,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
70:0f:6a:de:ba:60,Sheridan Secure Access,-73,-73,-73,-73,-73,-73,-73,-73,-73,-73,-73,-73,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-73
10:bd:18:c6:b7:a0,eduroam,-82,-81,-85,-83,-83,-83,-83,-83,-83
70:0f:6a:c8:29:40,eduroam,-71,-70,-71,-70,-71,-71,-70,-71,-70
70:0f:6a:de:c1:40,eduroam,-68
