18:90:d8:dc:2b:2e,-62,-64,-66
34:8a:ae:6b:5e:6e,-71,-75,-72,-71,-70,-69,-68,-68,-68,-68,-68,-67,-67,-67,-67,-66,-67,-66,-67
18:d6:c7:4d:3b:ec,-68,-67,-67,-66,-65,-65,-65,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64
c4:09:38:6d:3b:09,-51,-51,-51,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-53,-53,-53,-53
f8:ab:05:4f:90:86,-58,-55,-55,-54,-54,-54,-55,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-53,-53
C2:3B:C4:50:F8:6B,-91,-90,-89,-88,-88,-90,-90,-89,-88,-89,-90,-90,-90,-89
CF:27:BE:19:4E:31,-73,-79,-78,-77,-77,-76,-76,-76,-76,-77,-77,-79,-79,-78,-78,-77,-77,-77,-77,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-77,-77,-77,-77,-77,-77
CA:D9:80:DE:59:61,-84,-83,-82,-81,-80,-79,-80,-81,-81,-81,-82,-82,-82,-82,-81,-81,-81,-80,-80,-80,-80,-80,-80,-80,-80,-80,-79,-79,-79,-79,-79
CE:F1:1F:F8:97:20,-73,-72,-73,-74,-74,-74,-74,-74,-74,-74,-74,-74,-74,-73,-72,-73,-72,-72,-72,-72,-72,-72,-72,-73,-72,-73,-73,-73,-73,-73,-73,-73
DF:5A:33:2A:96:47,-100,-94,-92,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-89,-90,-90,-90,-89,-89,-89,-89,-89,-89
FC:B0:61:E1:7F:E2,-74,-74,-75,-76,-78,-79,-78,-78,-78,-77,-77,-77,-77,-77,-76,-76,-76,-76,-76,-77,-77,-78,-78,-78,-78,-77,-77,-78,-78,-78,-78
DB:4F:6E:19:A2:52,-95,-94,-93,-92,-91,-90,-90,-90,-90,-89,-89,-90,-90,-90,-91,-91,-91,-91,-91,-90,-91,-91,-91,-91,-91,-91,-91,-91,-91,-90
