18:90:d8:dc:2b:2e,-77,-77,-78,-79,-78,-77,-77
34:8a:ae:6b:5e:6e,-72,-70,-70,-70,-70,-69,-70,-70
18:d6:c7:4d:3b:ec,-62,-69,-69,-66,-69,-69,-66,-69,-69,-69,-69,-69,-69,-66,-69,-69,-65,-67,-69
c4:09:38:6d:3b:09,-25,-36,-33,-36,-36,-36,-34,-36,-36,-36,-36,-36,-36,-36,-35,-32,-35,-32,-29,-36,-34,-36,-36
f8:ab:05:4f:90:86,-76,-63,-63,-62,-69,-67,-62,-62,-63,-69,-62,-63,-62,-62,-64,-62,-62,-62,-63
