18:90:d8:dc:2b:2e,-65,-63,-63,-62,-63,-63,-64,-64,-64,-63
f8:ab:05:4f:90:86,-80,-71,-70,-69,-70,-73,-69,-69,-69,-69
34:8a:ae:6b:5e:6e,-73,-62,-61,-61,-60,-61,-61,-60,-60,-65
18:d6:c7:4d:3b:ec,-65,-55,-55,-56,-58,-55,-55,-55,-55,-54,-55
c4:09:38:6d:3b:09,-45,-43,-43,-43,-42,-43,-43,-43,-42,-43,-43,-44
