18:90:d8:dc:2b:2e,-55,-69,-72,-69,-64,-71,-70,-69,-73,-71,-69,-71,-73,-70,-71,-66,-70,-71,-69,-71,-68,-68,-69,-70,-70,-68,-68,-67,-89,-69,-71,-69,-69
34:8a:ae:6b:5e:6e,-62,-59,-62,-62,-58,-65,-59,-57,-59,-59,-60,-62,-61,-61,-60,-58,-61,-62,-62
18:d6:c7:4d:3b:ec,-60,-59,-59,-61,-59,-59,-58,-60,-59,-59,-60,-60,-60,-56,-56,-58,-59,-59,-59,-59,-58,-60,-59,-59,-60,-59,-59,-59,-59,-60,-59,-58
c4:09:38:6d:3b:09,-43,-38,-39,-41,-37,-40,-40,-39,-39,-37,-38,-38,-41,-36,-37,-38,-40,-40,-39,-38,-36,-38,-41,-41,-41,-39,-40,-36,-41,-39,-36,-40,-38,-39,-38
f8:ab:05:4f:90:86,-65,-70,-68,-71,-68,-69,-69,-69,-70,-69,-69,-69,-69,-72,-68,-71,-70,-71,-68,-72,-69,-69,-69,-67,-67,-67,-69,-71,-70,-68,-68,-69,-69,-69,-70
