18:90:d8:dc:2b:2e,-64,-59,-42,-43,-43,-42,-44,-46,-44,-46,-43,-45,-46,-45,-46,-44,-44,-44,-46,-46,-44,-43,-88,-42,-43,-42,-44,-42,-42,-45,-44,-43,-44,-43,-43
34:8a:ae:6b:5e:6e,-74,-69,-61,-62,-62,-61,-62,-60,-59,-60,-59,-59,-59,-61,-60,-62,-60,-59,-61,-63,-60,-61,-63,-62,-61,-59,-62,-59,-61,-62
18:d6:c7:4d:3b:ec,-51,-44,-41,-41,-42,-41,-41,-41,-41,-40,-40,-41,-40,-40,-41,-40,-40,-41,-40,-41,-40,-41,-41,-41,-41,-40,-41,-40,-41,-41,-40,-39,-40,-40,-41
c4:09:38:6d:3b:09,-63,-58,-59,-55,-57,-59,-55,-54,-55,-58,-59,-60,-55,-52,-59,-56,-57,-57,-56,-53,-57,-55,-57,-53,-56,-56,-53,-57,-57,-54,-57,-54,-54,-52,-58
