18:90:d8:dc:2b:2e,-61,-58,-60,-59,-86,-61,-61,-60,-60,-61,-61,-60,-62,-59,-62,-60,-59,-61,-60,-59,-60,-61,-60,-61,-61,-62,-61,-62,-59,-61,-61,-63,-62,-65,-63
34:8a:ae:6b:5e:6e,-61,-57,-54,-59,-60,-57,-60,-55,-60,-56,-57,-59,-57,-60,-62,-55,-59,-55,-59,-60
18:d6:c7:4d:3b:ec,-61,-57,-57,-58,-58,-57,-57,-57,-58,-57,-59,-58,-58,-58,-58,-58,-57,-58,-59,-58,-57,-57,-56,-57,-57,-56,-57,-56,-57,-57,-56,-57,-57,-58,-58
c4:09:38:6d:3b:09,-34,-32,-36,-37,-30,-34,-34,-38,-33,-32,-32,-33,-33,-34,-37,-33,-36,-32,-32,-36,-33,-37,-35,-32,-36,-36,-32,-34,-34,-31,-33,-36,-33,-32,-35
f8:ab:05:4f:90:86,-69,-71,-66,-71,-67,-68,-69,-70,-70,-69,-71,-70,-72,-71,-70,-71,-68,-70,-70,-71,-69,-68,-69,-68,-70,-71,-69,-69,-69,-65,-67,-69,-65
