Shift_Point1,Shift_Point2,Toward_Point,actual_cp,,Actual_Coord,RSSI,Best_Shift,Best_accuracy,Best_coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord
C,D,E,D,FALSE,"[4.5, 1.5]","[-76, -64, -63, -66, -74, -60]","(0, 0)",1.7,"(3.0, 2.3)","(0, 0)",1.7,"(3.0, 2.3)","(0, 1)",1.887,"(2.9, 2.5)","(0, 2)",1.942,"(2.9, 2.6)","(0, 3)",2.081,"(2.8, 2.7)","(0, 4)",2.28,"(2.7, 2.9)","(0, 5)",2.343,"(2.7, 3.0)","(0, 6)",2.484,"(2.6, 3.1)","(0, 7)",2.691,"(2.5, 3.3)","(0, 8)",2.759,"(2.5, 3.4)","(0, 9)",2.9,"(2.4, 3.5)","(1, 0)",1.72,"(3.1, 2.5)","(1, 1)",1.86,"(3.0, 2.6)","(1, 2)",2,"(2.9, 2.7)","(1, 3)",2.126,"(2.9, 2.9)","(1, 4)",2.267,"(2.8, 3.0)","(1, 5)",2.408,"(2.7, 3.1)","(1, 6)",2.546,"(2.7, 3.3)","(1, 7)",2.687,"(2.6, 3.4)","(1, 8)",2.828,"(2.5, 3.5)","(1, 9)",2.973,"(2.5, 3.7)","(2, 0)",1.78,"(3.1, 2.6)","(2, 1)",1.844,"(3.1, 2.7)","(2, 2)",2.052,"(3.0, 2.9)","(2, 3)",2.193,"(2.9, 3.0)","(2, 4)",2.263,"(2.9, 3.1)","(2, 5)",2.476,"(2.8, 3.3)","(2, 6)",2.617,"(2.7, 3.4)","(2, 7)",2.691,"(2.7, 3.5)","(2, 8)",2.907,"(2.6, 3.7)","(2, 9)",3.048,"(2.5, 3.8)","(3, 0)",1.769,"(3.2, 2.7)","(3, 1)",1.98,"(3.1, 2.9)","(3, 2)",2.052,"(3.1, 3.0)","(3, 3)",2.193,"(3.0, 3.1)","(3, 4)",2.408,"(2.9, 3.3)","(3, 5)",2.484,"(2.9, 3.4)","(3, 6)",2.625,"(2.8, 3.5)","(3, 7)",2.843,"(2.7, 3.7)","(3, 8)",2.921,"(2.7, 3.8)","(3, 9)",3.061,"(2.6, 3.9)","(4, 0)",1.844,"(3.3, 2.9)","(4, 1)",1.985,"(3.2, 3.0)","(4, 2)",2.126,"(3.1, 3.1)","(4, 3)",2.28,"(3.1, 3.3)","(4, 4)",2.421,"(3.0, 3.4)","(4, 5)",2.561,"(2.9, 3.5)","(4, 6)",2.72,"(2.9, 3.7)","(4, 7)",2.86,"(2.8, 3.8)","(4, 8)",3,"(2.7, 3.9)","(4, 9)",3.162,"(2.7, 4.1)","(5, 0)",1.921,"(3.3, 3.0)","(5, 1)",2,"(3.3, 3.1)","(5, 2)",2.22,"(3.2, 3.3)","(5, 3)",2.36,"(3.1, 3.4)","(5, 4)",2.441,"(3.1, 3.5)","(5, 5)",2.663,"(3.0, 3.7)","(5, 6)",2.802,"(2.9, 3.8)","(5, 7)",2.884,"(2.9, 3.9)","(5, 8)",3.106,"(2.8, 4.1)","(5, 9)",3.245,"(2.7, 4.2)","(6, 0)",1.942,"(3.4, 3.1)","(6, 1)",2.163,"(3.3, 3.3)","(6, 2)",2.247,"(3.3, 3.4)","(6, 3)",2.385,"(3.2, 3.5)","(6, 4)",2.608,"(3.1, 3.7)","(6, 5)",2.693,"(3.1, 3.8)","(6, 6)",2.83,"(3.0, 3.9)","(6, 7)",3.053,"(2.9, 4.1)","(6, 8)",3.138,"(2.9, 4.2)","(6, 9)",3.276,"(2.8, 4.3)","(7, 0)",2.059,"(3.5, 3.3)","(7, 1)",2.195,"(3.4, 3.4)","(7, 2)",2.332,"(3.3, 3.5)","(7, 3)",2.506,"(3.3, 3.7)","(7, 4)",2.642,"(3.2, 3.8)","(7, 5)",2.778,"(3.1, 3.9)","(7, 6)",2.953,"(3.1, 4.1)","(7, 7)",3.089,"(3.0, 4.2)","(7, 8)",3.225,"(2.9, 4.3)","(7, 9)",3.4,"(2.9, 4.5)","(8, 0)",2.147,"(3.5, 3.4)","(8, 1)",2.236,"(3.5, 3.5)","(8, 2)",2.46,"(3.4, 3.7)","(8, 3)",2.594,"(3.3, 3.8)","(8, 4)",2.683,"(3.3, 3.9)","(8, 5)",2.907,"(3.2, 4.1)","(8, 6)",3.041,"(3.1, 4.2)","(8, 7)",3.13,"(3.1, 4.3)","(8, 8)",3.354,"(3.0, 4.5)","(8, 9)",3.489,"(2.9, 4.6)","(9, 0)",2.193,"(3.6, 3.5)","(9, 1)",2.417,"(3.5, 3.7)","(9, 2)",2.508,"(3.5, 3.8)","(9, 3)",2.64,"(3.4, 3.9)","(9, 4)",2.864,"(3.3, 4.1)","(9, 5)",2.955,"(3.3, 4.2)","(9, 6)",3.087,"(3.2, 4.3)","(9, 7)",3.311,"(3.1, 4.5)","(9, 8)",3.401,"(3.1, 4.6)","(9, 9)",3.534,"(3.0, 4.7)"
E,D,C,C,TRUE,"[1.85, 1.7]","[-55, -67, -60, -78, -83, -68]","(5, 6)",0.05,"(1.9, 1.7)","(0, 0)",1.297,"(3.0, 2.3)","(0, 1)",1.209,"(2.9, 2.3)","(0, 2)",1.04,"(2.7, 2.3)","(0, 3)",0.96,"(2.6, 2.3)","(0, 4)",0.885,"(2.5, 2.3)","(0, 5)",0.75,"(2.3, 2.3)","(0, 6)",0.695,"(2.2, 2.3)","(0, 7)",0.65,"(2.1, 2.3)","(0, 8)",0.602,"(1.9, 2.3)","(0, 9)",0.602,"(1.8, 2.3)","(1, 0)",1.163,"(2.9, 2.2)","(1, 1)",1.074,"(2.8, 2.2)","(1, 2)",0.986,"(2.7, 2.2)","(1, 3)",0.82,"(2.5, 2.2)","(1, 4)",0.743,"(2.4, 2.2)","(1, 5)",0.673,"(2.3, 2.2)","(1, 6)",0.559,"(2.1, 2.2)","(1, 7)",0.522,"(2.0, 2.2)","(1, 8)",0.502,"(1.9, 2.2)","(1, 9)",0.522,"(1.7, 2.2)","(2, 0)",1.124,"(2.9, 2.1)","(2, 1)",0.939,"(2.7, 2.1)","(2, 2)",0.85,"(2.6, 2.1)","(2, 3)",0.763,"(2.5, 2.1)","(2, 4)",0.602,"(2.3, 2.1)","(2, 5)",0.532,"(2.2, 2.1)","(2, 6)",0.472,"(2.1, 2.1)","(2, 7)",0.403,"(1.9, 2.1)","(2, 8)",0.403,"(1.8, 2.1)","(2, 9)",0.427,"(1.7, 2.1)","(3, 0)",0.971,"(2.8, 1.9)","(3, 1)",0.873,"(2.7, 1.9)","(3, 2)",0.68,"(2.5, 1.9)","(3, 3)",0.585,"(2.4, 1.9)","(3, 4)",0.492,"(2.3, 1.9)","(3, 5)",0.32,"(2.1, 1.9)","(3, 6)",0.25,"(2.0, 1.9)","(3, 7)",0.206,"(1.9, 1.9)","(3, 8)",0.25,"(1.7, 1.9)","(3, 9)",0.32,"(1.6, 1.9)","(4, 0)",0.856,"(2.7, 1.8)","(4, 1)",0.757,"(2.6, 1.8)","(4, 2)",0.658,"(2.5, 1.8)","(4, 3)",0.461,"(2.3, 1.8)","(4, 4)",0.364,"(2.2, 1.8)","(4, 5)",0.269,"(2.1, 1.8)","(4, 6)",0.112,"(1.9, 1.8)","(4, 7)",0.112,"(1.8, 1.8)","(4, 8)",0.18,"(1.7, 1.8)","(4, 9)",0.364,"(1.5, 1.8)","(5, 0)",0.85,"(2.7, 1.7)","(5, 1)",0.65,"(2.5, 1.7)","(5, 2)",0.55,"(2.4, 1.7)","(5, 3)",0.45,"(2.3, 1.7)","(5, 4)",0.25,"(2.1, 1.7)","(5, 5)",0.15,"(2.0, 1.7)","(5, 6)",0.05,"(1.9, 1.7)","(5, 7)",0.15,"(1.7, 1.7)","(5, 8)",0.25,"(1.6, 1.7)","(5, 9)",0.35,"(1.5, 1.7)","(6, 0)",0.776,"(2.6, 1.5)","(6, 1)",0.68,"(2.5, 1.5)","(6, 2)",0.492,"(2.3, 1.5)","(6, 3)",0.403,"(2.2, 1.5)","(6, 4)",0.32,"(2.1, 1.5)","(6, 5)",0.206,"(1.9, 1.5)","(6, 6)",0.206,"(1.8, 1.5)","(6, 7)",0.25,"(1.7, 1.5)","(6, 8)",0.403,"(1.5, 1.5)","(6, 9)",0.492,"(1.4, 1.5)","(7, 0)",0.716,"(2.5, 1.4)","(7, 1)",0.626,"(2.4, 1.4)","(7, 2)",0.541,"(2.3, 1.4)","(7, 3)",0.391,"(2.1, 1.4)","(7, 4)",0.335,"(2.0, 1.4)","(7, 5)",0.304,"(1.9, 1.4)","(7, 6)",0.335,"(1.7, 1.4)","(7, 7)",0.391,"(1.6, 1.4)","(7, 8)",0.461,"(1.5, 1.4)","(7, 9)",0.626,"(1.3, 1.4)","(8, 0)",0.763,"(2.5, 1.3)","(8, 1)",0.602,"(2.3, 1.3)","(8, 2)",0.532,"(2.2, 1.3)","(8, 3)",0.472,"(2.1, 1.3)","(8, 4)",0.403,"(1.9, 1.3)","(8, 5)",0.403,"(1.8, 1.3)","(8, 6)",0.427,"(1.7, 1.3)","(8, 7)",0.532,"(1.5, 1.3)","(8, 8)",0.602,"(1.4, 1.3)","(8, 9)",0.68,"(1.3, 1.3)","(9, 0)",0.814,"(2.4, 1.1)","(9, 1)",0.75,"(2.3, 1.1)","(9, 2)",0.65,"(2.1, 1.1)","(9, 3)",0.618,"(2.0, 1.1)","(9, 4)",0.602,"(1.9, 1.1)","(9, 5)",0.618,"(1.7, 1.1)","(9, 6)",0.65,"(1.6, 1.1)","(9, 7)",0.695,"(1.5, 1.1)","(9, 8)",0.814,"(1.3, 1.1)","(9, 9)",0.885,"(1.2, 1.1)"
D,C,E,E,TRUE,"[1.8, 3.9]","[-66, -48, -68, -71, -65, -57]","(9, 2)",0.707,"(2.5, 3.8)","(0, 0)",2,"(3.0, 2.3)","(0, 1)",1.91,"(3.1, 2.5)","(0, 2)",1.838,"(3.1, 2.6)","(0, 3)",1.844,"(3.2, 2.7)","(0, 4)",1.803,"(3.3, 2.9)","(0, 5)",1.749,"(3.3, 3.0)","(0, 6)",1.789,"(3.4, 3.1)","(0, 7)",1.803,"(3.5, 3.3)","(0, 8)",1.772,"(3.5, 3.4)","(0, 9)",1.844,"(3.6, 3.5)","(1, 0)",1.78,"(2.9, 2.5)","(1, 1)",1.769,"(3.0, 2.6)","(1, 2)",1.769,"(3.1, 2.7)","(1, 3)",1.64,"(3.1, 2.9)","(1, 4)",1.664,"(3.2, 3.0)","(1, 5)",1.7,"(3.3, 3.1)","(1, 6)",1.616,"(3.3, 3.3)","(1, 7)",1.676,"(3.4, 3.4)","(1, 8)",1.746,"(3.5, 3.5)","(1, 9)",1.712,"(3.5, 3.7)","(2, 0)",1.703,"(2.9, 2.6)","(2, 1)",1.628,"(2.9, 2.7)","(2, 2)",1.562,"(3.0, 2.9)","(2, 3)",1.581,"(3.1, 3.0)","(2, 4)",1.526,"(3.1, 3.1)","(2, 5)",1.523,"(3.2, 3.3)","(2, 6)",1.581,"(3.3, 3.4)","(2, 7)",1.552,"(3.3, 3.5)","(2, 8)",1.612,"(3.4, 3.7)","(2, 9)",1.703,"(3.5, 3.8)","(3, 0)",1.562,"(2.8, 2.7)","(3, 1)",1.487,"(2.9, 2.9)","(3, 2)",1.421,"(2.9, 3.0)","(3, 3)",1.442,"(3.0, 3.1)","(3, 4)",1.432,"(3.1, 3.3)","(3, 5)",1.393,"(3.1, 3.4)","(3, 6)",1.456,"(3.2, 3.5)","(3, 7)",1.513,"(3.3, 3.7)","(3, 8)",1.503,"(3.3, 3.8)","(3, 9)",1.6,"(3.4, 3.9)","(4, 0)",1.345,"(2.7, 2.9)","(4, 1)",1.345,"(2.8, 3.0)","(4, 2)",1.36,"(2.9, 3.1)","(4, 3)",1.253,"(2.9, 3.3)","(4, 4)",1.3,"(3.0, 3.4)","(4, 5)",1.36,"(3.1, 3.5)","(4, 6)",1.315,"(3.1, 3.7)","(4, 7)",1.404,"(3.2, 3.8)","(4, 8)",1.5,"(3.3, 3.9)","(4, 9)",1.513,"(3.3, 4.1)","(5, 0)",1.273,"(2.7, 3.0)","(5, 1)",1.204,"(2.7, 3.1)","(5, 2)",1.166,"(2.8, 3.3)","(5, 3)",1.208,"(2.9, 3.4)","(5, 4)",1.17,"(2.9, 3.5)","(5, 5)",1.217,"(3.0, 3.7)","(5, 6)",1.304,"(3.1, 3.8)","(5, 7)",1.3,"(3.1, 3.9)","(5, 8)",1.414,"(3.2, 4.1)","(5, 9)",1.53,"(3.3, 4.2)","(6, 0)",1.131,"(2.6, 3.1)","(6, 1)",1.082,"(2.7, 3.3)","(6, 2)",1.03,"(2.7, 3.4)","(6, 3)",1.077,"(2.8, 3.5)","(6, 4)",1.118,"(2.9, 3.7)","(6, 5)",1.105,"(2.9, 3.8)","(6, 6)",1.2,"(3.0, 3.9)","(6, 7)",1.315,"(3.1, 4.1)","(6, 8)",1.334,"(3.1, 4.2)","(6, 9)",1.456,"(3.2, 4.3)","(7, 0)",0.922,"(2.5, 3.3)","(7, 1)",0.943,"(2.6, 3.4)","(7, 2)",0.985,"(2.7, 3.5)","(7, 3)",0.922,"(2.7, 3.7)","(7, 4)",1.005,"(2.8, 3.8)","(7, 5)",1.1,"(2.9, 3.9)","(7, 6)",1.118,"(2.9, 4.1)","(7, 7)",1.237,"(3.0, 4.2)","(7, 8)",1.36,"(3.1, 4.3)","(7, 9)",1.432,"(3.1, 4.5)","(8, 0)",0.86,"(2.5, 3.4)","(8, 1)",0.806,"(2.5, 3.5)","(8, 2)",0.825,"(2.6, 3.7)","(8, 3)",0.906,"(2.7, 3.8)","(8, 4)",0.9,"(2.7, 3.9)","(8, 5)",1.02,"(2.8, 4.1)","(8, 6)",1.14,"(2.9, 4.2)","(8, 7)",1.17,"(2.9, 4.3)","(8, 8)",1.342,"(3.0, 4.5)","(8, 9)",1.476,"(3.1, 4.6)","(9, 0)",0.721,"(2.4, 3.5)","(9, 1)",0.728,"(2.5, 3.7)","(9, 2)",0.707,"(2.5, 3.8)","(9, 3)",0.8,"(2.6, 3.9)","(9, 4)",0.922,"(2.7, 4.1)","(9, 5)",0.949,"(2.7, 4.2)","(9, 6)",1.077,"(2.8, 4.3)","(9, 7)",1.253,"(2.9, 4.5)","(9, 8)",1.304,"(2.9, 4.6)","(9, 9)",1.442,"(3.0, 4.7)"
B,E,A,A,TRUE,"[1.3, 6.9]","[-77, -71, -80, -47, -56, -66]","(9, 0)",0.943,"(1.8, 7.7)","(0, 0)",1.879,"(3.0, 7.7)","(0, 1)",1.836,"(2.9, 7.8)","(0, 2)",1.887,"(2.9, 7.9)","(0, 3)",1.921,"(2.8, 8.1)","(0, 4)",1.91,"(2.7, 8.2)","(0, 5)",1.98,"(2.7, 8.3)","(0, 6)",2.062,"(2.6, 8.5)","(0, 7)",2.081,"(2.5, 8.6)","(0, 8)",2.163,"(2.5, 8.7)","(0, 9)",2.283,"(2.4, 8.9)","(1, 0)",1.789,"(2.9, 7.7)","(1, 1)",1.749,"(2.8, 7.8)","(1, 2)",1.72,"(2.7, 7.9)","(1, 3)",1.844,"(2.7, 8.1)","(1, 4)",1.838,"(2.6, 8.2)","(1, 5)",1.844,"(2.5, 8.3)","(1, 6)",2,"(2.5, 8.5)","(1, 7)",2.025,"(2.4, 8.6)","(1, 8)",2.059,"(2.3, 8.7)","(1, 9)",2.236,"(2.3, 8.9)","(2, 0)",1.612,"(2.7, 7.7)","(2, 1)",1.664,"(2.7, 7.8)","(2, 2)",1.64,"(2.6, 7.9)","(2, 3)",1.697,"(2.5, 8.1)","(2, 4)",1.769,"(2.5, 8.2)","(2, 5)",1.78,"(2.4, 8.3)","(2, 6)",1.887,"(2.3, 8.5)","(2, 7)",1.972,"(2.3, 8.6)","(2, 8)",2.012,"(2.2, 8.7)","(2, 9)",2.154,"(2.1, 8.9)","(3, 0)",1.526,"(2.6, 7.7)","(3, 1)",1.5,"(2.5, 7.8)","(3, 2)",1.562,"(2.5, 7.9)","(3, 3)",1.628,"(2.4, 8.1)","(3, 4)",1.64,"(2.3, 8.2)","(3, 5)",1.72,"(2.3, 8.3)","(3, 6)",1.836,"(2.2, 8.5)","(3, 7)",1.879,"(2.1, 8.6)","(3, 8)",1.97,"(2.1, 8.7)","(3, 9)",2.119,"(2.0, 8.9)","(4, 0)",1.442,"(2.5, 7.7)","(4, 1)",1.421,"(2.4, 7.8)","(4, 2)",1.414,"(2.3, 7.9)","(4, 3)",1.562,"(2.3, 8.1)","(4, 4)",1.581,"(2.2, 8.2)","(4, 5)",1.612,"(2.1, 8.3)","(4, 6)",1.789,"(2.1, 8.5)","(4, 7)",1.838,"(2.0, 8.6)","(4, 8)",1.897,"(1.9, 8.7)","(4, 9)",2.088,"(1.9, 8.9)","(5, 0)",1.281,"(2.3, 7.7)","(5, 1)",1.345,"(2.3, 7.8)","(5, 2)",1.345,"(2.2, 7.9)","(5, 3)",1.442,"(2.1, 8.1)","(5, 4)",1.526,"(2.1, 8.2)","(5, 5)",1.565,"(2.0, 8.3)","(5, 6)",1.709,"(1.9, 8.5)","(5, 7)",1.803,"(1.9, 8.6)","(5, 8)",1.868,"(1.8, 8.7)","(5, 9)",2.04,"(1.7, 8.9)","(6, 0)",1.204,"(2.2, 7.7)","(6, 1)",1.204,"(2.1, 7.8)","(6, 2)",1.281,"(2.1, 7.9)","(6, 3)",1.389,"(2.0, 8.1)","(6, 4)",1.432,"(1.9, 8.2)","(6, 5)",1.523,"(1.9, 8.3)","(6, 6)",1.676,"(1.8, 8.5)","(6, 7)",1.746,"(1.7, 8.6)","(6, 8)",1.844,"(1.7, 8.7)","(6, 9)",2.022,"(1.6, 8.9)","(7, 0)",1.131,"(2.1, 7.7)","(7, 1)",1.14,"(2.0, 7.8)","(7, 2)",1.166,"(1.9, 7.9)","(7, 3)",1.342,"(1.9, 8.1)","(7, 4)",1.393,"(1.8, 8.2)","(7, 5)",1.456,"(1.7, 8.3)","(7, 6)",1.649,"(1.7, 8.5)","(7, 7)",1.726,"(1.6, 8.6)","(7, 8)",1.811,"(1.5, 8.7)","(7, 9)",2.01,"(1.5, 8.9)","(8, 0)",1,"(1.9, 7.7)","(8, 1)",1.082,"(1.9, 7.8)","(8, 2)",1.118,"(1.8, 7.9)","(8, 3)",1.265,"(1.7, 8.1)","(8, 4)",1.36,"(1.7, 8.2)","(8, 5)",1.432,"(1.6, 8.3)","(8, 6)",1.612,"(1.5, 8.5)","(8, 7)",1.712,"(1.5, 8.6)","(8, 8)",1.803,"(1.4, 8.7)","(8, 9)",2,"(1.3, 8.9)","(9, 0)",0.943,"(1.8, 7.7)","(9, 1)",0.985,"(1.7, 7.8)","(9, 2)",1.077,"(1.7, 7.9)","(9, 3)",1.237,"(1.6, 8.1)","(9, 4)",1.315,"(1.5, 8.2)","(9, 5)",1.414,"(1.5, 8.3)","(9, 6)",1.603,"(1.4, 8.5)","(9, 7)",1.7,"(1.3, 8.6)","(9, 8)",1.8,"(1.3, 8.7)","(9, 9)",2.002,"(1.2, 8.9)"
C,A,E,E,TRUE,"[4.4, 5.6]","[-75, -62, -73, -47, -69, -46]","(9, 9)",1.616,"(2.9, 5.0)","(0, 0)",2.766,"(1.7, 5.0)","(0, 1)",2.789,"(1.7, 4.9)","(0, 2)",2.751,"(1.8, 4.7)","(0, 3)",2.693,"(1.9, 4.6)","(0, 4)",2.731,"(1.9, 4.5)","(0, 5)",2.729,"(2.0, 4.3)","(0, 6)",2.693,"(2.1, 4.2)","(0, 7)",2.746,"(2.1, 4.1)","(0, 8)",2.78,"(2.2, 3.9)","(0, 9)",2.766,"(2.3, 3.8)","(1, 0)",2.746,"(1.7, 5.1)","(1, 1)",2.668,"(1.8, 5.0)","(1, 2)",2.596,"(1.9, 4.9)","(1, 3)",2.657,"(1.9, 4.7)","(1, 4)",2.6,"(2.0, 4.6)","(1, 5)",2.55,"(2.1, 4.5)","(1, 6)",2.642,"(2.1, 4.3)","(1, 7)",2.608,"(2.2, 4.2)","(1, 8)",2.581,"(2.3, 4.1)","(1, 9)",2.702,"(2.3, 3.9)","(2, 0)",2.617,"(1.8, 5.3)","(2, 1)",2.55,"(1.9, 5.1)","(2, 2)",2.571,"(1.9, 5.0)","(2, 3)",2.5,"(2.0, 4.9)","(2, 4)",2.47,"(2.1, 4.7)","(2, 5)",2.508,"(2.1, 4.6)","(2, 6)",2.46,"(2.2, 4.5)","(2, 7)",2.47,"(2.3, 4.3)","(2, 8)",2.524,"(2.3, 4.2)","(2, 9)",2.5,"(2.4, 4.1)","(3, 0)",2.508,"(1.9, 5.4)","(3, 1)",2.518,"(1.9, 5.3)","(3, 2)",2.452,"(2.0, 5.1)","(3, 3)",2.377,"(2.1, 5.0)","(3, 4)",2.404,"(2.1, 4.9)","(3, 5)",2.377,"(2.2, 4.7)","(3, 6)",2.326,"(2.3, 4.6)","(3, 7)",2.371,"(2.3, 4.5)","(3, 8)",2.385,"(2.4, 4.3)","(3, 9)",2.36,"(2.5, 4.2)","(4, 0)",2.502,"(1.9, 5.5)","(4, 1)",2.408,"(2.0, 5.4)","(4, 2)",2.319,"(2.1, 5.3)","(4, 3)",2.354,"(2.1, 5.1)","(4, 4)",2.28,"(2.2, 5.0)","(4, 5)",2.214,"(2.3, 4.9)","(4, 6)",2.285,"(2.3, 4.7)","(4, 7)",2.236,"(2.4, 4.6)","(4, 8)",2.195,"(2.5, 4.5)","(4, 9)",2.302,"(2.5, 4.3)","(5, 0)",2.402,"(2.0, 5.7)","(5, 1)",2.302,"(2.1, 5.5)","(5, 2)",2.309,"(2.1, 5.4)","(5, 3)",2.22,"(2.2, 5.3)","(5, 4)",2.159,"(2.3, 5.1)","(5, 5)",2.184,"(2.3, 5.0)","(5, 6)",2.119,"(2.4, 4.9)","(5, 7)",2.102,"(2.5, 4.7)","(5, 8)",2.147,"(2.5, 4.6)","(5, 9)",2.11,"(2.6, 4.5)","(6, 0)",2.309,"(2.1, 5.8)","(6, 1)",2.302,"(2.1, 5.7)","(6, 2)",2.202,"(2.2, 5.5)","(6, 3)",2.11,"(2.3, 5.4)","(6, 4)",2.121,"(2.3, 5.3)","(6, 5)",2.062,"(2.4, 5.1)","(6, 6)",1.992,"(2.5, 5.0)","(6, 7)",2.025,"(2.5, 4.9)","(6, 8)",2.012,"(2.6, 4.7)","(6, 9)",1.972,"(2.7, 4.6)","(7, 0)",2.319,"(2.1, 5.9)","(7, 1)",2.209,"(2.2, 5.8)","(7, 2)",2.102,"(2.3, 5.7)","(7, 3)",2.102,"(2.3, 5.5)","(7, 4)",2.01,"(2.4, 5.4)","(7, 5)",1.924,"(2.5, 5.3)","(7, 6)",1.965,"(2.5, 5.1)","(7, 7)",1.897,"(2.6, 5.0)","(7, 8)",1.838,"(2.7, 4.9)","(7, 9)",1.924,"(2.7, 4.7)","(8, 0)",2.256,"(2.2, 6.1)","(8, 1)",2.121,"(2.3, 5.9)","(8, 2)",2.11,"(2.3, 5.8)","(8, 3)",2.002,"(2.4, 5.7)","(8, 4)",1.903,"(2.5, 5.5)","(8, 5)",1.91,"(2.5, 5.4)","(8, 6)",1.825,"(2.6, 5.3)","(8, 7)",1.772,"(2.7, 5.1)","(8, 8)",1.803,"(2.7, 5.0)","(8, 9)",1.746,"(2.8, 4.9)","(9, 0)",2.184,"(2.3, 6.2)","(9, 1)",2.159,"(2.3, 6.1)","(9, 2)",2.022,"(2.4, 5.9)","(9, 3)",1.91,"(2.5, 5.8)","(9, 4)",1.903,"(2.5, 5.7)","(9, 5)",1.803,"(2.6, 5.5)","(9, 6)",1.712,"(2.7, 5.4)","(9, 7)",1.726,"(2.7, 5.3)","(9, 8)",1.676,"(2.8, 5.1)","(9, 9)",1.616,"(2.9, 5.0)"
