Shift_Point1,Shift_Point2,Toward_Point,Actual_Coord,RSSI,Best_Shift,Best_accuracy,Best_coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord
B,D,E,"[4.9, 4.3]","[-76, -58, -69, -58, -72, -58]",0,0.922,"(4.3, 5.0)",0,0.922,"(4.3, 5.0)",1,0.99,"(4.2, 5.0)",2,1.063,"(4.1, 5.0)",3,1.221,"(3.9, 5.0)",4,1.304,"(3.8, 5.0)",5,1.389,"(3.7, 5.0)",6,1.565,"(3.5, 5.0)",7,1.655,"(3.4, 5.0)",8,1.746,"(3.3, 5.0)",9,1.931,"(3.1, 5.0)"
C,D,E,"[3, 1.95]","[-64, -65, -65, -58, -70, -69]",0,0.35,"(3.0, 2.3)",0,0.35,"(3.0, 2.3)",1,0.65,"(3.0, 2.6)",2,0.95,"(3.0, 2.9)",3,1.15,"(3.0, 3.1)",4,1.45,"(3.0, 3.4)",5,1.75,"(3.0, 3.7)",6,1.95,"(3.0, 3.9)",7,2.25,"(3.0, 4.2)",8,2.55,"(3.0, 4.5)",9,2.75,"(3.0, 4.7)"
E,C,D,"[3.9, 1.4]","[-61, -67, -66, -66, -72, -66]",5,0.316,"(4.0, 1.7)",0,1.273,"(3.0, 2.3)",1,1.063,"(3.2, 2.2)",2,0.86,"(3.4, 2.1)",3,0.583,"(3.6, 1.9)",4,0.412,"(3.8, 1.8)",5,0.316,"(4.0, 1.7)",6,0.316,"(4.2, 1.5)",7,0.5,"(4.4, 1.4)",8,0.707,"(4.6, 1.3)",9,0.949,"(4.8, 1.1)"
A,B,E,"[3.2, 6.2]","[-77, -80, -74, -49, -62, -52]",6,0.224,"(3.0, 6.1)",0,1.513,"(3.0, 7.7)",1,1.217,"(3.0, 7.4)",2,0.922,"(3.0, 7.1)",3,0.728,"(3.0, 6.9)",4,0.447,"(3.0, 6.6)",5,0.224,"(3.0, 6.3)",6,0.224,"(3.0, 6.1)",7,0.447,"(3.0, 5.8)",8,0.728,"(3.0, 5.5)",9,0.922,"(3.0, 5.3)"
C,D,E,"[2.2, 3]","[-66, -49, -72, -60, -71, -65]",2,0.806,"(3.0, 2.9)",0,1.063,"(3.0, 2.3)",1,0.894,"(3.0, 2.6)",2,0.806,"(3.0, 2.9)",3,0.806,"(3.0, 3.1)",4,0.894,"(3.0, 3.4)",5,1.063,"(3.0, 3.7)",6,1.204,"(3.0, 3.9)",7,1.442,"(3.0, 4.2)",8,1.7,"(3.0, 4.5)",9,1.879,"(3.0, 4.7)"
B,A,E,"[1.5, 7.6]","[-75, -70, -77, -54, -63, -58]",0,1.503,"(3.0, 7.7)",0,1.503,"(3.0, 7.7)",1,1.513,"(3.0, 7.4)",2,1.581,"(3.0, 7.1)",3,1.655,"(3.0, 6.9)",4,1.803,"(3.0, 6.6)",5,1.985,"(3.0, 6.3)",6,2.121,"(3.0, 6.1)",7,2.343,"(3.0, 5.8)",8,2.581,"(3.0, 5.5)",9,2.746,"(3.0, 5.3)"
A,B,E,"[1.05, 3.6]","[-75, -50, -79, -54, -67, -55]",9,2.587,"(3.0, 5.3)",0,4.54,"(3.0, 7.7)",1,4.271,"(3.0, 7.4)",2,4.007,"(3.0, 7.1)",3,3.833,"(3.0, 6.9)",4,3.578,"(3.0, 6.6)",5,3.331,"(3.0, 6.3)",6,3.171,"(3.0, 6.1)",7,2.94,"(3.0, 5.8)",8,2.723,"(3.0, 5.5)",9,2.587,"(3.0, 5.3)"
B,E,A,"[1.5, 7.6]","[-78, -71, -77, -52, -61, -58]",5,0.86,"(2.0, 8.3)",0,1.503,"(3.0, 7.7)",1,1.315,"(2.8, 7.8)",2,1.14,"(2.6, 7.9)",3,1.03,"(2.4, 8.1)",4,0.922,"(2.2, 8.2)",5,0.86,"(2.0, 8.3)",6,0.949,"(1.8, 8.5)",7,1.005,"(1.6, 8.6)",8,1.105,"(1.4, 8.7)",9,1.334,"(1.2, 8.9)"
B,D,E,"[4.95, 8.2]","[-80, -73, -67, -55, -72, -23]",0,3.265,"(4.3, 5.0)",0,3.265,"(4.3, 5.0)",1,3.287,"(4.2, 5.0)",2,3.311,"(4.1, 5.0)",3,3.368,"(3.9, 5.0)",4,3.4,"(3.8, 5.0)",5,3.435,"(3.7, 5.0)",6,3.513,"(3.5, 5.0)",7,3.556,"(3.4, 5.0)",8,3.6,"(3.3, 5.0)",9,3.696,"(3.1, 5.0)"
A,B,E,"[1.05, 3.6]","[-75, -48, -83, -54, -70, -56]",9,2.587,"(3.0, 5.3)",0,4.54,"(3.0, 7.7)",1,4.271,"(3.0, 7.4)",2,4.007,"(3.0, 7.1)",3,3.833,"(3.0, 6.9)",4,3.578,"(3.0, 6.6)",5,3.331,"(3.0, 6.3)",6,3.171,"(3.0, 6.1)",7,2.94,"(3.0, 5.8)",8,2.723,"(3.0, 5.5)",9,2.587,"(3.0, 5.3)"
C,D,E,"[1.8, 3.2]","[-64, -69, -64, -54, -72, -59]",3,1.204,"(3.0, 3.1)",0,1.5,"(3.0, 2.3)",1,1.342,"(3.0, 2.6)",2,1.237,"(3.0, 2.9)",3,1.204,"(3.0, 3.1)",4,1.217,"(3.0, 3.4)",5,1.3,"(3.0, 3.7)",6,1.389,"(3.0, 3.9)",7,1.562,"(3.0, 4.2)",8,1.769,"(3.0, 4.5)",9,1.921,"(3.0, 4.7)"
B,E,A,"[3.2, 7.7]","[-73, -63, -80, -61, -53, -58]",0,0.2,"(3.0, 7.7)",0,0.2,"(3.0, 7.7)",1,0.412,"(2.8, 7.8)",2,0.632,"(2.6, 7.9)",3,0.894,"(2.4, 8.1)",4,1.118,"(2.2, 8.2)",5,1.342,"(2.0, 8.3)",6,1.612,"(1.8, 8.5)",7,1.836,"(1.6, 8.6)",8,2.059,"(1.4, 8.7)",9,2.332,"(1.2, 8.9)"
E,B,D,"[1.1, 1.1]","[-61, -75, -78, -73, -81, -80]",9,3.812,"(4.9, 1.4)",0,5.045,"(4.3, 5.0)",1,4.81,"(4.4, 4.6)",2,4.601,"(4.5, 4.2)",3,4.342,"(4.5, 3.8)",4,4.188,"(4.6, 3.4)",5,4.071,"(4.7, 3.0)",6,3.9,"(4.7, 2.6)",7,3.86,"(4.8, 2.2)",8,3.864,"(4.9, 1.8)",9,3.812,"(4.9, 1.4)"
C,D,E,"[2.2, 3]","[-66, -52, -69, -61, -75, -62]",2,0.806,"(3.0, 2.9)",0,1.063,"(3.0, 2.3)",1,0.894,"(3.0, 2.6)",2,0.806,"(3.0, 2.9)",3,0.806,"(3.0, 3.1)",4,0.894,"(3.0, 3.4)",5,1.063,"(3.0, 3.7)",6,1.204,"(3.0, 3.9)",7,1.442,"(3.0, 4.2)",8,1.7,"(3.0, 4.5)",9,1.879,"(3.0, 4.7)"
E,C,D,"[1.8, 3.9]","[-66, -49, -68, -71, -64, -57]",0,2,"(3.0, 2.3)",0,2,"(3.0, 2.3)",1,2.202,"(3.2, 2.2)",2,2.408,"(3.4, 2.1)",3,2.691,"(3.6, 1.9)",4,2.9,"(3.8, 1.8)",5,3.111,"(4.0, 1.7)",6,3.394,"(4.2, 1.5)",7,3.607,"(4.4, 1.4)",8,3.821,"(4.6, 1.3)",9,4.104,"(4.8, 1.1)"
C,D,E,"[4.9, 5]","[-78, -74, -65, -53, -74, -54]",9,1.924,"(3.0, 4.7)",0,3.302,"(3.0, 2.3)",1,3.061,"(3.0, 2.6)",2,2.832,"(3.0, 2.9)",3,2.687,"(3.0, 3.1)",4,2.484,"(3.0, 3.4)",5,2.302,"(3.0, 3.7)",6,2.195,"(3.0, 3.9)",7,2.062,"(3.0, 4.2)",8,1.965,"(3.0, 4.5)",9,1.924,"(3.0, 4.7)"
B,D,E,"[4.4, 5.6]","[-75, -61, -73, -47, -70, -46]",0,0.608,"(4.3, 5.0)",0,0.608,"(4.3, 5.0)",1,0.632,"(4.2, 5.0)",2,0.671,"(4.1, 5.0)",3,0.781,"(3.9, 5.0)",4,0.849,"(3.8, 5.0)",5,0.922,"(3.7, 5.0)",6,1.082,"(3.5, 5.0)",7,1.166,"(3.4, 5.0)",8,1.253,"(3.3, 5.0)",9,1.432,"(3.1, 5.0)"
B,E,A,"[1.6, 5.8]","[-71, -63, -80, -51, -58, -56]",2,2.326,"(2.6, 7.9)",0,2.36,"(3.0, 7.7)",1,2.332,"(2.8, 7.8)",2,2.326,"(2.6, 7.9)",3,2.435,"(2.4, 8.1)",4,2.474,"(2.2, 8.2)",5,2.532,"(2.0, 8.3)",6,2.707,"(1.8, 8.5)",7,2.8,"(1.6, 8.6)",8,2.907,"(1.4, 8.7)",9,3.126,"(1.2, 8.9)"
B,A,E,"[3.05, 4.3]","[-81, -52, -68, -52, -60, -62]",9,1.001,"(3.0, 5.3)",0,3.4,"(3.0, 7.7)",1,3.1,"(3.0, 7.4)",2,2.8,"(3.0, 7.1)",3,2.6,"(3.0, 6.9)",4,2.301,"(3.0, 6.6)",5,2.001,"(3.0, 6.3)",6,1.801,"(3.0, 6.1)",7,1.501,"(3.0, 5.8)",8,1.201,"(3.0, 5.5)",9,1.001,"(3.0, 5.3)"
A,E,B,"[2.3, 8.9]","[-89, -78, -85, -62, -63, -61]",0,1.389,"(3.0, 7.7)",0,1.389,"(3.0, 7.7)",1,1.421,"(3.2, 7.8)",2,1.487,"(3.4, 7.9)",3,1.526,"(3.6, 8.1)",4,1.655,"(3.8, 8.2)",5,1.803,"(4.0, 8.3)",6,1.942,"(4.2, 8.5)",7,2.121,"(4.4, 8.6)",8,2.309,"(4.6, 8.7)",9,2.5,"(4.8, 8.9)"
B,A,E,"[3.05, 4.3]","[-81, -52, -68, -53, -60, -62]",9,1.001,"(3.0, 5.3)",0,3.4,"(3.0, 7.7)",1,3.1,"(3.0, 7.4)",2,2.8,"(3.0, 7.1)",3,2.6,"(3.0, 6.9)",4,2.301,"(3.0, 6.6)",5,2.001,"(3.0, 6.3)",6,1.801,"(3.0, 6.1)",7,1.501,"(3.0, 5.8)",8,1.201,"(3.0, 5.5)",9,1.001,"(3.0, 5.3)"
B,A,E,"[4.4, 6.5]","[-82, -67, -71, -61, -65, -47]",4,1.404,"(3.0, 6.6)",0,1.844,"(3.0, 7.7)",1,1.664,"(3.0, 7.4)",2,1.523,"(3.0, 7.1)",3,1.456,"(3.0, 6.9)",4,1.404,"(3.0, 6.6)",5,1.414,"(3.0, 6.3)",6,1.456,"(3.0, 6.1)",7,1.565,"(3.0, 5.8)",8,1.72,"(3.0, 5.5)",9,1.844,"(3.0, 5.3)"
E,B,A,"[2.2, 7.4]","[-70, -72, -86, -57, -49, -59]",2,0.64,"(2.6, 7.9)",0,0.854,"(3.0, 7.7)",1,0.721,"(2.8, 7.8)",2,0.64,"(2.6, 7.9)",3,0.728,"(2.4, 8.1)",4,0.8,"(2.2, 8.2)",5,0.922,"(2.0, 8.3)",6,1.17,"(1.8, 8.5)",7,1.342,"(1.6, 8.6)",8,1.526,"(1.4, 8.7)",9,1.803,"(1.2, 8.9)"
B,A,E,"[1.5, 7.6]","[-74, -70, -77, -54, -63, -58]",0,1.503,"(3.0, 7.7)",0,1.503,"(3.0, 7.7)",1,1.513,"(3.0, 7.4)",2,1.581,"(3.0, 7.1)",3,1.655,"(3.0, 6.9)",4,1.803,"(3.0, 6.6)",5,1.985,"(3.0, 6.3)",6,2.121,"(3.0, 6.1)",7,2.343,"(3.0, 5.8)",8,2.581,"(3.0, 5.5)",9,2.746,"(3.0, 5.3)"
B,E,A,"[1.1, 8.8]","[-69, -62, -83, -53, -52, -68]",9,0.141,"(1.2, 8.9)",0,2.195,"(3.0, 7.7)",1,1.972,"(2.8, 7.8)",2,1.749,"(2.6, 7.9)",3,1.476,"(2.4, 8.1)",4,1.253,"(2.2, 8.2)",5,1.03,"(2.0, 8.3)",6,0.762,"(1.8, 8.5)",7,0.539,"(1.6, 8.6)",8,0.316,"(1.4, 8.7)",9,0.141,"(1.2, 8.9)"
C,D,E,"[1.8, 3.2]","[-64, -74, -64, -54, -73, -60]",3,1.204,"(3.0, 3.1)",0,1.5,"(3.0, 2.3)",1,1.342,"(3.0, 2.6)",2,1.237,"(3.0, 2.9)",3,1.204,"(3.0, 3.1)",4,1.217,"(3.0, 3.4)",5,1.3,"(3.0, 3.7)",6,1.389,"(3.0, 3.9)",7,1.562,"(3.0, 4.2)",8,1.769,"(3.0, 4.5)",9,1.921,"(3.0, 4.7)"
E,B,A,"[1.1, 8.8]","[-69, -67, -86, -54, -54, -68]",9,0.141,"(1.2, 8.9)",0,2.195,"(3.0, 7.7)",1,1.972,"(2.8, 7.8)",2,1.749,"(2.6, 7.9)",3,1.476,"(2.4, 8.1)",4,1.253,"(2.2, 8.2)",5,1.03,"(2.0, 8.3)",6,0.762,"(1.8, 8.5)",7,0.539,"(1.6, 8.6)",8,0.316,"(1.4, 8.7)",9,0.141,"(1.2, 8.9)"
B,E,A,"[1.3, 6.9]","[-77, -69, -78, -48, -57, -68]",5,1.565,"(2.0, 8.3)",0,1.879,"(3.0, 7.7)",1,1.749,"(2.8, 7.8)",2,1.64,"(2.6, 7.9)",3,1.628,"(2.4, 8.1)",4,1.581,"(2.2, 8.2)",5,1.565,"(2.0, 8.3)",6,1.676,"(1.8, 8.5)",7,1.726,"(1.6, 8.6)",8,1.803,"(1.4, 8.7)",9,2.002,"(1.2, 8.9)"
E,C,D,"[4.5, 1.5]","[-73, -65, -62, -66, -75, -60]",7,0.141,"(4.4, 1.4)",0,1.7,"(3.0, 2.3)",1,1.476,"(3.2, 2.2)",2,1.253,"(3.4, 2.1)",3,0.985,"(3.6, 1.9)",4,0.762,"(3.8, 1.8)",5,0.539,"(4.0, 1.7)",6,0.3,"(4.2, 1.5)",7,0.141,"(4.4, 1.4)",8,0.224,"(4.6, 1.3)",9,0.5,"(4.8, 1.1)"
E,C,D,"[3.4, 3.8]","[-67, -52, -73, -68, -62, -60]",0,1.552,"(3.0, 2.3)",0,1.552,"(3.0, 2.3)",1,1.612,"(3.2, 2.2)",2,1.7,"(3.4, 2.1)",3,1.91,"(3.6, 1.9)",4,2.04,"(3.8, 1.8)",5,2.184,"(4.0, 1.7)",6,2.435,"(4.2, 1.5)",7,2.6,"(4.4, 1.4)",8,2.773,"(4.6, 1.3)",9,3.041,"(4.8, 1.1)"
C,E,D,"[1.8, 3.9]","[-66, -49, -69, -65, -66, -57]",0,2,"(3.0, 2.3)",0,2,"(3.0, 2.3)",1,2.202,"(3.2, 2.2)",2,2.408,"(3.4, 2.1)",3,2.691,"(3.6, 1.9)",4,2.9,"(3.8, 1.8)",5,3.111,"(4.0, 1.7)",6,3.394,"(4.2, 1.5)",7,3.607,"(4.4, 1.4)",8,3.821,"(4.6, 1.3)",9,4.104,"(4.8, 1.1)"
C,A,E,"[3.7, 4.9]","[-69, -52, -75, -62, -85, -58]",9,0.806,"(2.9, 5.0)",0,2.002,"(1.7, 5.0)",1,1.903,"(1.8, 5.0)",2,1.803,"(1.9, 5.0)",3,1.603,"(2.1, 5.0)",4,1.503,"(2.2, 5.0)",5,1.404,"(2.3, 5.0)",6,1.204,"(2.5, 5.0)",7,1.105,"(2.6, 5.0)",8,1.005,"(2.7, 5.0)",9,0.806,"(2.9, 5.0)"
E,C,D,"[4.5, 1.5]","[-75, -66, -62, -66, -75, -60]",7,0.141,"(4.4, 1.4)",0,1.7,"(3.0, 2.3)",1,1.476,"(3.2, 2.2)",2,1.253,"(3.4, 2.1)",3,0.985,"(3.6, 1.9)",4,0.762,"(3.8, 1.8)",5,0.539,"(4.0, 1.7)",6,0.3,"(4.2, 1.5)",7,0.141,"(4.4, 1.4)",8,0.224,"(4.6, 1.3)",9,0.5,"(4.8, 1.1)"
E,C,D,"[2.3, 3.8]","[-61, -47, -66, -66, -89, -66]",0,1.655,"(3.0, 2.3)",0,1.655,"(3.0, 2.3)",1,1.836,"(3.2, 2.2)",2,2.025,"(3.4, 2.1)",3,2.302,"(3.6, 1.9)",4,2.5,"(3.8, 1.8)",5,2.702,"(4.0, 1.7)",6,2.983,"(4.2, 1.5)",7,3.189,"(4.4, 1.4)",8,3.397,"(4.6, 1.3)",9,3.68,"(4.8, 1.1)"
C,D,E,"[1.8, 3.2]","[-64, -74, -64, -54, -71, -60]",3,1.204,"(3.0, 3.1)",0,1.5,"(3.0, 2.3)",1,1.342,"(3.0, 2.6)",2,1.237,"(3.0, 2.9)",3,1.204,"(3.0, 3.1)",4,1.217,"(3.0, 3.4)",5,1.3,"(3.0, 3.7)",6,1.389,"(3.0, 3.9)",7,1.562,"(3.0, 4.2)",8,1.769,"(3.0, 4.5)",9,1.921,"(3.0, 4.7)"
C,D,E,"[4.9, 5]","[-78, -74, -65, -54, -74, -54]",9,1.924,"(3.0, 4.7)",0,3.302,"(3.0, 2.3)",1,3.061,"(3.0, 2.6)",2,2.832,"(3.0, 2.9)",3,2.687,"(3.0, 3.1)",4,2.484,"(3.0, 3.4)",5,2.302,"(3.0, 3.7)",6,2.195,"(3.0, 3.9)",7,2.062,"(3.0, 4.2)",8,1.965,"(3.0, 4.5)",9,1.924,"(3.0, 4.7)"
B,E,A,"[3.2, 8.6]","[-87, -73, -77, -60, -58, -59]",1,0.894,"(2.8, 7.8)",0,0.922,"(3.0, 7.7)",1,0.894,"(2.8, 7.8)",2,0.922,"(2.6, 7.9)",3,0.943,"(2.4, 8.1)",4,1.077,"(2.2, 8.2)",5,1.237,"(2.0, 8.3)",6,1.404,"(1.8, 8.5)",7,1.6,"(1.6, 8.6)",8,1.803,"(1.4, 8.7)",9,2.022,"(1.2, 8.9)"
C,D,E,"[1.8, 4.8]","[-73, -68, -72, -58, -73, -69]",9,1.204,"(3.0, 4.7)",0,2.773,"(3.0, 2.3)",1,2.506,"(3.0, 2.6)",2,2.247,"(3.0, 2.9)",3,2.081,"(3.0, 3.1)",4,1.844,"(3.0, 3.4)",5,1.628,"(3.0, 3.7)",6,1.5,"(3.0, 3.9)",7,1.342,"(3.0, 4.2)",8,1.237,"(3.0, 4.5)",9,1.204,"(3.0, 4.7)"
E,C,D,"[3.4, 3.8]","[-67, -54, -74, -68, -63, -59]",0,1.552,"(3.0, 2.3)",0,1.552,"(3.0, 2.3)",1,1.612,"(3.2, 2.2)",2,1.7,"(3.4, 2.1)",3,1.91,"(3.6, 1.9)",4,2.04,"(3.8, 1.8)",5,2.184,"(4.0, 1.7)",6,2.435,"(4.2, 1.5)",7,2.6,"(4.4, 1.4)",8,2.773,"(4.6, 1.3)",9,3.041,"(4.8, 1.1)"
B,E,A,"[1.6, 5.8]","[-70, -62, -80, -50, -58, -55]",2,2.326,"(2.6, 7.9)",0,2.36,"(3.0, 7.7)",1,2.332,"(2.8, 7.8)",2,2.326,"(2.6, 7.9)",3,2.435,"(2.4, 8.1)",4,2.474,"(2.2, 8.2)",5,2.532,"(2.0, 8.3)",6,2.707,"(1.8, 8.5)",7,2.8,"(1.6, 8.6)",8,2.907,"(1.4, 8.7)",9,3.126,"(1.2, 8.9)"
B,A,E,"[1.5, 7.6]","[-76, -70, -78, -52, -63, -58]",0,1.503,"(3.0, 7.7)",0,1.503,"(3.0, 7.7)",1,1.513,"(3.0, 7.4)",2,1.581,"(3.0, 7.1)",3,1.655,"(3.0, 6.9)",4,1.803,"(3.0, 6.6)",5,1.985,"(3.0, 6.3)",6,2.121,"(3.0, 6.1)",7,2.343,"(3.0, 5.8)",8,2.581,"(3.0, 5.5)",9,2.746,"(3.0, 5.3)"
B,A,E,"[4.4, 6.5]","[-82, -67, -71, -61, -64, -47]",4,1.404,"(3.0, 6.6)",0,1.844,"(3.0, 7.7)",1,1.664,"(3.0, 7.4)",2,1.523,"(3.0, 7.1)",3,1.456,"(3.0, 6.9)",4,1.404,"(3.0, 6.6)",5,1.414,"(3.0, 6.3)",6,1.456,"(3.0, 6.1)",7,1.565,"(3.0, 5.8)",8,1.72,"(3.0, 5.5)",9,1.844,"(3.0, 5.3)"
C,D,E,"[3, 1.95]","[-64, -65, -66, -58, -69, -69]",0,0.35,"(3.0, 2.3)",0,0.35,"(3.0, 2.3)",1,0.65,"(3.0, 2.6)",2,0.95,"(3.0, 2.9)",3,1.15,"(3.0, 3.1)",4,1.45,"(3.0, 3.4)",5,1.75,"(3.0, 3.7)",6,1.95,"(3.0, 3.9)",7,2.25,"(3.0, 4.2)",8,2.55,"(3.0, 4.5)",9,2.75,"(3.0, 4.7)"
B,A,E,"[1.5, 7.6]","[-75, -70, -77, -53, -63, -58]",0,1.503,"(3.0, 7.7)",0,1.503,"(3.0, 7.7)",1,1.513,"(3.0, 7.4)",2,1.581,"(3.0, 7.1)",3,1.655,"(3.0, 6.9)",4,1.803,"(3.0, 6.6)",5,1.985,"(3.0, 6.3)",6,2.121,"(3.0, 6.1)",7,2.343,"(3.0, 5.8)",8,2.581,"(3.0, 5.5)",9,2.746,"(3.0, 5.3)"
B,D,E,"[4.4, 5.6]","[-74, -60, -72, -47, -70, -46]",0,0.608,"(4.3, 5.0)",0,0.608,"(4.3, 5.0)",1,0.632,"(4.2, 5.0)",2,0.671,"(4.1, 5.0)",3,0.781,"(3.9, 5.0)",4,0.849,"(3.8, 5.0)",5,0.922,"(3.7, 5.0)",6,1.082,"(3.5, 5.0)",7,1.166,"(3.4, 5.0)",8,1.253,"(3.3, 5.0)",9,1.432,"(3.1, 5.0)"
B,E,A,"[1.3, 6.9]","[-75, -71, -78, -47, -57, -67]",5,1.565,"(2.0, 8.3)",0,1.879,"(3.0, 7.7)",1,1.749,"(2.8, 7.8)",2,1.64,"(2.6, 7.9)",3,1.628,"(2.4, 8.1)",4,1.581,"(2.2, 8.2)",5,1.565,"(2.0, 8.3)",6,1.676,"(1.8, 8.5)",7,1.726,"(1.6, 8.6)",8,1.803,"(1.4, 8.7)",9,2.002,"(1.2, 8.9)"
B,E,A,"[2.6, 5.5]","[-76, -55, -76, -56, -59, -65]",0,2.236,"(3.0, 7.7)",0,2.236,"(3.0, 7.7)",1,2.309,"(2.8, 7.8)",2,2.4,"(2.6, 7.9)",3,2.608,"(2.4, 8.1)",4,2.729,"(2.2, 8.2)",5,2.864,"(2.0, 8.3)",6,3.105,"(1.8, 8.5)",7,3.257,"(1.6, 8.6)",8,3.418,"(1.4, 8.7)",9,3.677,"(1.2, 8.9)"
B,E,A,"[3.2, 8.6]","[-87, -73, -77, -59, -56, -60]",1,0.894,"(2.8, 7.8)",0,0.922,"(3.0, 7.7)",1,0.894,"(2.8, 7.8)",2,0.922,"(2.6, 7.9)",3,0.943,"(2.4, 8.1)",4,1.077,"(2.2, 8.2)",5,1.237,"(2.0, 8.3)",6,1.404,"(1.8, 8.5)",7,1.6,"(1.6, 8.6)",8,1.803,"(1.4, 8.7)",9,2.022,"(1.2, 8.9)"
A,B,E,"[4.4, 6.5]","[-83, -67, -71, -60, -65, -47]",4,1.404,"(3.0, 6.6)",0,1.844,"(3.0, 7.7)",1,1.664,"(3.0, 7.4)",2,1.523,"(3.0, 7.1)",3,1.456,"(3.0, 6.9)",4,1.404,"(3.0, 6.6)",5,1.414,"(3.0, 6.3)",6,1.456,"(3.0, 6.1)",7,1.565,"(3.0, 5.8)",8,1.72,"(3.0, 5.5)",9,1.844,"(3.0, 5.3)"
A,B,E,"[4.4, 6.5]","[-83, -67, -71, -60, -65, -47]",4,1.404,"(3.0, 6.6)",0,1.844,"(3.0, 7.7)",1,1.664,"(3.0, 7.4)",2,1.523,"(3.0, 7.1)",3,1.456,"(3.0, 6.9)",4,1.404,"(3.0, 6.6)",5,1.414,"(3.0, 6.3)",6,1.456,"(3.0, 6.1)",7,1.565,"(3.0, 5.8)",8,1.72,"(3.0, 5.5)",9,1.844,"(3.0, 5.3)"
B,E,A,"[2.6, 8.2]","[-81, -79, -85, -54, -60, -66]",3,0.224,"(2.4, 8.1)",0,0.64,"(3.0, 7.7)",1,0.447,"(2.8, 7.8)",2,0.3,"(2.6, 7.9)",3,0.224,"(2.4, 8.1)",4,0.4,"(2.2, 8.2)",5,0.608,"(2.0, 8.3)",6,0.854,"(1.8, 8.5)",7,1.077,"(1.6, 8.6)",8,1.3,"(1.4, 8.7)",9,1.565,"(1.2, 8.9)"
B,D,E,"[4.95, 8.2]","[-81, -75, -66, -54, -71, -23]",0,3.265,"(4.3, 5.0)",0,3.265,"(4.3, 5.0)",1,3.287,"(4.2, 5.0)",2,3.311,"(4.1, 5.0)",3,3.368,"(3.9, 5.0)",4,3.4,"(3.8, 5.0)",5,3.435,"(3.7, 5.0)",6,3.513,"(3.5, 5.0)",7,3.556,"(3.4, 5.0)",8,3.6,"(3.3, 5.0)",9,3.696,"(3.1, 5.0)"
C,D,E,"[2.8, 2.3]","[-59, -52, -70, -60, -75, -68]",0,0.2,"(3.0, 2.3)",0,0.2,"(3.0, 2.3)",1,0.361,"(3.0, 2.6)",2,0.632,"(3.0, 2.9)",3,0.825,"(3.0, 3.1)",4,1.118,"(3.0, 3.4)",5,1.414,"(3.0, 3.7)",6,1.612,"(3.0, 3.9)",7,1.91,"(3.0, 4.2)",8,2.209,"(3.0, 4.5)",9,2.408,"(3.0, 4.7)"
C,D,E,"[2.2, 4.3]","[-68, -58, -71, -62, -77, -54]",7,0.806,"(3.0, 4.2)",0,2.154,"(3.0, 2.3)",1,1.879,"(3.0, 2.6)",2,1.612,"(3.0, 2.9)",3,1.442,"(3.0, 3.1)",4,1.204,"(3.0, 3.4)",5,1,"(3.0, 3.7)",6,0.894,"(3.0, 3.9)",7,0.806,"(3.0, 4.2)",8,0.825,"(3.0, 4.5)",9,0.894,"(3.0, 4.7)"
E,C,D,"[1.1, 1.1]","[-60, -72, -75, -73, -80, -80]",0,2.247,"(3.0, 2.3)",0,2.247,"(3.0, 2.3)",1,2.371,"(3.2, 2.2)",2,2.508,"(3.4, 2.1)",3,2.625,"(3.6, 1.9)",4,2.789,"(3.8, 1.8)",5,2.961,"(4.0, 1.7)",6,3.126,"(4.2, 1.5)",7,3.314,"(4.4, 1.4)",8,3.506,"(4.6, 1.3)",9,3.7,"(4.8, 1.1)"
D,B,E,"[3.4, 3]","[-77, -32, -72, -55, -65, -58]",7,2,"(3.4, 5.0)",0,2.193,"(4.3, 5.0)",1,2.154,"(4.2, 5.0)",2,2.119,"(4.1, 5.0)",3,2.062,"(3.9, 5.0)",4,2.04,"(3.8, 5.0)",5,2.022,"(3.7, 5.0)",6,2.002,"(3.5, 5.0)",7,2,"(3.4, 5.0)",8,2.002,"(3.3, 5.0)",9,2.022,"(3.1, 5.0)"
E,C,D,"[3.9, 1.4]","[-61, -68, -65, -67, -72, -66]",5,0.316,"(4.0, 1.7)",0,1.273,"(3.0, 2.3)",1,1.063,"(3.2, 2.2)",2,0.86,"(3.4, 2.1)",3,0.583,"(3.6, 1.9)",4,0.412,"(3.8, 1.8)",5,0.316,"(4.0, 1.7)",6,0.316,"(4.2, 1.5)",7,0.5,"(4.4, 1.4)",8,0.707,"(4.6, 1.3)",9,0.949,"(4.8, 1.1)"
B,A,E,"[1.5, 7.6]","[-76, -71, -78, -52, -62, -58]",0,1.503,"(3.0, 7.7)",0,1.503,"(3.0, 7.7)",1,1.513,"(3.0, 7.4)",2,1.581,"(3.0, 7.1)",3,1.655,"(3.0, 6.9)",4,1.803,"(3.0, 6.6)",5,1.985,"(3.0, 6.3)",6,2.121,"(3.0, 6.1)",7,2.343,"(3.0, 5.8)",8,2.581,"(3.0, 5.5)",9,2.746,"(3.0, 5.3)"
