18:90:d8:dc:2b:2e,-61,-61,-63,-60,-61,-61,-63,-61,-65,-61,-61,-62,-63,-61,-61,-62,-61,-61,-62,-61,-61,-64,-61
34:8a:ae:6b:5e:6e,-61,-58,-59,-58,-58,-58,-58,-58,-58,-57,-58,-58,-58
18:d6:c7:4d:3b:ec,-61,-58,-58,-58,-58,-58,-57,-58,-57,-57,-58,-58,-57,-58,-57,-57,-57,-58,-58,-57,-58,-58,-58
c4:09:38:6d:3b:09,-34,-34,-34,-34,-34,-34,-34,-34,-34,-34,-34,-34,-34,-34,-34,-33,-34,-34,-34,-34,-34,-34,-34
f8:ab:05:4f:90:86,-69,-69,-70,-70,-70,-69,-70,-70,-70,-70,-69,-69,-69,-69,-69,-69,-70,-69,-70,-69,-69,-69
