70:0f:6a:de:c1:40,eduroam,-66,-68,-67,-67,-67,-65,-66,-66,-66,-66,-66,-66,-67,-68,-66,-67,-66,-68,-68,-68,-67,-66,-66,-66,-66,-66,-66,-66,-67,-67,-67,-67
70:0f:6a:de:c1:40,Sheridan Secure Access,-71,-70,-71,-70,-69,-70,-71,-71,-71,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-71,-71,-71,-71,-71,-71,-70,-70,-70
70:0f:6a:de:ba:60,Sheridan Secure Access,-72,-72,-71,-73,-71,-71,-72,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-72,-71,-71,-71,-71,-71,-71,-70,-72,-72,-72,-72,-71,-71,-71
70:0f:6a:c8:29:40,Sheridan Secure Access,-74,-75,-72,-72,-72,-72,-72,-72,-72,-73,-73,-73,-73,-74,-74,-73,-73,-73,-73,-73,-73,-73,-73,-73,-73,-72,-72,-73,-73,-73,-73,-73,-73,-72,-72
70:0f:6a:c8:29:40,eduroam,-68,-68,-70,-69,-69,-68,-71,-66,-70,-68
10:bd:18:c6:b7:a0,eduroam,-85,-83,-82
