18:1e:78:00:25:5e,-88
24:f5:a2:eb:f3:25,-85,-85,-87,-83,-87,-87
3c:7a:8a:fd:23:d8,-84,-83,-82,-81,-83,-89,-83,-82
70:8b:cd:c8:b1:30,-63,-67,-66,-67,-69,-73,-68,-68,-66,-64,-67,-67,-68,-66,-70,-68,-68,-68,-68,-68,-67,-69,-74,-68,-66,-70
84:16:f9:9f:45:e9,-90
fa:8f:ca:84:97:cf,-87
98:13:33:4a:7f:f8,-84,-79,-80,-77,-86,-86,-86,-81,-79,-79,-85,-86,-84,-77,-82,-79,-82,-76,-81,-81,-82,-81,-81,-81,-80,-81
b8:ee:0e:bb:02:da,-88
18:90:d8:dc:2b:2e,-68,-76
f8:1d:0f:cf:e5:78,-83,-79,-80,-86
dc:fe:07:8c:bd:f8,-73,-74,-76,-76,-75,-74,-76,-74,-75,-74,-73,-76,-75,-75,-75,-75,-73,-73,-75,-75,-74,-74,-76,-76
34:8a:ae:6b:5e:6f,-92,-89,-89,-89,-91,-90
b8:ee:0e:ba:fc:a2,-84,-85,-86,-81,-84,-86,-81
4c:12:65:0d:c0:5b,-80,-76,-73
34:8a:ae:6b:5e:6e,-66,-74,-73,-72,-72,-73,-73,-73,-73,-73,-74,-73
24:f5:a2:58:ba:17,-87
18:60:24:d8:98:0a,-74,-76,-81,-75,-76,-80,-88,-78,-75,-69,-76,-83,-69,-77,-69,-76,-73,-87,-76,-76,-81,-75,-76,-76,-73
5a:d7:75:f8:18:ed,-88,-87,-87
e6:ab:05:4f:90:85,-87,-89,-89,-88,-88,-89,-88,-88,-89,-88,-87,-88,-88,-87,-89,-88,-87,-87,-88,-87,-88,-88,-87,-89,-89,-87,-89,-88,-87,-88,-87,-88,-89,-88
6c:ca:08:bf:62:95,-88,-88,-89,-89,-88,-90,-88,-88,-90,-88,-89,-88,-88,-88,-88,-87,-88,-90,-89,-88,-89,-88,-88,-89,-88,-89,-89,-88,-88,-88,-90,-89,-88
88:ad:43:cf:f2:18,-89
18:d6:c7:4d:3b:ee,-71,-85,-84,-85,-86,-87,-86,-86,-86,-85,-86,-87,-86,-87,-86,-87,-86,-85,-85,-87,-86,-86,-87,-85,-86,-86,-87,-87,-85,-86,-86,-86,-85,-85
50:c7:bf:a2:64:70,-89,-88,-90,-90,-89,-89,-89,-89,-89,-88,-89,-89,-88,-90,-90,-88,-91,-89,-90,-89,-89,-89,-90,-90,-89,-90,-89
18:d6:c7:4d:3b:ec,-64,-71,-71,-72,-71,-71,-70,-71,-72,-72,-71,-72,-70,-68,-66,-72,-70,-71,-66,-72,-69,-69,-70,-69,-69,-69,-70,-70,-70,-69,-71,-71,-69
8c:10:d4:e3:98:56,-83
c4:09:38:6d:3b:09,-36,-37,-35,-33,-35,-34,-34,-34,-36,-35,-35,-38,-37,-36,-35,-35,-35,-35,-39,-35,-35,-36,-35,-37,-37,-37,-33,-34,-34,-34,-33,-34,-35,-34,-35
5a:d7:75:f8:1e:6d,-91,-88,-90
9c:c8:fc:2b:42:b2,-71,-72
44:e9:dd:4b:40:be,-87
f8:ab:05:55:49:b6,-76,-77,-78,-77,-87,-76,-76,-76,-77,-77,-77,-77,-78,-77,-76,-77,-83,-76,-77,-77,-78,-78,-78,-78,-77,-76
5e:ba:ba:75:e1:fb,-89
