f0:82:61:46:9e:a9,-83,-82,-80,-81
24:f5:a2:eb:f3:25,-90,-93
98:da:c4:52:b7:d6,-89,-92,-86
3c:7a:8a:fd:23:d8,-87,-82,-82,-82,-83,-83,-83,-83,-79,-82,-81,-83,-81,-82,-82,-83,-82,-85,-80,-84,-79,-81,-83,-84,-83,-81
54:64:d9:f7:ac:50,-77,-76,-78,-90,-76,-74,-77,-79
70:8b:cd:c8:b1:30,-79,-77,-79,-79,-78,-79,-79,-80,-77,-80,-79,-79,-77,-75,-79,-78,-80,-79
0c:b6:d2:d5:32:dc,-89
00:23:6a:75:42:66,-87,-87,-92,-90,-92,-88,-87,-89,-86,-89,-88,-88,-89,-89,-85,-89,-88,-89,-88,-89,-87,-87
54:64:d9:36:99:38,-89,-90,-90
0c:b6:d2:e0:ad:b0,-86,-86,-88,-90,-86,-88,-86,-85
88:ad:43:cf:e7:38,-80,-81,-91,-79,-81,-79,-81,-80,-80,-79,-79,-80,-79,-79,-78,-79,-79,-79,-80,-80,-81,-81,-82
9e:da:c4:52:b7:d6,-92
40:f2:01:fb:d7:bf,-89
98:13:33:4a:7f:f8,-85,-86,-87,-84,-85,-85,-87,-85,-86,-85,-84,-86,-86,-84,-85,-83,-84,-86,-85
b8:ee:0e:bb:02:da,-92
60:e3:27:a1:06:17,-82,-84,-85,-83,-84,-86
18:90:d8:dc:2b:2d,-74,-74,-74,-74,-74,-75,-74,-75,-74,-74,-74,-75,-74,-74,-74,-75,-74,-75,-74,-74,-75,-75,-74,-74,-75,-74,-75,-75,-75,-74,-75,-75,-75,-74,-74
18:90:d8:dc:2b:2f,-76,-76,-77,-77,-76,-76,-77,-77,-77,-76,-77,-77,-77,-77,-77,-77,-86,-87,-87,-87,-86,-87,-86,-85,-86,-77,-86,-86,-86,-86,-86,-86,-86,-86,-86
50:c7:bf:a2:64:6f,-86
18:90:d8:dc:2b:2e,-61,-56,-56,-56,-55,-57,-55,-56,-57,-55,-59,-56,-57,-56,-56,-57,-54,-56,-55,-56,-55,-58,-56,-56,-54,-56,-55,-55,-57,-56
fa:8f:ca:67:f3:1c,-91,-92,-91,-90
f8:ab:05:4f:90:86,-73,-75,-75,-74,-73
f8:1d:0f:cf:e5:78,-90
54:64:d9:f4:54:61,-92
84:a1:d1:5b:67:36,-90,-89,-89,-88,-88,-90,-88
90:72:82:f2:08:76,-86,-87,-85,-90,-89,-88,-88,-86
34:8a:ae:6b:5e:6f,-79,-78,-79,-78,-79,-78,-78,-78,-78,-78,-78,-79,-78,-78,-78,-78,-78,-78,-79,-78,-78,-79,-78,-79,-79,-79,-79,-78,-78,-79,-78,-78,-78,-78,-78
b8:ee:0e:ba:fc:a2,-81,-78,-77,-80,-83,-81,-78,-80,-78,-81,-81,-78,-79,-81,-78,-80
34:8a:ae:6b:5e:6e,-65,-70,-67,-68,-68,-67,-67,-53,-66,-68,-52,-67,-67,-67,-67
88:a6:c6:7b:56:96,-85,-87,-82,-87,-87,-87,-83,-88,-85
58:d5:6e:a9:68:33,-81,-85,-85,-81,-81,-81,-82,-79,-80,-83,-85,-82,-81,-82,-84,-83,-83,-85,-85,-82,-84,-83,-82,-81,-81
18:60:24:d8:98:0a,-85,-85,-85,-85,-85
5c:8f:e0:30:0a:37,-91,-87,-86,-88,-87,-86
06:90:d8:dc:2b:2d,-73,-74,-75,-75,-74,-74,-73,-72,-72,-72,-73,-74,-75,-74,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-74,-74,-75,-74,-74,-74,-74,-74,-75,-74,-74
34:64:a9:87:16:87,-90,-87,-88,-89,-86,-91,-87,-90,-87,-90,-89,-87
00:cb:51:99:54:0a,-78,-81,-85,-85,-81,-85
88:ad:43:cf:f2:18,-91,-90
18:d6:c7:4d:3b:ee,-63,-56,-57,-56,-57,-55,-57,-55,-57,-57,-57,-57,-57,-56,-57,-57,-57,-57,-57,-56,-57,-57,-58,-57,-56,-58,-57,-57,-57,-57,-57,-57,-57,-57,-57
18:d6:c7:4d:3b:ec,-51,-49,-51,-50,-50,-50,-51,-50,-50,-50,-50,-51,-50,-49,-51,-49,-50,-50,-49,-50,-50,-50,-50,-51,-50,-50,-49,-50,-49,-49,-50,-49,-50,-49,-51
ac:f1:df:c8:c1:aa,-88,-89,-87,-87,-89
18:a6:f7:bc:ed:39,-86,-84,-84,-84,-85,-84,-85,-83,-86,-84,-78,-84,-85,-83,-85,-84,-84,-85,-83,-81,-85,-84,-84,-85,-84,-85,-85,-83
c4:09:38:6d:3b:09,-55,-52,-52,-52,-53,-54,-52,-53,-51,-52,-57,-52,-55,-53,-55,-54,-53,-53,-54,-54,-52,-52,-52,-53,-54,-53,-54,-52,-55,-55,-53,-54,-57,-53,-52
ec:ad:e0:d4:e8:f8,-89,-89,-88,-88,-84,-88,-88,-87,-88,-89,-90,-89,-88,-90,-88,-89,-88,-89,-89,-89,-89,-90,-88,-86,-89,-87,-87,-85,-89,-87,-87,-88
9c:c8:fc:2b:42:b2,-86,-88,-85
f8:ab:05:55:49:b6,-90,-89,-91,-90,-91
58:90:43:b7:8e:f6,-88,-88,-86,-92,-87,-90
78:8a:20:54:02:a2,-89
44:e9:dd:4f:50:ea,-76,-80,-84,-84,-80,-83,-83,-84,-82,-82,-80,-82,-85,-83
