e8:2c:6d:0d:ee:a2,-89,-85
24:f5:a2:eb:f3:25,-86,-84
64:66:24:f5:87:f6,-83,-82
3c:7a:8a:fd:23:d8,-76,-75,-76,-79,-76,-79,-79,-77,-78
70:8b:cd:c8:b1:30,-65,-57,-59,-53,-59,-59,-58,-59,-58,-57,-58,-59,-52,-56,-59,-56,-53,-58,-58,-58,-57,-55,-59,-59,-58,-57,-59,-59,-52,-60,-51,-57,-59,-52,-52
84:16:f9:9f:45:e9,-87
40:f2:01:fb:d7:bf,-79
98:13:33:4a:7f:f8,-85,-86,-85,-86,-80,-87,-85,-82
18:90:d8:dc:2b:2d,-90,-82,-83,-81,-82,-82,-82,-82,-82,-83,-82,-81,-83,-83,-81,-82,-83,-83,-82,-83,-83,-81,-84,-82,-84,-83,-83,-82,-82,-83,-82,-82,-82,-82
de:54:d7:1c:8b:9b,-84,-85
18:90:d8:dc:2b:2f,-85,-85,-85,-84,-86,-85,-85,-85,-85,-84,-85,-84,-85,-85,-84,-84,-86,-85,-84,-85,-85,-85,-85,-85,-85,-86,-86,-85,-86,-85,-85,-85,-84,-85
18:90:d8:dc:2b:2e,-70,-55,-55,-57,-54,-54,-55,-55,-55,-55,-57,-55,-55,-55,-56,-54,-59,-56,-54,-56,-55,-55,-55,-54,-56,-54,-57,-54,-53,-58,-54,-55,-56
54:64:d9:eb:7b:8f,-88
84:a1:d1:5b:67:36,-82
34:8a:ae:6b:5e:6f,-80,-79,-79,-79,-80,-79,-80,-79,-80,-79,-78,-80,-80,-79,-80,-80,-79,-80,-79,-80,-79,-80,-80,-79,-79,-79,-80,-79,-79,-80,-79,-80,-79,-79,-80
dc:fe:07:8c:bd:f8,-81,-77,-79
b8:ee:0e:ba:fc:a2,-83,-74,-78,-78,-78,-76,-79,-80,-74,-79
94:8f:cf:81:3e:0d,-90,-86,-88
34:8a:ae:6b:5e:6e,-64,-54,-59,-57,-51,-56,-55,-56,-58,-55,-54,-57,-55,-56,-54,-56,-58,-56,-54,-56,-58,-54,-59,-53,-55,-54,-57,-58,-56,-56,-56
24:f5:a2:58:ba:17,-82
18:60:24:d8:98:0a,-83,-80,-81,-77,-77,-78,-77,-79,-77,-78,-79
06:90:d8:dc:2b:2d,-88,-82,-81,-80,-82,-81,-83,-82,-83,-82,-81,-82,-82,-83,-82,-83,-82,-83,-81,-83,-83,-82,-83,-84,-82,-82,-83,-83,-83,-83,-83,-83,-81,-83,-82
5a:d7:75:f8:18:ed,-81,-82
6c:ca:08:bf:62:95,-88,-91,-91,-92,-91,-89,-90,-90,-90,-91,-91,-91,-90,-91,-92,-92,-90,-90,-91,-92,-91,-91,-91,-91,-90,-92,-91,-92,-91,-90,-91,-90
e6:ab:05:4f:90:85,-90,-89,-89,-90,-90,-91,-90,-90,-88,-91,-91,-91,-91,-90,-91,-90,-90,-89,-91,-89,-91,-90,-89,-92,-89,-90,-89
00:cb:51:99:54:0a,-77,-81
18:d6:c7:4d:3b:ee,-75,-69,-70,-69,-69,-71,-69,-69,-69,-69,-69,-69,-69,-69,-70,-69,-69,-69,-69,-70,-69,-69,-69,-70,-69,-68,-69,-69,-68,-69,-69,-69,-69,-69,-68
50:c7:bf:a2:64:70,-91,-90,-91,-90,-91,-91,-93,-92,-90,-90,-90,-90,-90
18:d6:c7:4d:3b:ec,-64,-56,-57,-57,-58,-57,-56,-56,-56,-58,-57,-57,-57,-57,-56,-57,-57,-57,-56,-57,-55,-59,-57,-57,-55,-58,-57,-56,-56,-56,-58,-57,-56
84:a0:6e:f3:14:2e,-88
34:49:5b:26:00:b6,-91
c4:09:38:6d:3b:09,-31,-31,-32,-33,-29,-29,-32,-32,-29,-32,-30,-31,-31,-31,-30,-31,-31,-31,-30,-31,-32,-28,-28,-30,-32,-29,-33,-32,-32,-32,-32,-28,-31,-31,-31
5a:d7:75:f8:1e:6d,-90
9c:c8:fc:2b:42:b2,-84,-77,-84
f8:ab:05:55:49:b6,-80,-66,-67,-67,-68,-69,-68,-69,-69,-68,-68,-66,-69,-68,-68,-65,-67,-63,-68,-63,-69,-70,-69,-68,-68,-69,-68
44:e9:dd:4f:50:ea,-66,-64,-67,-65,-60,-66,-59,-64,-59,-62,-66,-68,-65,-60,-63,-66,-67,-65,-65,-59,-66,-66,-66
3a:b1:db:82:9d:c1,-65,-66,-69,-68,-68,-69,-68,-68,-67,-68,-66,-67,-67,-68,-67,-68,-67,-68,-67,-69
a0:63:91:b7:09:90,-78,-78,-74,-85,-85,-85,-86,-86
f0:82:61:46:9e:a9,-80,-78,-78,-89,-80,-80,-81,-77,-76
0e:47:c9:19:ad:31,-89,-85
3c:90:66:d0:50:a6,-87,-87,-79
54:64:d9:f7:ac:50,-68,-66,-68,-69,-68,-60,-59,-69,-70,-66,-68,-66,-66,-65
00:23:6a:75:42:66,-86,-75,-76,-75,-75,-76,-76,-76,-75,-76,-75,-76,-76,-75,-75,-74,-74,-76,-77,-75,-75,-75
88:ad:43:cf:e7:38,-80,-65,-67,-69,-66,-67,-68,-66,-70,-67,-69,-70,-65,-68,-66,-65,-66,-60,-68,-67,-68,-69
50:c7:bf:a2:64:6f,-66,-65,-68,-66,-67,-68,-67,-66,-46,-67,-68,-66,-67,-80,-67
ec:08:6b:b6:59:0a,-79,-80,-78
44:e9:dd:3e:bb:d6,-78
