7a:08:4f:42:96:f9,-89,-89,-90
f0:82:61:46:9e:a9,-82,-81,-89,-79,-80,-80,-79,-80,-79,-81,-89,-80,-78,-79,-80,-79,-80,-78,-80,-79,-79,-80,-78
98:da:c4:52:b7:d6,-91
3c:7a:8a:fd:23:d8,-85,-85,-84,-85,-87
54:64:d9:f7:ac:50,-78,-78,-78,-76,-79,-78,-76,-78,-77,-77,-79
70:8b:cd:c8:b1:30,-84,-88,-86,-84,-87,-83,-82,-84,-83,-84,-85,-85,-83,-84,-85
40:c7:29:f8:4d:96,-90
2a:f5:a2:eb:f3:25,-91
88:ad:43:cf:e7:38,-83,-83,-82,-83,-83,-84,-82,-90,-84,-84,-85,-83,-83,-83,-84,-83,-85,-82,-84,-83,-84,-84,-83,-83,-83,-84,-83,-82
9e:da:c4:52:b7:d6,-91,-92,-90
98:13:33:4a:7f:f8,-89,-86,-89,-90,-88
60:e3:27:a1:06:17,-85,-84,-85,-85
18:90:d8:dc:2b:2d,-73,-73,-73,-72,-73,-72,-72,-72,-72,-72,-73,-72,-74,-73,-74,-73,-73,-73,-73,-72,-73,-72,-74,-73,-74,-73,-75,-72,-72,-73,-73,-76,-73,-73,-73
18:90:d8:dc:2b:2f,-69,-68,-68,-69,-68,-68,-68,-68,-69,-69,-69,-68,-68,-68,-68,-69,-69,-68,-68,-69,-69,-68,-69,-69,-68,-68,-68,-69,-68,-69,-68,-69,-68,-68,-68
50:c7:bf:a2:64:6f,-85,-85,-86
18:90:d8:dc:2b:2e,-59,-56,-57,-57,-60,-59,-59,-57,-58,-56,-59,-59,-58,-56,-57,-57,-58,-56,-57,-57,-56,-59,-59,-57,-57,-57,-59,-57,-59,-57,-56,-57,-58,-59
f8:ab:05:4f:90:86,-79,-84,-81,-83,-83,-84,-82,-84,-83,-83,-82,-82,-83,-82,-85,-83,-83,-84,-83,-83,-84,-84
90:72:82:f2:08:76,-88,-87,-89,-90,-89,-87,-86,-87,-90,-89,-89,-89,-88,-87
5c:8f:e0:5a:a6:77,-92
3c:90:66:cd:44:3e,-91
34:8a:ae:6b:5e:6f,-85,-83,-82,-83,-83,-82,-83,-82,-83,-83,-83,-83,-82,-83,-83,-82,-84,-83,-83,-84,-83,-83,-83,-83,-83,-82,-83,-83,-82,-83,-82,-82,-83,-83,-83
dc:fe:07:8c:bd:f8,-88,-90,-88,-90,-91,-89
b8:ee:0e:ba:fc:a2,-79,-85,-79,-80,-78,-77,-79
58:90:43:b7:3f:66,-91,-90,-88,-93,-89,-86,-87,-86,-90
88:a6:c6:7b:56:96,-87,-88,-85,-87,-88,-87,-86,-87,-86,-87,-87,-86,-85,-86,-87
34:8a:ae:6b:5e:6e,-70,-70,-69,-68,-68,-67,-69,-69,-70,-70,-70,-68,-67,-70,-67
58:d5:6e:a9:68:33,-77,-82,-83,-77,-80,-79,-85
18:60:24:d8:98:0a,-89,-85,-87,-85,-86,-86,-89,-85,-87
06:90:d8:dc:2b:2d,-73,-73,-73,-72,-74,-72,-73,-72,-72,-72,-73,-72,-75,-73,-73,-72,-73,-73,-73,-72,-73,-72,-73,-73,-73,-73,-73,-73,-72,-73,-73,-73,-73,-73,-72
34:64:a9:87:16:87,-91,-90,-90,-89,-90,-90,-91,-89,-90,-90,-90,-91,-89,-90,-92,-90,-90,-89,-89,-91,-91
00:cb:51:99:54:0a,-84,-79,-80,-82,-84,-83,-79,-82,-82,-81,-83,-82,-82,-83,-81,-84,-85,-85,-84,-84,-82,-88,-85,-82,-82,-85,-83,-82,-82
18:d6:c7:4d:3b:ee,-50,-52,-52,-53,-52,-52,-52,-52,-52,-52,-52,-52,-53,-52,-53,-53,-52,-52,-52,-52,-53,-52,-52,-52,-52,-53,-52,-53,-52,-51,-52,-52,-53,-52,-52
18:d6:c7:4d:3b:ec,-46,-43,-44,-43,-44,-44,-44,-44,-45,-44,-44,-44,-44,-43,-43,-44,-44,-43,-44,-44,-43,-44,-44,-44,-44,-44,-44,-44,-44,-44,-45,-44,-44,-45,-44
88:a6:c6:7b:0b:5e,-90,-89,-88,-88,-88,-87,-91,-87,-88,-89,-91,-89,-89,-88,-89,-88,-90,-90,-88,-89,-88,-90,-90,-87,-88,-89,-89,-90,-89,-90,-90,-91,-87
18:a6:f7:bc:ed:39,-88,-88,-91,-87,-85,-90,-86,-87,-88,-87,-88,-89,-88,-87,-86,-88,-85,-88,-89,-88
38:70:0c:b6:c6:f0,-90,-90
c4:09:38:6d:3b:09,-61,-61,-61,-61,-60,-58,-61,-61,-60,-62,-61,-62,-59,-62,-59,-63,-61,-58,-59,-58,-61,-61,-59,-62,-58,-59,-61,-61,-62,-63,-61,-59,-59,-58,-59
ec:ad:e0:d4:e8:f8,-92,-88,-91,-90,-90,-90,-91,-89,-90,-90,-91,-90
9c:c8:fc:2b:42:b2,-88,-89,-90,-87
5e:ba:ba:75:e1:fb,-91,-90,-90,-89,-89,-91,-91
44:e9:dd:4f:50:ea,-84,-86,-84,-84,-86,-86,-86,-82,-84,-85,-84,-85
