5c:8f:e0:5a:a6:77,-78
e8:2c:6d:0d:ee:a2,-86,-81
24:f5:a2:eb:f3:25,-84
dc:fe:07:8c:bd:f8,-76,-73
b8:ee:0e:ba:fc:a2,-80
5c:8f:e0:30:0a:37,-85
06:90:d8:dc:2b:2d,-90
70:8b:cd:c8:b1:30,-75
6c:ca:08:bf:62:95,-91,-89
00:23:6a:75:42:66,-77,-78
18:d6:c7:4d:3b:ee,-84,-78
50:c7:bf:a2:64:70,-87,-85
18:d6:c7:4d:3b:ec,-62
88:ad:43:cf:e7:38,-82
ac:f1:df:c8:c1:aa,-75
50:c7:bf:a2:64:6f,-67
18:90:d8:dc:2b:2e,-77,-82
c4:09:38:6d:3b:09,-27,-29
f8:ab:05:4f:90:86,-73
f8:ab:05:55:49:b6,-70
44:e9:dd:4f:50:ea,-69
3a:b1:db:82:9d:c1,-76
