64:66:24:f5:87:f6,-82
40:65:a3:aa:6d:86,-89
70:8b:cd:c8:b1:30,-72,-78
84:16:f9:9f:45:e9,-90
98:13:33:4a:7f:f8,-76,-83,-77,-76,-76,-76,-76,-82,-79,-76,-76,-76,-78,-75,-79,-80,-78,-79,-79,-80,-79,-80,-80,-85,-78,-82
60:e3:27:a1:06:17,-84,-88,-72,-82,-82,-86
18:90:d8:dc:2b:2d,-91,-90
de:54:d7:1c:8b:9b,-87,-88
18:90:d8:dc:2b:2e,-69,-70,-71,-69
b8:ee:0e:ba:fc:a3,-87,-80,-80,-80,-79,-79,-80,-81,-80,-80,-81,-79,-80,-79,-80,-81,-81,-80,-83,-81,-83,-84,-84,-84,-81,-84,-82,-82,-85,-82,-83,-82,-81,-81,-82
34:8a:ae:6b:5e:6f,-89,-88,-90,-88,-88,-84,-86,-87,-85,-88,-85,-87,-85,-87,-87,-86,-90,-86,-86,-87,-89,-90,-91,-89,-89,-85
dc:fe:07:8c:bd:f8,-82,-84
b8:ee:0e:ba:fc:a2,-73,-71,-66,-66,-72,-66,-68,-71,-67,-70,-77,-70,-68,-68,-72,-68,-75
94:8f:cf:81:3e:0d,-90,-88,-90
34:8a:ae:6b:5e:6e,-68,-64,-64,-64,-72,-63,-66,-65,-61,-63,-61,-64,-64,-62,-62,-62,-62,-64,-66,-66,-67,-66,-67,-66,-68,-64,-65
18:60:24:d8:98:0a,-75,-76,-73,-81,-76,-79,-74,-75,-76,-79,-74,-87
06:90:d8:dc:2b:2d,-92,-91,-92
e6:ab:05:4f:90:85,-89,-81,-80,-83,-83,-81,-82,-81,-80,-84,-83,-82,-82,-83,-82,-82,-83,-83,-82,-84,-82,-83,-83,-83,-83,-82,-82,-83,-82,-81,-82,-82,-82,-83,-80
18:d6:c7:4d:3b:ee,-82,-81,-82,-82,-82,-81,-81,-81,-80,-81,-89,-81,-82,-81,-83,-82,-83,-81,-80,-80,-81,-83,-83,-83,-82,-82,-82,-82,-83,-82,-82,-81,-82,-81,-88
84:a0:6e:f3:14:2f,-89,-90,-89,-92
50:c7:bf:a2:64:70,-91,-89,-89,-91,-91,-90,-92
18:d6:c7:4d:3b:ec,-65,-63,-64,-62,-64,-61,-64,-62,-62,-61,-61,-65,-63,-62,-65,-65,-64,-65,-66,-63,-64,-65,-62,-64,-64,-65,-64,-63,-62,-64,-63,-62,-65,-65
5a:d7:75:f8:11:d9,-89,-89
c4:09:38:6d:3b:09,-50,-49,-49,-46,-48,-49,-51,-56,-46,-54,-52,-50,-52,-52,-52,-51,-50,-55,-52,-52,-50,-52,-50,-51,-49,-49,-47,-48,-49,-48,-48,-47,-52,-52,-50
86:a0:6e:f3:16:28,-89,-90,-88,-90
9c:c8:fc:2b:42:b3,-93
9c:c8:fc:2b:42:b2,-73
44:e9:dd:4f:50:ea,-77,-75,-77,-78,-76,-77
a0:63:91:b7:09:90,-89,-91
f0:82:61:46:9e:a9,-73,-74,-74,-72,-74,-75,-75,-72,-72,-71,-72,-73
98:da:c4:52:b7:d6,-90
da:13:99:7b:d9:5e,-82,-82,-80,-85
54:64:d9:f7:ac:50,-77,-77,-81,-79,-80,-78,-81,-80,-83,-82,-81,-81,-77,-76
00:23:6a:75:42:66,-86,-85,-87,-86,-85,-88,-84,-84,-86,-88,-77,-84,-85,-74,-90,-85,-86,-86,-88,-84,-85
12:08:b1:54:f0:9c,-87,-85,-86
9e:da:c4:52:b7:d6,-88,-86
50:c7:bf:a2:64:6f,-81,-81,-72,-74,-76,-83
86:a1:d1:55:7d:1d,-90,-92
fa:8f:ca:67:f3:1c,-88,-89
f8:ab:05:4f:90:86,-62,-62,-62,-60,-61,-60,-61,-59,-57,-60,-61,-62,-63,-64,-60,-58,-59,-60,-59,-60,-62,-62
f8:ab:05:4f:90:85,-88,-81,-81,-82,-83,-82,-82,-82,-82,-83,-82,-81,-82,-82,-82,-83,-82,-82,-83,-84,-82,-83,-83,-83,-82,-83,-82,-84,-82,-82,-82,-81,-82,-84,-80
f8:ab:05:4f:90:87,-77,-75,-76,-77,-77,-76,-77,-79,-76,-77,-76,-77,-78,-77
62:e3:27:a1:06:14,-82,-87
58:90:43:b7:3f:66,-89
58:d5:6e:a9:68:33,-76,-79,-72
ac:f1:df:c8:c1:aa,-93,-85,-85,-85,-84,-85,-86,-85,-87,-89,-87,-86,-85,-83,-85
58:d5:6e:a9:68:34,-90,-88,-91,-89,-91,-90,-91,-89,-91,-87,-90,-90,-91,-90,-90,-88,-90,-90,-91,-91,-89,-90,-91,-90,-88,-88,-90,-90,-87,-91,-91
18:a6:f7:bc:ed:39,-76,-70
40:65:a3:ac:56:a6,-89
ec:ad:e0:d4:e8:f8,-83,-78
42:65:a3:a8:a7:4e,-90
84:a1:d1:55:7d:1d,-89,-91
3c:17:10:21:fe:ce,-90,-91
