e8:2c:6d:0d:ee:a2,-87,-88,-89
24:f5:a2:eb:f3:25,-71,-73
18:1e:78:00:25:5e,-82
4a:d7:75:f8:1e:6d,-82
62:45:b6:fa:be:24,-91
dc:fe:07:ab:06:08,-81
3c:7a:8a:fd:23:d8,-71,-84,-83
cc:32:e5:31:fb:b4,-83,-78
60:e3:27:a1:30:df,-92,-90,-91
70:8b:cd:c8:b1:30,-64,-58,-61,-65,-62,-64,-62,-66,-66,-63,-62,-65,-60,-62,-64,-64,-63,-61,-61,-60,-62,-62,-61,-62,-61,-61,-65,-65,-64,-60,-63,-61,-62,-61
0c:b6:d2:d5:32:dc,-90
cc:2d:e0:c2:d7:67,-84
54:64:d9:f5:2d:5a,-88
70:8b:cd:c8:b1:34,-81,-81,-84,-84,-84,-84,-83,-84,-85,-84,-84,-85,-86,-84,-85,-85,-85,-85,-84,-86,-85,-85,-85,-85,-87,-86,-86,-86,-85,-85,-86,-86,-85,-85,-85
2a:f5:a2:eb:f3:25,-71,-71,-72,-72,-73,-73,-71,-72,-72,-74,-72,-70,-71,-65
98:13:33:4a:7f:f8,-76,-77,-80,-80,-78,-79,-77,-81,-76,-77,-79,-81,-78,-79,-77,-80,-78,-77,-76,-72,-66
60:e3:27:a1:06:17,-91
c0:7c:d1:0b:3a:78,-84
18:90:d8:dc:2b:2e,-76,-75
42:65:a3:ac:56:a6,-82,-76,-76,-78,-77,-75,-79,-76,-73,-86,-79
b8:ee:0e:ba:fc:a3,-91,-82,-78,-82,-82,-85,-79,-84,-84,-85,-82,-85,-87,-84,-87,-86,-83,-83,-85,-83,-81,-84,-88,-86,-87,-86,-85,-85,-85,-85,-86,-86,-85,-86
34:8a:ae:6b:5e:6f,-91,-83,-83,-82,-79,-80,-78,-80,-79,-81,-79,-79,-80,-78,-79,-80,-76,-77,-79,-77,-79,-78,-80,-80,-78,-81,-80,-79,-79,-85,-78
dc:fe:07:8c:bd:f8,-77,-73,-72
b8:ee:0e:ba:fc:a2,-69,-70,-65,-65,-70,-70,-66,-67,-68,-65
4c:12:65:0d:c0:5c,-91,-92,-91
4c:12:65:0d:c0:5b,-81,-76,-75
34:8a:ae:6b:5e:6e,-65,-59,-59,-56,-58,-57,-58,-58,-56,-57,-57,-56,-56,-56,-56,-57
40:c7:29:f6:4f:86,-86,-83
