64:66:24:f5:87:f6,-86,-77
70:8b:cd:c8:b1:30,-75,-73,-73,-75,-74,-75,-73,-74,-66,-72
2a:f5:a2:eb:f3:25,-88,-85,-85,-84,-86
98:13:33:4a:7f:f8,-79,-76,-80,-80,-77,-72,-78,-72,-79,-73,-76,-79,-74,-73,-74,-73,-73,-80,-74,-74,-74,-72,-73,-79,-73,-73,-73,-75
60:e3:27:a1:06:17,-87
18:90:d8:dc:2b:2e,-77,-78,-78,-79,-80,-79,-80,-77,-78,-80
f0:82:61:46:9e:aa,-91
f8:1d:0f:cf:e5:78,-87
42:65:a3:ac:56:a6,-86,-88,-84,-88,-85,-88,-88,-87,-89,-89,-86,-85,-84
34:8a:ae:6b:5e:6f,-90,-89,-89
dc:fe:07:8c:bd:f8,-82,-82,-82,-82,-82,-74,-82
b8:ee:0e:ba:fc:a3,-84,-85,-84,-84,-84,-84,-85,-84,-86,-84,-84,-84,-84,-84,-84,-82,-85,-84,-84,-84,-84,-83,-83,-85,-85,-84,-82,-83,-84,-84,-83
b8:ee:0e:ba:fc:a2,-72,-73,-72,-73,-73,-74,-75,-72,-74,-74,-74,-74,-72,-72,-75,-75,-72,-75,-75,-72,-73
34:8a:ae:6b:5e:6e,-81,-65,-66,-63,-66,-67,-64,-73,-64,-72,-64,-71,-68,-63,-69,-72,-65
18:60:24:d8:98:0a,-80,-78,-67,-68,-66,-82,-76,-67,-66,-69,-67,-65,-67,-77,-77,-68,-66,-68,-68
5a:d7:75:f8:18:ed,-84
e6:ab:05:4f:90:85,-80,-76,-77,-76,-76,-76,-77,-79,-77,-76,-77,-76,-77,-76,-76,-76,-77,-76,-76,-76,-77,-76,-77,-76,-76,-76,-77,-76,-77,-77,-76,-76,-76,-77,-76
6c:ca:08:bf:62:95,-89,-90,-91,-91,-91,-91,-90,-90,-90,-90,-91,-91,-90,-92,-89,-91,-90,-91,-91,-91,-91,-90,-90
18:d6:c7:4d:3b:ee,-88,-85,-82,-82,-82,-82,-82,-82,-81,-82,-82,-81,-82,-83,-82,-82,-82,-82,-83,-84,-82,-82,-82,-82,-82,-82,-82,-81,-81,-82,-82,-81
84:a0:6e:f3:14:2f,-90,-88,-90,-92,-91,-91,-91,-91,-88,-89,-92,-88,-91,-91,-91,-90,-90,-90,-90,-90,-88,-89,-89,-90,-89
50:c7:bf:a2:64:70,-88,-82,-83,-84,-83,-84,-84,-84,-83,-83,-84,-84,-85,-84,-82,-84,-83,-83,-85,-84,-82,-82,-80,-85,-83,-84,-83,-83,-84,-86,-84,-84
02:15:99:0e:9c:39,-73,-72,-60,-59,-59,-61,-59,-59,-60,-60,-62,-60,-60,-60,-60,-59,-61,-60,-61,-58,-60,-60,-59,-61,-60,-59,-60,-60,-59,-60,-59,-60,-59
18:d6:c7:4d:3b:ec,-75,-68,-65,-66,-65,-65,-64,-66,-66,-63,-65,-65,-65,-65,-66,-65,-64,-66,-66,-65,-65,-66,-65,-65,-63,-65,-65,-65,-64
c4:09:38:6d:3b:09,-38,-40,-40,-40,-41,-39,-42,-42,-40,-45,-41,-41,-41,-42,-41,-40,-40,-40,-40,-40,-40,-42,-40,-39,-40,-40,-41,-39,-42,-42,-42,-41,-43,-42,-40
9c:c8:fc:2b:42:b3,-94,-86,-87,-87,-87,-88,-87,-88
86:a0:6e:f3:16:28,-90,-90,-91,-89,-91,-90,-91,-89,-90,-91,-89,-91,-90,-91,-89,-92,-90,-91,-90,-90,-90,-89,-89
f8:ab:05:55:49:b7,-90,-92,-90,-89,-91,-91,-89,-92,-89,-89,-90,-88,-89,-88,-90,-91,-92,-91,-91,-90,-90,-89,-89,-89,-90,-91,-90
9c:c8:fc:2b:42:b2,-70,-65,-62,-64,-64,-61,-64,-60,-62,-63,-62,-61,-63,-72,-63,-71,-61,-72
38:94:ed:18:47:16,-85,-85
c4:04:15:17:e1:90,-84,-88,-89,-89,-86,-87
f8:ab:05:55:49:b6,-73,-69,-69,-69,-68,-67,-68,-68,-70,-69,-68,-69,-68,-70,-70,-68,-68,-71,-68,-70,-66,-70,-70,-69,-68,-68,-69,-68,-69,-69,-68,-69
44:e9:dd:4f:50:ea,-75,-79,-79,-79,-80,-74,-75,-81,-77,-79,-75,-74
a0:ab:1b:7b:1e:9e,-89
3a:b1:db:82:9d:c1,-82,-81,-83,-82
f0:82:61:46:9e:a9,-73,-78,-74,-74,-74,-75,-72,-70,-74,-75,-73,-74,-73,-75,-75,-76
da:13:99:7b:d9:5e,-81,-80
00:23:6a:75:42:66,-77,-71,-76,-77,-76,-77,-77,-77,-77,-78,-78,-77,-78,-76,-76,-77,-78
88:ad:43:cf:e7:38,-78,-76,-77,-77,-77,-76,-74,-75,-75,-76,-75,-78,-79,-74,-72,-76
50:c7:bf:a2:64:6f,-70,-71,-72,-72,-74,-73,-73,-68,-70,-72,-72,-73,-73,-76
f8:ab:05:4f:90:86,-72,-60,-57,-57,-60,-58,-58,-57,-58,-57,-58,-60,-60,-58,-59,-58,-59,-59,-59,-59,-56,-57,-57,-58,-57,-57,-59,-57
5a:d7:75:f8:10:9d,-86,-88
f8:ab:05:4f:90:85,-79,-78,-77,-77,-76,-76,-76,-78,-77,-77,-76,-76,-77,-77,-76,-75,-77,-76,-76,-76,-77,-76,-78,-76,-76,-77,-76,-76,-77,-77,-77,-77,-76,-76,-77
f8:ab:05:4f:90:87,-78,-72,-72,-73,-76,-72,-71,-71,-72,-77,-76,-73,-73,-75,-71,-71,-76,-72,-72,-71,-75,-72,-70,-72,-72,-72,-72,-72,-72,-75,-72,-72,-72,-72,-72
5c:8f:e0:5a:a6:77,-84,-85,-88,-83,-82
62:e3:27:a1:06:14,-87,-90,-85,-83
58:d5:6e:a9:68:33,-68,-75,-72,-73,-75,-72,-74,-73,-73,-70,-71,-75,-72,-72,-71,-71,-74,-74,-72,-72,-69,-72,-75
5c:8f:e0:30:0a:37,-88
ac:f1:df:c8:c1:aa,-86,-84,-83,-82,-84,-85,-85,-84,-82,-85,-84,-83,-80
58:d5:6e:a9:68:34,-87,-88,-89,-89,-90,-89,-88,-87,-88,-87,-88,-89,-90,-90,-89,-89,-89,-87,-90,-89,-88,-90,-89,-87,-87,-90,-88,-89
3c:7a:8a:fd:87:d4,-90
18:a6:f7:bc:ed:39,-73,-71,-72,-72,-73,-72,-73,-72,-72,-82,-72,-72,-71,-73,-72,-75,-72,-70,-71,-71,-61,-71,-70,-70
f4:f2:6d:fc:76:6a,-87
40:65:a3:ac:56:a6,-84,-85,-87,-83,-86,-88,-87
ec:ad:e0:d4:e8:f8,-74,-77,-60,-76,-77,-77,-77,-75,-74,-77,-76,-76,-78,-77,-78,-75,-76,-77,-76,-74,-77,-77,-76,-75
42:65:a3:a8:a7:4e,-83,-89
