e8:2c:6d:0d:ee:a2,-85
62:45:b6:fa:be:24,-91,-91,-92,-91,-92,-90,-92,-93,-91,-90,-90,-92,-93,-90,-90,-90,-90,-91
3c:7a:8a:fd:23:d8,-74,-72,-70,-74,-75,-72,-75,-75,-73,-73,-73,-73
cc:32:e5:31:fb:b4,-91,-76,-80
60:e3:27:a1:30:df,-92,-92,-91,-90,-91,-91,-90,-92,-91,-92,-92,-90,-93,-90,-91,-90,-90,-92
70:8b:cd:c8:b1:30,-62,-63,-67,-64,-65,-66,-67,-63,-65,-65,-65,-66,-65,-66,-64,-62,-61,-64,-64,-66,-65,-65,-64,-66,-63,-67,-64,-64,-67,-60
2a:f5:a2:eb:f3:25,-81
98:13:33:4a:7f:f8,-83,-81,-72,-79,-80,-77,-79,-78,-79,-78,-76,-80,-77,-76,-78,-77,-76,-77,-74,-74,-77
b8:ee:0e:bb:02:da,-94
60:e3:27:a1:06:17,-75,-75
18:90:d8:dc:2b:2e,-79,-67,-70,-69,-80,-69,-69,-69,-70,-68,-86,-69,-69,-68,-70,-68,-69,-64,-69,-69,-69,-67,-69,-67,-69,-68
42:65:a3:ac:56:a6,-77,-77,-73,-79,-78
b8:ee:0e:ba:fc:a3,-86,-86,-85,-85,-85,-87,-86,-85,-85,-85,-85,-85,-86,-86,-85,-86,-87,-84,-84,-86,-84,-85,-84,-84,-84,-83,-84,-85,-85,-86,-86,-87
dc:fe:07:8c:bd:f8,-85,-78,-61
b8:ee:0e:ba:fc:a2,-73,-65,-67,-67,-66,-66,-68,-68,-67,-71,-65,-71,-66,-66,-66,-67,-67,-66,-68,-69
34:8a:ae:6b:5e:6e,-63,-61,-62,-59,-63,-63,-59,-62,-62,-61,-60,-63,-60,-61,-61,-58,-61,-62,-62,-59,-60,-60,-60,-58
40:c7:29:f6:4f:86,-91
18:60:24:d8:98:0a,-69,-62,-63,-65,-66,-67,-74,-67,-70,-68,-66,-74,-68,-67,-67,-64,-67,-73,-74,-73,-73,-62,-66,-75
5a:d7:75:f8:18:ed,-78,-77,-75,-74,-79,-74
62:e3:27:a1:30:dd,-92,-91
e6:ab:05:4f:90:85,-75,-74,-71,-72,-72,-72,-72,-72,-72,-72,-73,-72,-72,-73,-71,-73,-72,-73,-72,-72,-72,-72,-72,-72,-72,-72,-71,-72,-72,-72,-72,-72,-72,-72,-72
6c:ca:08:bf:62:95,-90,-91,-91,-90,-92,-89,-93,-93,-91,-92,-92,-91,-91
62:e3:27:a1:30:dc,-91
