18:90:d8:dc:2b:2e,-74,-71,-70,-70,-70,-70,-69,-69,-70,-70,-70,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71
34:8a:ae:6b:5e:6e,-58,-58,-58,-58,-58,-58,-57,-57,-57,-57,-57,-57,-57,-57,-57,-57,-57,-56,-56,-56,-56,-56,-55,-55,-55,-55,-56,-56,-56,-55
18:d6:c7:4d:3b:ec,-57,-56,-56,-55,-55,-55,-55,-55,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-55,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54
c4:09:38:6d:3b:09,-52,-52,-51,-51,-51,-51,-51,-52,-52,-52,-52,-52,-52,-52,-53,-53,-53,-53,-53,-53,-53,-53,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54
C2:3B:C4:50:F8:6B,-84,-81,-80,-80,-82,-82,-82,-83,-82,-82,-82,-82,-83,-83,-83,-83,-83,-83,-83
DF:5A:33:2A:96:47,-62,-63,-63,-63,-63,-62,-62,-62,-63,-63,-63,-63,-63,-64,-64,-64,-64,-64,-64,-63,-63,-63,-63,-64,-64,-64,-64,-64,-64,-64,-64,-64,-63,-63,-63
DB:4F:6E:19:A2:52,-95,-89,-89,-89,-90,-91,-91,-90,-90,-90,-90,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89
