18:90:d8:dc:2b:2e,-62,-64,-64,-63,-63
f8:ab:05:4f:90:86,-62,-64,-65
34:8a:ae:6b:5e:6e,-66,-68,-67,-67
18:d6:c7:4d:3b:ec,-58,-60,-60,-60,-60
c4:09:38:6d:3b:09,-24,-26,-25,-25,-25
