CF:27:BE:19:4E:31,-67,-65,-62,-61,-62,-63,-62,-62,-61,-62,-61,-62
CA:D9:80:DE:59:61,-78,-82,-81,-82,-81,-81,-79,-82,-81
CE:F1:1F:F8:97:20,-77,-72,-72,-72,-73,-72,-72,-72,-71,-75
FC:B0:61:E1:7F:E2,-73,-77,-77,-78,-77,-77,-78,-78,-79,-77
