18:90:d8:dc:2b:2e,-61,-56,-57,-57,-54,-57,-55,-58,-55,-55,-54,-55,-58,-55,-55,-55,-55,-55,-55,-56,-57,-58,-58,-55,-55,-55,-57,-56,-55,-56,-56,-55,-55,-56
34:8a:ae:6b:5e:6e,-61,-61,-65,-64,-61,-63,-64,-63,-63,-63,-63,-59,-65,-60,-61,-64,-65,-65,-66,-65,-65,-65,-64,-63,-65,-65,-65,-65,-66,-60,-64,-61
18:d6:c7:4d:3b:ec,-47,-49,-49,-49,-49,-50,-50,-49,-49,-49,-50,-50,-50,-50,-49,-50,-50,-50,-49,-50,-49,-50,-49,-49,-49,-49,-49,-49,-49,-49,-48,-49,-50,-49,-49
c4:09:38:6d:3b:09,-54,-53,-49,-51,-52,-50,-50,-49,-51,-52,-51,-49,-50,-50,-51,-53,-50,-50,-51,-49,-52,-50,-51,-49,-50,-49,-53,-50,-51,-49,-51,-50,-50,-51,-52
