18:90:d8:dc:2b:2e,-81,-76,-74,-74,-73,-73,-72,-71,-71,-71,-71,-70,-70,-70,-70,-70,-69,-69,-69,-69,-69
34:8a:ae:6b:5e:6e,-62,-59,-58,-57,-56,-56,-56,-56,-57,-57,-57,-57,-57,-57,-56,-56,-56,-56,-56,-56,-56,-56,-56
18:d6:c7:4d:3b:ec,-55,-55,-54,-54,-55,-55,-55,-55,-55,-54,-55,-55,-55,-55,-55,-55,-55,-55,-55,-55,-55,-55,-55,-55,-54,-54,-54,-54,-54,-54,-54,-54,-54,-55,-55
c4:09:38:6d:3b:09,-52,-52,-52,-52,-52,-53,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52
C2:3B:C4:50:F8:6B,-94,-91,-88,-87,-86,-86,-84,-84,-83,-83,-84,-84,-84,-84,-84,-84,-84,-84,-84,-84,-84,-83,-84,-84
DF:5A:33:2A:96:47,-64,-64,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-64,-63,-64,-64,-64,-64,-64,-64,-63,-63,-63,-63
DB:4F:6E:19:A2:52,-80,-79,-79,-79,-80,-81,-81,-82,-82,-82,-83,-83,-83,-83,-84,-84,-84,-85,-85,-85,-85,-85,-85,-85,-86,-86,-86,-86,-87,-87,-87,-87
