CF:27:BE:19:4E:31,-60,-59,-59,-59,-60,-60,-59,-59,-60,-59,-59,-60,-59,-60,-59,-59,-60,-60,-59,-60,-59,-59
CA:D9:80:DE:59:61,-72,-74,-75,-73,-75,-74,-73,-75,-74,-74,-74,-72,-74,-74,-73,-75,-73,-74,-74,-73,-74
CE:F1:1F:F8:97:20,-76,-76,-74,-76,-77,-75,-75,-77,-74,-77,-78,-76,-77,-76,-75,-77,-77,-75
FC:B0:61:E1:7F:E2,-79,-80,-78,-79,-79,-78,-79,-80,-78,-80,-79,-79,-79,-79,-79,-79,-78,-78,-79,-80,-80
