18:90:d8:dc:2b:2e,-69
34:8a:ae:6b:5e:6e,-65,-63,-63,-64,-64,-64,-64,-63,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64
18:d6:c7:4d:3b:ec,-67,-66,-65,-66,-66,-66,-65,-65,-65,-65,-65,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64
c4:09:38:6d:3b:09,-50,-51,-52,-52,-52,-51,-51,-51,-51,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-53,-53,-53,-52,-52,-52,-52,-52,-53,-53,-53,-53,-53,-53,-52
f8:ab:05:4f:90:86,-51,-52,-52,-51,-51,-51,-51,-51,-52,-52,-52,-52,-52,-52,-52,-52,-53,-52,-52,-53,-53,-53,-53,-53,-53,-53,-53,-54,-54,-54,-54,-54
C2:3B:C4:50:F8:6B,-86,-86,-88,-89,-90,-91,-91,-90,-91,-91,-91
CF:27:BE:19:4E:31,-74,-74,-75,-75,-75,-74,-74,-75,-77,-78,-79,-79,-79,-78,-78,-77,-77,-77,-77,-77,-78,-77,-77,-77,-77,-77,-77,-77,-76,-77
CA:D9:80:DE:59:61,-88,-89,-87,-85,-83,-82,-81,-81,-81,-82,-82,-82,-83,-83,-84,-83,-82,-82,-82,-82,-82,-82,-82,-82,-82,-83,-82,-82,-82,-81,-81,-81,-81
CE:F1:1F:F8:97:20,-65,-65,-66,-67,-68,-69,-70,-70,-71,-71,-72,-71,-70,-70,-70,-70,-70,-70,-70,-70,-71,-70,-71,-71,-71,-70,-70,-70,-70,-71,-71,-71,-72,-72,-72
DF:5A:33:2A:96:47,-83,-84,-87,-86,-86,-85,-85,-84,-85,-85,-86,-86,-86,-86,-86,-85,-85,-85,-85,-85,-85,-85,-85,-86,-86,-86,-86,-86,-86,-86,-85,-85,-85,-85
DB:4F:6E:19:A2:52,-90,-94,-94,-93,-92,-92,-92,-92,-93,-94,-93,-93,-93,-93,-93,-92,-93,-93,-92,-92,-92,-92,-92
FC:B0:61:E1:7F:E2,-74,-73,-74,-75,-76,-76,-77,-76,-76,-76,-76,-76,-76,-76,-76,-75,-75,-75,-75,-75,-75,-75,-76,-76,-75,-75,-75,-75,-75,-75,-75
