18:1e:78:00:25:5e,-89,-90
f0:82:61:46:9e:a9,-87
3c:7a:8a:fd:23:d8,-84
54:64:d9:f7:ac:50,-82
70:8b:cd:c8:b1:30,-71,-75,-76,-75,-73,-75,-74,-73,-74,-74
00:23:6a:75:42:66,-80,-80,-80,-81,-79,-86,-80,-81,-80,-80,-81,-81,-80,-83,-82,-90,-80
92:72:82:f2:08:76,-91
88:ad:43:cf:e7:38,-78,-77,-80,-74,-76,-79
40:f2:01:fb:d7:bf,-89
98:13:33:4a:7f:f8,-89,-89,-91,-88
18:90:d8:dc:2b:2d,-84,-83,-83,-82,-82,-82,-83,-83,-82,-84,-82,-82,-82,-82,-83,-83,-82,-81,-82,-83,-82,-82,-83,-82,-82,-84,-81,-83,-82,-82,-82,-82,-82,-82,-83
18:90:d8:dc:2b:2f,-91,-91,-90,-90,-89,-84,-83,-83,-84,-83,-83,-84,-83,-84,-82,-82,-82,-83,-83,-82,-82,-83,-83,-83,-83,-83,-83,-84
18:90:d8:dc:2b:2e,-65,-63,-65,-65,-60,-62,-65,-62,-62,-61,-62,-64,-63,-63,-61,-61,-63,-65,-64,-63,-55,-65,-61,-65,-88,-63,-64,-65,-63,-64,-61
44:e9:dd:3e:bb:d6,-90,-90,-88,-90
f8:ab:05:4f:90:86,-70,-70,-69,-69,-68
40:65:a3:a8:a7:4e,-92,-90,-90,-91,-89
34:8a:ae:6b:5e:6f,-77,-74,-74,-74,-74,-74,-74,-74,-74,-75,-74,-76,-75,-75,-74,-75,-75,-75,-75,-75,-75,-74,-74,-75,-75,-74,-76,-75,-75,-75,-75,-75,-75,-75,-74
62:e3:27:a1:06:14,-86,-87,-89,-91,-87,-88,-89,-89,-89,-87,-88,-91,-87,-88
dc:fe:07:8c:bd:f8,-87,-89,-90
b8:ee:0e:ba:fc:a2,-89,-89,-89,-87,-87,-89,-87,-88,-86,-88,-85,-89,-88,-86,-84,-85,-83
34:8a:ae:6b:5e:6e,-56,-56,-54,-63,-64,-63,-63,-56,-55,-53,-54,-55,-56,-57,-54,-57,-53,-62,-63,-53,-55,-63,-54,-68,-54
88:a6:c6:7b:56:96,-88,-87,-88,-79,-89,-87,-87,-88,-89,-87
58:d5:6e:a9:68:33,-83,-79
5c:8f:e0:30:0a:37,-91
06:90:d8:dc:2b:2d,-83,-82,-82,-82,-82,-82,-82,-83,-82,-82,-82,-82,-83,-83,-82,-82,-82,-82,-82,-83,-83,-82,-82,-82,-83,-83,-82,-82,-82,-82,-82,-82,-82,-83,-82
18:d6:c7:4d:3b:ee,-60,-60,-60,-60,-60,-60,-60,-60,-60,-61,-60,-61,-61,-60,-60,-60,-60,-60,-61,-61,-60,-60,-60,-61,-61,-60,-61,-60,-60,-61,-61,-60,-61,-60
84:a0:6e:f3:14:2f,-93,-93,-93,-92,-93,-92
18:d6:c7:4d:3b:ec,-52,-49,-49,-49,-50,-50,-50,-47,-49,-49,-50,-49,-49,-49,-50,-50,-50,-50,-49,-50,-70,-49,-49,-49,-50,-49,-49,-50,-50,-49,-50,-50,-49,-49,-46
88:a6:c6:7b:0b:5e,-89,-90,-89,-89,-89,-91,-88,-89,-90,-88,-90,-76,-90,-88,-89,-89,-90,-91,-88,-90,-87,-89,-89,-90
ac:f1:df:c8:c1:aa,-72
18:a6:f7:bc:ed:39,-84,-84,-83,-83
c4:09:38:6d:3b:09,-52,-52,-51,-52,-53,-53,-52,-52,-52,-52,-52,-51,-51,-52,-53,-51,-53,-52,-51,-52,-53,-53,-51,-52,-52,-52,-53,-52,-52,-54,-53,-52,-51,-53,-53
86:a0:6e:f3:16:28,-91,-91
f8:ab:05:55:49:b6,-78,-79,-79,-80,-80,-79,-80,-77,-80,-79,-80,-80,-78
