98:da:c4:52:b7:d6,-91
f0:82:61:46:9e:a9,-75,-72,-75,-77,-77,-75,-76,-70,-73,-71,-61,-71,-71,-74
a0:8c:fd:5e:48:c3,-77,-76,-84,-82,-83,-86
da:13:99:7b:d9:5e,-87,-88
54:64:d9:f7:ac:50,-86,-77,-87,-87,-86,-88,-89,-87
70:8b:cd:c8:b1:30,-78,-80,-82,-80,-78,-79
00:23:6a:75:42:66,-92,-84,-86,-89,-88,-89,-89,-87,-89,-90,-91,-89,-89,-88,-89,-84
12:08:b1:54:f0:9c,-90,-89,-88,-88,-88,-89
40:f2:01:fb:d7:bf,-87
2a:f5:a2:eb:f3:25,-91
98:13:33:4a:7f:f8,-79,-80,-83,-82,-80,-84,-85,-84,-83,-85,-80,-81,-81
50:c7:bf:a2:64:6f,-84,-85,-81
18:90:d8:dc:2b:2e,-74,-74,-73,-74,-69,-75,-73,-78,-74,-74,-73,-74
f0:82:61:46:9e:aa,-91,-92,-90,-89,-88,-89,-91,-90
f8:ab:05:4f:90:86,-69,-69,-62,-66,-66,-64,-63,-64,-63,-64,-64,-65,-63,-64,-64,-66,-63,-61,-60,-63,-63,-63
f8:ab:05:4f:90:85,-84,-81,-83,-84,-81,-83,-84,-80,-82,-83,-84,-83,-82,-84,-82,-84,-82,-85,-88,-84,-86,-87,-83,-85,-86,-86,-83,-82,-82,-81,-82,-83,-82,-86,-86
f8:ab:05:4f:90:87,-90,-83,-82,-77,-81,-77,-76,-76,-82,-81,-79,-79,-83,-81,-79,-78,-82,-78,-78,-79
42:65:a3:ac:56:a6,-90
40:65:a3:a8:a7:4e,-88
34:8a:ae:6b:5e:6f,-87,-84,-87,-87,-86,-87,-86,-87,-86,-86,-86,-87,-87,-86,-87,-89,-88,-84,-86,-85
62:e3:27:a1:06:14,-87,-82,-88,-90
dc:fe:07:8c:bd:f8,-88,-89,-91,-89
b8:ee:0e:ba:fc:a3,-87,-86,-86,-87,-87,-89,-87,-87,-88,-87
b8:ee:0e:ba:fc:a2,-78,-75,-76,-72,-73,-76,-75,-76,-78,-73
34:8a:ae:6b:5e:6e,-66,-67,-67,-66,-66,-64,-66,-64,-66,-90,-64,-66,-66,-64,-67,-70,-72,-71,-69,-68,-70,-71,-74
58:d5:6e:a9:68:33,-85,-75,-77
18:60:24:d8:98:0a,-70,-73,-70,-71,-69,-70,-69,-74,-74,-71,-81,-74
78:24:af:7b:15:c8,-92
e6:ab:05:4f:90:85,-83,-81,-83,-85,-82,-82,-83,-81,-83,-83,-84,-84,-82,-83,-87,-84,-83,-83,-87,-83,-85,-86,-83,-84,-86,-86,-83,-81,-82,-82,-83,-83,-83,-86,-85
18:d6:c7:4d:3b:ee,-82,-82,-81,-80,-84,-84,-82,-82,-83,-82,-81,-82,-82,-81,-83,-80,-80,-79,-81,-83,-81,-82,-82,-82,-82,-81,-83,-81,-79,-78,-81,-79,-80,-80,-78
18:d6:c7:4d:3b:ec,-64,-67,-67,-66,-67,-67,-66,-67,-67,-68,-67,-67,-66,-68,-66,-67,-65,-67,-67,-65,-65,-67,-66,-66,-67
ac:f1:df:c8:c1:aa,-91,-85,-87,-87,-89,-88,-87,-87,-88,-88,-88,-86,-89,-88,-90,-89,-87,-90
5a:d7:75:f8:11:d9,-88,-90,-90,-88
7c:8b:ca:f9:9a:95,-87
58:d5:6e:a9:68:34,-90,-90,-91,-92,-90,-92,-90,-91,-91,-90,-93,-91,-90,-92,-90,-89,-92,-90,-92,-92,-90,-91,-92
18:a6:f7:bc:ed:39,-76,-75,-77,-76,-79,-77,-74,-81,-80,-78,-77,-79,-79,-84,-83,-85,-81
c4:09:38:6d:3b:09,-60,-54,-58,-59,-55,-56,-55,-57,-58,-57,-53,-56,-57,-56,-56,-56,-53,-57,-57,-56,-52,-59,-58,-54,-55,-58,-59,-62,-54,-59,-58,-58,-65,-63,-63
9c:c8:fc:2b:42:b3,-84,-85,-84,-85,-85,-85,-84,-85,-86,-88,-85,-85,-84,-86,-86,-82,-84,-83,-81,-82,-81,-82,-82,-82,-80,-83,-83,-82,-83,-82,-83,-82
9c:c8:fc:2b:42:b2,-66,-66,-65,-69,-81,-80,-75,-76
ec:ad:e0:d4:e8:f8,-86,-83,-84,-84
f8:ab:05:55:49:b6,-75,-71,-77,-75,-78,-78,-71,-76,-77,-73,-77,-80
