f0:82:61:46:9e:a9,-83,-87
3c:7a:8a:fd:23:d8,-83
54:64:d9:f7:ac:50,-73,-75,-74,-76,-76,-73,-75,-74,-75,-76,-76,-72,-75,-75,-79
70:8b:cd:c8:b1:30,-64,-61,-70,-59,-60,-59,-59,-63,-58,-59,-60,-59,-68,-60,-68,-66,-68,-68,-62,-67,-61
00:23:6a:75:42:66,-73,-82,-81,-82,-84,-81,-81,-81,-82,-80,-86,-82,-82,-81,-81,-80,-81,-82,-83,-81,-81,-82,-82,-83,-85,-81
88:ad:43:cf:e7:38,-70,-71,-71,-73,-73,-74,-72,-75,-72,-76,-70,-70,-69,-75,-70,-71,-73,-74,-74,-74,-70,-67,-68,-71,-70,-70,-69,-68,-71
2a:f5:a2:eb:f3:25,-84,-87,-86,-84,-86,-86,-83,-85,-86,-83,-88,-81,-84,-84
40:f2:01:fb:d7:bf,-86,-89,-72,-87
98:13:33:4a:7f:f8,-89,-90,-90,-85,-88,-88,-86,-84,-86,-89
60:e3:27:a1:06:17,-87,-85,-85
18:90:d8:dc:2b:2d,-83,-86,-88,-88,-88,-87,-89,-87,-88,-88,-87,-88,-87,-88,-88,-88,-87,-88,-89,-87,-88,-86,-87,-87,-89,-89,-87,-88,-88,-87,-87,-87,-87
ba:b9:8a:4d:24:ce,-89
18:90:d8:dc:2b:2f,-82
50:c7:bf:a2:64:6f,-82,-82,-82,-82,-82,-79
18:90:d8:dc:2b:2e,-65,-62,-60,-60,-59,-61,-62,-62,-60,-62,-61,-60,-59,-61,-63,-63,-62,-62,-63,-62,-62,-63,-62,-62,-62,-62,-64,-61,-61,-61,-62,-60,-87,-61
ec:08:6b:b6:59:0a,-87,-88,-90,-90
44:e9:dd:3e:bb:d6,-82
f8:ab:05:4f:90:86,-63,-63,-64,-62,-63,-64,-64,-63,-63,-64,-62,-80,-63,-64,-63,-64,-64,-63,-64,-64,-64,-65,-64,-65,-64,-65,-65,-63
f8:ab:05:4f:90:85,-91,-91,-91,-91,-91,-90,-92,-90,-90,-90,-92,-89,-89,-90,-89,-90,-89,-91,-90,-91
90:72:82:f2:08:76,-80,-88,-83,-90
5c:8f:e0:5a:a6:77,-88,-87,-88,-83,-88,-87
34:8a:ae:6b:5e:6f,-75,-80,-83,-81,-82,-83,-82,-82,-82,-82,-82,-81,-82,-82,-82,-82,-82,-81,-83,-82,-83,-82,-82,-80,-81,-81,-81,-81,-80,-82,-81,-82,-80,-81,-82
dc:fe:07:8c:bd:f8,-83,-80,-84,-79
62:e3:27:a1:06:14,-87
b8:ee:0e:ba:fc:a2,-75,-78,-82,-75,-81,-77,-74,-84
34:8a:ae:6b:5e:6e,-57,-87,-55,-54,-56,-56,-54,-54,-57,-55,-57,-54,-57,-56,-55,-55,-54,-54,-54,-58,-58,-56,-54
58:d5:6e:a9:68:33,-72,-72,-79,-80,-75,-79,-79,-78,-79,-78,-72,-77,-76
86:a0:6e:f3:15:2f,-88,-90,-87
18:60:24:d8:98:0a,-68,-78,-78,-79,-77,-75,-77,-66,-78,-70,-79,-78,-76,-77,-77,-79,-81,-76,-79,-78,-77,-78,-78,-77,-78,-77,-78
06:90:d8:dc:2b:2d,-85,-87,-89,-88,-87,-89,-87,-87,-87,-89,-87,-87,-87,-89,-87,-87,-87,-88,-87,-88,-88,-86,-86,-87,-87,-88,-88,-87,-88,-88,-88,-86,-88
5a:d7:75:f8:18:ed,-87
e6:ab:05:4f:90:85,-89,-90,-90,-89,-90,-90,-91,-89,-90,-90,-89,-90,-91,-91,-91
6c:ca:08:bf:62:95,-91,-91
18:d6:c7:4d:3b:ee,-64,-72,-71,-70,-70,-71,-70,-71,-71,-71,-71,-71,-71,-71,-71,-70,-70,-71,-71,-71,-71,-72,-71,-72,-72,-72,-71,-72,-72,-72,-72,-71,-72,-72,-72
50:c7:bf:a2:64:70,-88
18:d6:c7:4d:3b:ec,-59,-58,-59,-58,-59,-58,-58,-59,-59,-57,-58,-58,-57,-57,-59,-57,-57,-58,-58,-57,-57,-58,-59,-57,-58,-57,-57,-58,-58,-57,-58,-58,-57,-57,-56
5c:8f:e0:5b:3b:75,-90,-86,-82,-83,-84,-88,-90,-87,-89,-88,-88,-86
ac:f1:df:c8:c1:aa,-83,-82,-80,-81,-79,-79,-82,-83,-79,-82,-82,-81,-82,-81,-83,-83,-80,-81,-83,-82,-84
18:a6:f7:bc:ed:39,-76,-77,-76,-78,-77,-77,-76,-77,-77,-76,-76,-77,-77,-74,-75,-75,-77,-76,-75,-77,-77
84:a0:6e:f3:14:2e,-88,-86
c4:09:38:6d:3b:09,-41,-39,-38,-39,-38,-40,-40,-39,-40,-37,-40,-35,-39,-39,-38,-37,-36,-39,-40,-39,-39,-39,-38,-38,-38,-38,-37,-39,-39,-40,-39,-39,-39,-37,-36
40:65:a3:ac:56:a6,-83,-87,-85
9c:c8:fc:2b:42:b2,-67,-70,-73,-69,-72,-71,-86,-73,-86,-73,-85,-70,-87,-86
ec:ad:e0:d4:e8:f8,-81,-82,-82,-80,-82,-79,-79,-80,-78,-78,-81,-82,-81,-79,-78,-81,-81,-80,-78,-83,-82,-82,-81,-78
42:65:a3:a8:a7:4e,-89,-87,-89,-87,-87
f8:ab:05:55:49:b6,-71,-81,-82,-84,-72,-83,-83,-85,-78
44:e9:dd:4f:50:ea,-84,-79,-79,-80
