gpnum,x,y,ap1,ple1,ap2,ple2,ap3,ple3,ap4,ple4
1,1.437,0.01,0,10:bd:18:c6:b7:a0,-3.466526946107784,70:0f:6a:c8:29:40,5.2327064939428585,70:0f:6a:de:ba:60,5.378545583160829,70:0f:6a:de:c1:40,6.77479280464211
2,1.437,2.5,0,10:bd:18:c6:b7:a0,17.129631371605896,70:0f:6a:c8:29:40,5.55773144410517,70:0f:6a:de:ba:60,5.545934838058075,70:0f:6a:de:c1:40,7.049006843666795
3,1.437,5.0,0,10:bd:18:c6:b7:a0,10.129190031159624,70:0f:6a:c8:29:40,5.746378179573574,70:0f:6a:de:ba:60,5.552269824450342,70:0f:6a:de:c1:40,6.975175687941148
4,1.437,7.5,0,10:bd:18:c6:b7:a0,8.489651899853305,70:0f:6a:c8:29:40,5.919251224825123,70:0f:6a:de:ba:60,5.829734979547554,70:0f:6a:de:c1:40,6.519274769771404
5,1.437,10.0,0,10:bd:18:c6:b7:a0,7.146486486486486,70:0f:6a:c8:29:40,6.388516651700829,70:0f:6a:de:ba:60,6.289416048356887,70:0f:6a:de:c1:40,6.172572738326469
6,1.437,12.5,0,10:bd:18:c6:b7:a0,6.535714711392879,70:0f:6a:c8:29:40,6.966072928566498,70:0f:6a:de:ba:60,6.676167772568942,70:0f:6a:de:c1:40,5.683362790599558
7,2.687,1.25,0,10:bd:18:c6:b7:a0,28.643051384371226,70:0f:6a:c8:29:40,5.491844627895262,70:0f:6a:de:ba:60,5.511694740075891,70:0f:6a:de:c1:40,8.107683615129043
8,2.687,3.75,0,10:bd:18:c6:b7:a0,11.558074558031402,70:0f:6a:c8:29:40,5.618090294131325,70:0f:6a:de:ba:60,5.574573889853407,70:0f:6a:de:c1:40,7.68149245259494
9,2.687,6.25,0,10:bd:18:c6:b7:a0,8.624268903024072,70:0f:6a:c8:29:40,5.776217595561559,70:0f:6a:de:ba:60,5.695827715322483,70:0f:6a:de:c1:40,7.121502456541561
10,2.687,8.75,0,10:bd:18:c6:b7:a0,7.678946905504075,70:0f:6a:c8:29:40,6.004016514403592,70:0f:6a:de:ba:60,5.960355034795858,70:0f:6a:de:c1:40,6.396736895750914
11,2.687,11.25,0,10:bd:18:c6:b7:a0,7.073899002092639,70:0f:6a:c8:29:40,6.731531701131284,70:0f:6a:de:ba:60,6.418830650549633,70:0f:6a:de:c1:40,6.055792456212819
12,3.937,0.0,0,10:bd:18:c6:b7:a0,17.433390606220883,70:0f:6a:c8:29:40,5.328624674238548,70:0f:6a:de:ba:60,5.482708837749922,70:0f:6a:de:c1:40,8.704472650521078
13,3.937,2.5,0,10:bd:18:c6:b7:a0,12.788253237603598,70:0f:6a:c8:29:40,5.674800657506088,70:0f:6a:de:ba:60,5.52579711871854,70:0f:6a:de:c1:40,9.13379900948515
14,3.937,5.0,0,10:bd:18:c6:b7:a0,9.337455286923992,70:0f:6a:c8:29:40,5.837700456127492,70:0f:6a:de:ba:60,5.792149369084865,70:0f:6a:de:c1:40,8.208188346179972
15,3.937,7.5,0,10:bd:18:c6:b7:a0,8.082641604822484,70:0f:6a:c8:29:40,5.838052738664908,70:0f:6a:de:ba:60,5.709655147812541,70:0f:6a:de:c1:40,7.30580143293387
16,3.937,10.0,0,10:bd:18:c6:b7:a0,7.099102225791604,70:0f:6a:c8:29:40,6.367981509644792,70:0f:6a:de:ba:60,6.183502158052872,70:0f:6a:de:c1:40,6.551682277104038
17,3.937,12.5,0,10:bd:18:c6:b7:a0,6.717509539269365,70:0f:6a:c8:29:40,6.70733503767376,70:0f:6a:de:ba:60,6.287113593399582,70:0f:6a:de:c1:40,6.017120200542165
