gpnum,x,y,z,ap1,rss1,ap2,rss2,ap3,rss3,ap4,rss4,ap5,rss5,ap6,rss6,ap7,rss7
11,0.35,8.30,0,c4:09:38:6d:3b:09,-42,18:d6:c7:4d:3b:ec,-55,18:90:d8:dc:2b:2e,-61,34:8a:ae:6b:5e:6e,-54,C2:3B:C4:50:F8:6B,-78,DF:5A:33:2A:96:47,-62,DB:4F:6E:19:A2:52,-87
12,0.35,10.85,0,c4:09:38:6d:3b:09,-48,18:d6:c7:4d:3b:ec,-54,18:90:d8:dc:2b:2e,-66,34:8a:ae:6b:5e:6e,-47,C2:3B:C4:50:F8:6B,-85,DF:5A:33:2A:96:47,-51,DB:4F:6E:19:A2:52,-84
13,2.90,10.85,0,c4:09:38:6d:3b:09,-46,18:d6:c7:4d:3b:ec,-45,18:90:d8:dc:2b:2e,-60,34:8a:ae:6b:5e:6e,-58,C2:3B:C4:50:F8:6B,-81,DF:5A:33:2A:96:47,-72,DB:4F:6E:19:A2:52,-84
14,5.45,10.85,0,c4:09:38:6d:3b:09,-61,18:d6:c7:4d:3b:ec,-53,18:90:d8:dc:2b:2e,-63,34:8a:ae:6b:5e:6e,-65,C2:3B:C4:50:F8:6B,-83,DF:5A:33:2A:96:47,-80,DB:4F:6E:19:A2:52,-75
15,8.00,10.85,0,c4:09:38:6d:3b:09,-60,18:d6:c7:4d:3b:ec,-47,18:90:d8:dc:2b:2e,-58,34:8a:ae:6b:5e:6e,-70,C2:3B:C4:50:F8:6B,-87,DF:5A:33:2A:96:47,-82,DB:4F:6E:19:A2:52,-68
16,1.625,9.575,0,c4:09:38:6d:3b:09,-50,18:d6:c7:4d:3b:ec,-54,18:90:d8:dc:2b:2e,-65,34:8a:ae:6b:5e:6e,-51,C2:3B:C4:50:F8:6B,-81,DF:5A:33:2A:96:47,-67,DB:4F:6E:19:A2:52,-83
17,4.175,9.575,0,c4:09:38:6d:3b:09,-56,18:d6:c7:4d:3b:ec,-49,18:90:d8:dc:2b:2e,-55,34:8a:ae:6b:5e:6e,-63,C2:3B:C4:50:F8:6B,-84,DF:5A:33:2A:96:47,-76,DB:4F:6E:19:A2:52,-79
18,6.725,9.575,0,c4:09:38:6d:3b:09,-64,18:d6:c7:4d:3b:ec,-48,18:90:d8:dc:2b:2e,-56,34:8a:ae:6b:5e:6e,-68,C2:3B:C4:50:F8:6B,-87,DF:5A:33:2A:96:47,-79,DB:4F:6E:19:A2:52,-71
19,5.45,8.30,0,c4:09:38:6d:3b:09,-55,18:d6:c7:4d:3b:ec,-50,18:90:d8:dc:2b:2e,-60,34:8a:ae:6b:5e:6e,-61,C2:3B:C4:50:F8:6B,-82,DF:5A:33:2A:96:47,-79,DB:4F:6E:19:A2:52,-72
20,8.00,8.30,0,c4:09:38:6d:3b:09,-64,18:d6:c7:4d:3b:ec,-41,18:90:d8:dc:2b:2e,-56,34:8a:ae:6b:5e:6e,-62,C2:3B:C4:50:F8:6B,-91,DF:5A:33:2A:96:47,-76,DB:4F:6E:19:A2:52,-75
