e8:2c:6d:0d:ee:a2,-82
24:f5:a2:eb:f3:25,-80
3c:7a:8a:fd:23:d8,-78
54:64:d9:f7:ac:50,-75,-70
00:23:6a:75:42:66,-78
2a:f5:a2:eb:f3:25,-79
60:e3:27:a1:06:17,-74,-70
18:90:d8:dc:2b:2d,-91
18:90:d8:dc:2b:2e,-81,-72
ec:08:6b:b6:59:0a,-88
f8:ab:05:4f:90:86,-76,-71
f8:ab:05:4f:90:85,-89
62:e3:27:a1:06:14,-79,-73
34:8a:ae:6b:5e:6f,-80
06:90:d8:dc:2b:2d,-92
6c:ca:08:bf:62:95,-88,-85
e6:ab:05:4f:90:85,-89
18:d6:c7:4d:3b:ee,-84,-78
50:c7:bf:a2:64:70,-86,-80
18:d6:c7:4d:3b:ec,-71,-63
ac:f1:df:c8:c1:aa,-79,-80
18:a6:f7:bc:ed:39,-79
c4:09:38:6d:3b:09,-35,-33
ec:ad:e0:d4:e8:f8,-81
44:e9:dd:4f:50:ea,-70,-67
3a:b1:db:82:9d:c1,-74,-70
