64:66:24:f5:87:f6,-88
e8:2c:6d:0d:ee:a2,-90
3c:7a:8a:fd:23:d8,-84,-86,-85,-85,-86
98:13:33:4a:7f:f8,-73,-73,-72,-67,-72,-72,-73,-71,-81,-75,-71,-74,-71,-74,-72,-70,-69,-71,-74,-72,-72,-73,-71,-74,-72,-73,-72,-72,-72,-72,-73,-74,-73
c0:7c:d1:0b:3a:78,-65,-73,-68,-72,-64,-72,-70,-73,-73,-72,-66,-72,-72,-66,-71,-71,-71,-71,-68,-71,-72,-73,-72,-74
18:90:d8:dc:2b:2d,-83,-86,-86,-85,-84,-85,-84,-86,-86,-85,-85,-85,-84,-87,-86,-85,-85,-85,-84,-85,-85,-85,-85,-85,-85,-86,-85,-84,-85,-84,-85,-84
18:90:d8:dc:2b:2f,-83,-84,-82,-83,-83,-84,-83,-83,-84,-83,-83,-83,-83,-84,-84,-84,-84,-83,-84,-83,-83,-83,-83,-84,-83,-83,-83,-84,-83,-85,-90,-84,-83,-83
18:90:d8:dc:2b:2e,-56,-62,-62,-62,-63,-62,-63,-64,-77,-65,-63,-64,-63,-63,-64,-64,-64,-63,-64,-63,-64,-64,-63,-63,-63,-63,-63,-63,-63,-62,-64,-61,-63,-61
f0:82:61:46:9e:aa,-89,-91,-91,-91,-92,-90,-91,-91,-91,-91,-91,-91,-91,-89,-91,-92,-91,-93,-91,-91,-90,-90
54:64:d9:eb:7b:8f,-84
b8:ee:0e:ba:fc:a3,-87,-88,-87,-88,-86,-88,-86,-88,-87,-87,-86,-86,-86,-87,-88,-88,-88,-87,-87,-90,-88,-88,-88,-89,-88,-88,-88,-87,-86,-87,-85,-87,-88,-86,-86
34:8a:ae:6b:5e:6f,-90,-91,-89,-89,-88,-89,-90,-89,-89,-89,-90,-90,-90,-89,-89,-90,-91,-89,-90,-88,-91,-90,-90,-89,-90,-89,-89,-90,-90,-89,-89,-88,-89
b8:ee:0e:ba:fc:a2,-67,-68,-69,-70,-64,-64,-64,-67,-66,-65,-65,-68,-66,-70,-67,-68,-65,-66,-65,-66,-65,-67,-69,-64,-67,-68
88:a6:c6:7b:56:96,-89,-89,-91,-88,-87,-89,-90,-88,-88,-86,-88,-88,-88,-87,-86
34:8a:ae:6b:5e:6e,-64,-63,-63,-67,-64,-66,-65,-66,-65,-65,-67,-65,-69,-66,-66
40:c7:29:f6:4f:86,-89,-90,-91,-91,-90
18:60:24:d8:98:0a,-76,-78,-79,-78,-78,-74,-78,-79,-77,-76,-76,-75,-77,-79,-75,-75,-77
06:90:d8:dc:2b:2d,-85,-85,-86,-85,-84,-84,-84,-85,-85,-85,-85,-85,-85,-86,-87,-85,-86,-84,-84,-85,-85,-85,-84,-85,-84,-86,-84,-85,-85,-86,-85,-85,-85,-85
78:24:af:7b:15:c8,-87
e6:ab:05:4f:90:85,-88,-88,-88,-88,-90,-89,-89,-87,-88,-88,-89,-89,-89,-90,-90,-88,-88,-89,-88,-89,-87,-89,-88,-88,-89,-89,-89,-88,-89
18:d6:c7:4d:3b:ee,-70,-69,-69,-68,-68,-68,-68,-68,-68,-68,-67,-68,-69,-69,-68,-68,-68,-67,-69,-68,-67,-68,-69,-68,-69,-69,-69,-68,-68,-68,-68,-68,-67,-68,-69
18:d6:c7:4d:3b:ec,-54,-51,-55,-54,-53,-53,-53,-53,-53,-53,-52,-54,-54,-53,-53,-53,-53,-54,-54,-53,-53,-53,-53,-53,-52,-55,-53,-52,-51,-54,-54,-54,-52
5a:d7:75:f8:11:d9,-83,-86,-84,-79,-85,-88,-86,-84,-84,-84,-79,-84
c4:09:38:6d:3b:09,-61,-60,-60,-60,-63,-62,-60,-62,-61,-61,-59,-60,-59,-51,-60,-60,-60,-61,-61,-61,-60,-60,-60,-61,-62,-60,-61,-62,-62,-62,-64,-60,-61,-63,-60
9c:c8:fc:2b:42:b3,-91,-92,-93,-91,-90,-90,-91,-92,-92,-91,-90,-91,-92,-91,-90,-92,-91,-91,-91,-91,-92,-90
9c:c8:fc:2b:42:b2,-66,-68,-68,-68,-67,-68,-76,-66,-67,-67,-69,-68,-67,-67,-79
c4:04:15:17:e1:90,-87,-88
f8:ab:05:55:49:b6,-81,-80,-80,-73,-80,-79,-79,-81,-79,-79,-81
44:e9:dd:4f:50:ea,-83,-81,-80,-80
f0:82:61:46:9e:a9,-67,-68,-68,-68,-67,-68,-66,-65,-69,-67,-68,-67,-68,-67,-65,-64,-64,-68,-66,-65,-64,-68,-69,-66,-67,-64,-68,-67,-66,-69
7a:8a:20:54:02:a2,-84,-87,-90
