e8:2c:6d:0d:ee:a2,-84
62:f2:62:99:01:97,-25,-14,-13,-14,-20,-19,-14,-19,-19,-19,-18,-19,-14,-19,-19,-18,-17,-18,-18,-18,-18,-18,-13,-14,-18,-18,-18,-18,-18,-14,-14,-18,-18,-17,-18
3c:7a:8a:fd:23:d8,-79,-79,-83,-78
70:8b:cd:c8:b1:30,-68,-65,-65,-61,-61,-64,-63,-61,-63,-60,-61,-62,-62,-61,-56,-61,-62,-62,-60,-60,-62,-61,-59,-60,-61,-63,-60,-61,-61,-59
84:16:f9:9f:45:e9,-88
40:f2:01:fb:d7:bf,-77
98:13:33:4a:7f:f8,-80,-82,-90,-81
60:e3:27:a1:06:17,-87,-78
18:90:d8:dc:2b:2d,-84,-86,-84,-89,-88,-86,-89,-90,-87,-88,-89,-89,-88,-88,-89,-89,-89,-87,-89,-87,-88,-88,-89,-89,-88,-88,-88,-89,-88,-88,-89,-88,-89,-90
18:90:d8:dc:2b:2f,-84,-84,-85,-85,-85,-85,-84,-85,-86,-84,-86,-85,-85,-84,-85,-85,-84,-85,-84,-84,-85,-85,-85,-85,-85,-85,-86,-85
18:90:d8:dc:2b:2e,-68,-71,-69,-69,-70,-70,-72,-71,-69,-70,-67,-69,-66,-71,-69,-68,-69,-66,-70,-69,-68,-68,-62,-70,-69,-69,-70,-69,-71,-68
42:65:a3:ac:56:a6,-85,-79,-77,-79,-79,-85
34:8a:ae:6b:5e:6f,-80,-80,-79,-80,-82,-80,-82,-83,-83,-83,-84,-83,-83,-83,-84,-84,-83,-83,-83,-84,-82,-82,-84,-82,-83,-83,-82,-81,-82,-84,-82,-82,-83,-82,-83
dc:fe:07:8c:bd:f8,-74,-73,-76,-76
b8:ee:0e:ba:fc:a2,-76,-79,-76,-76,-75,-76,-75,-73,-78,-76,-74,-77,-77,-75,-75,-76
34:8a:ae:6b:5e:6e,-61,-66,-63,-62,-62,-66,-65,-63,-63,-64,-61,-62,-63,-61,-61,-62,-64,-64,-63,-63,-62,-64,-64
18:60:24:d8:98:0a,-78,-73,-73,-70,-75,-72,-70,-75,-70,-67
06:90:d8:dc:2b:2d,-85,-86,-86,-89,-88,-87,-87,-88,-87,-87,-87,-88,-88,-88,-89,-90,-89,-88,-88,-87,-88,-87,-90,-88,-88,-89,-88,-89,-87,-90,-88,-89,-88,-89
e6:ab:05:4f:90:85,-86,-87,-86,-88,-88,-90,-88,-89,-88,-88,-89,-90,-88,-88,-88,-89,-88,-88,-88,-89,-88,-88,-89,-87,-90,-88,-89,-87,-87,-89,-87,-88,-90
6c:ca:08:bf:62:95,-90,-90,-89,-88,-89,-89,-89,-90,-90,-89,-91,-89,-90,-89,-90,-88,-90,-89,-89,-91,-90,-89,-89,-89,-88,-89,-91,-88,-89,-88,-89,-89,-89
18:d6:c7:4d:3b:ee,-72,-71,-75,-73,-75,-74,-74,-75,-74,-74,-73,-74,-74,-74,-74,-83,-74,-73,-74,-74,-74,-74,-74,-74,-74,-74,-75,-74,-74,-74,-74,-74,-74,-74,-74
50:c7:bf:a2:64:70,-84,-82,-82,-83,-82,-82,-82,-82,-82,-82,-82,-82,-82,-83,-82,-82,-81,-81,-82,-81,-82,-81,-82,-84,-82,-81,-81,-81
