e8:2c:6d:0d:ee:a2,-88,-82,-79
24:f5:a2:eb:f3:25,-76
62:f2:62:99:01:97,-35,-30,-37,-29,-29,-31,-36,-38,-38,-29,-38,-29,-36,-38,-39,-32,-29,-30,-37,-37,-37,-29,-39,-39,-39,-29,-37,-29,-39,-38,-30,-30,-30,-39,-32
54:64:d9:f3:0e:01,-91
3c:7a:8a:fd:23:d8,-80
70:8b:cd:c8:b1:30,-53,-62,-62,-64,-52,-62,-54,-62,-53,-60,-61,-51,-62,-60,-52,-62,-52,-52,-61,-51,-61,-52
98:13:33:4a:7f:f8,-90,-86
18:90:d8:dc:2b:2d,-81,-83,-82,-84,-84,-82,-83,-82,-82,-82,-82,-83,-84,-81,-83,-83,-84,-84,-83,-82,-81,-82,-83,-82,-82,-81,-82,-82,-82,-82,-82,-82,-82,-82
ba:b9:8a:4d:24:ce,-89
18:90:d8:dc:2b:2f,-82,-84,-83,-84,-84,-84,-83,-84,-84,-83,-83,-83,-84,-83,-84,-83,-84,-84,-85,-85,-91,-83,-84,-84,-84,-83,-84,-84,-91,-84,-84,-83,-84,-84
18:90:d8:dc:2b:2e,-70,-57,-54,-54,-54,-53,-54,-52,-55,-55,-53,-52,-54,-53,-52,-54,-52,-54,-51,-64,-53,-52,-52,-54,-53,-56,-53,-54,-53,-54,-53,-71,-52,-54
b8:ee:0e:e4:c3:96,-88
42:65:a3:ac:56:a6,-89,-76,-80,-79,-77,-76,-80
34:8a:ae:6b:5e:6f,-82,-79,-77,-78,-77,-78,-77,-77,-77,-77,-77,-77,-77,-76,-77,-76,-76,-76,-76,-76,-76,-76,-76,-77,-76,-77,-77,-76,-76,-77,-76,-76,-76,-76,-76
dc:fe:07:8c:bd:f8,-76,-81,-76,-79
94:8f:cf:81:3e:0d,-89
b8:ee:0e:ba:fc:a2,-79,-77,-72,-74,-85,-78,-80,-84,-86,-77
34:8a:ae:6b:5e:6e,-60,-49,-55,-57,-57,-54,-35,-55,-55,-60,-52,-54,-58,-58,-57,-54,-54,-55,-57,-55,-57,-54,-54,-56,-55,-57,-54
18:60:24:d8:98:0a,-82,-76,-76,-72,-71
