7a:08:4f:42:96:f9,-87
f0:82:61:46:9e:a9,-78,-80,-79,-78,-83,-81,-74,-78,-78,-77,-78,-79,-77,-84,-78
98:da:c4:52:b7:d6,-89,-91,-90
b6:b9:8a:4d:2b:9f,-89,-89
54:64:d9:f7:ac:50,-80,-80,-76,-79,-80,-80,-74,-77,-78,-78,-76,-80,-77
70:8b:cd:c8:b1:30,-81
42:c7:29:f6:96:90,-90,-90,-90,-88,-92,-89
9e:da:c4:52:b7:d6,-92,-89,-91
40:f2:01:fb:d7:bf,-88,-87,-84
88:ad:43:cf:e7:38,-85,-83,-84
98:13:33:4a:7f:f8,-86,-87,-83
18:90:d8:dc:2b:2d,-74,-72,-71,-72,-71,-72,-72,-71,-71,-71,-71,-71,-72,-72,-72,-72,-71,-74,-71,-71,-72,-72,-72,-72,-72,-71,-73,-72,-71,-71,-72,-72,-73,-72
c0:7c:d1:0b:3a:78,-88,-91
18:90:d8:dc:2b:2f,-88,-67,-66,-67,-65,-67,-67,-66,-66,-67,-67,-67,-66,-66,-67,-67,-66,-66,-66,-66,-67,-66,-67,-67,-67,-66,-67,-67,-66,-67,-67,-67,-67,-66,-67
50:c7:bf:a2:64:6f,-89,-88,-86
18:90:d8:dc:2b:2e,-58,-57,-56,-58,-56,-55,-56,-58,-56,-58,-56,-56,-56,-56,-58,-56,-55,-55,-55,-57,-56,-56,-54,-56,-56,-56,-56,-55,-56,-56,-56,-55,-56
42:c7:29:f6:96:97,-90,-87,-90,-87,-88,-89,-90,-91,-89,-89,-88,-90,-90,-89
f8:ab:05:4f:90:86,-76
90:72:82:f2:08:76,-89,-89,-92,-92,-89,-90,-90,-89
40:c7:29:f6:95:96,-87,-88,-90,-91,-90
34:8a:ae:6b:5e:6f,-79,-81,-82,-82,-80,-79,-81,-81,-80,-81,-79,-80,-79,-79,-80,-80,-79,-79,-80,-80,-79,-79,-80,-80,-80,-79,-81,-80,-79,-80,-80,-80,-80,-80
62:e3:27:a1:06:14,-85,-85,-86,-85,-85,-87,-86,-86,-86,-88,-86,-88,-87,-86,-86,-84,-84
b8:ee:0e:ba:fc:a2,-85,-77,-78,-79,-77,-80,-78,-77,-76,-77,-77,-78,-80,-76,-76,-77,-78,-79,-77,-79,-80,-80,-78,-78,-81,-79,-78
34:8a:ae:6b:5e:6e,-78,-70,-69,-67,-67,-67,-68,-68,-67,-67,-67,-68,-68,-68,-66,-66,-67,-65,-67,-67,-68,-67,-67,-68,-67,-66,-67,-70
88:a6:c6:7b:56:96,-87,-84,-84
58:d5:6e:a9:68:33,-81
18:60:24:d8:98:0a,-86,-88
06:90:d8:dc:2b:2d,-74,-73,-71,-72,-72,-72,-72,-71,-71,-72,-71,-72,-72,-72,-72,-73,-71,-72,-72,-72,-72,-72,-72,-72,-72,-72,-73,-72,-71,-71,-72,-72,-73,-72
34:64:a9:87:16:87,-94
00:cb:51:99:54:0a,-78
18:d6:c7:4d:3b:ee,-64,-54,-54,-54,-54,-54,-54,-54,-54,-54,-53,-54,-54,-54,-54,-54,-54,-55,-55,-54,-54,-55,-54,-55,-54,-54,-53,-55,-55,-55,-55,-54,-54,-54,-55
18:d6:c7:4d:3b:ec,-60,-49,-48,-48,-48,-47,-46,-48,-48,-48,-48,-47,-46,-47,-48,-48,-48,-48,-48,-48,-47,-48,-48,-47,-48,-47,-49,-47,-47,-47,-47,-48,-46,-47,-48
ba:b9:8a:4d:2b:9f,-89,-89
88:a6:c6:7b:0b:5e,-80,-80,-90,-90,-82,-91,-87,-89,-80,-81,-78,-90,-80,-88,-78,-88,-90
ac:f1:df:c8:c1:aa,-89,-88,-91,-89,-89,-88,-88,-90,-89
3c:7a:8a:fd:87:d4,-90
18:a6:f7:bc:ed:39,-85,-88,-86,-85,-88,-84,-88,-87,-82
c4:09:38:6d:3b:09,-65,-66,-63,-64,-64,-64,-66,-63,-67,-63,-63,-64,-64,-62,-64,-63,-64,-62,-64,-64,-62,-64,-62,-63,-64,-64,-63,-62,-63,-63,-65,-62,-64,-62,-61
7a:08:4f:42:96:71,-89
f2:82:61:3e:42:a2,-89
9c:c8:fc:2b:42:b2,-87,-88
44:e9:dd:4f:50:ea,-91,-88,-87,-85,-86,-88
