e8:2c:6d:0d:ee:a2,-83,-83,-87,-87,-89
24:f5:a2:eb:f3:25,-86,-88
f0:82:61:46:9e:a9,-73,-74,-74,-69,-78,-72,-68,-74,-74,-76,-73,-73,-74
18:1e:78:00:25:5e,-88
a0:8c:fd:5e:48:c3,-80
da:13:99:7b:d9:5e,-82,-82
3c:7a:8a:fd:23:d8,-82
54:64:d9:f7:ac:50,-82
70:8b:cd:c8:b1:30,-77,-73,-82,-71,-76,-79,-70,-71
00:23:6a:75:42:66,-85,-86,-89,-85,-84,-84,-86,-86,-84,-86,-91,-81,-86,-85,-85,-83,-85,-81,-82,-79,-79
12:08:b1:54:f0:9c,-88,-88
88:ad:43:cf:e7:38,-76,-78
98:13:33:4a:7f:f8,-81,-81,-76,-80,-83,-81,-78,-79,-87,-78,-81,-79,-80,-78,-85,-78,-80,-79,-79,-78,-77,-76,-79,-79,-88,-86,-79,-84,-78,-85
60:e3:27:a1:06:17,-83
18:90:d8:dc:2b:2d,-92,-92
50:c7:bf:a2:64:6f,-79,-81,-81,-84
18:90:d8:dc:2b:2e,-78,-69,-74,-69,-71,-70
f8:ab:05:4f:90:86,-54,-67,-60,-60,-57,-58,-57,-59,-61,-61,-58,-58,-59,-59,-58,-58,-64,-58,-58,-59,-58,-59,-59,-59,-60
f8:ab:05:4f:90:85,-82,-78,-83,-83,-83,-81,-81,-81,-81,-81,-82,-82,-78,-81,-79,-77,-80,-76,-77,-77,-82,-77,-77,-81,-78,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
f8:ab:05:4f:90:87,-73,-74,-72,-72,-73,-73,-72,-73,-72,-72,-73,-73,-73,-72,-73,-72,-73,-72,-73,-73,-72,-72,-72,-72,-72,-76,-72,-72,-72,-73,-76,-71
dc:fe:07:8c:bd:f8,-83,-83,-85,-83,-82
34:8a:ae:6b:5e:6f,-85,-80,-83,-84,-84,-80,-83,-83,-84,-83,-80,-82,-80,-82,-82,-83,-82,-81,-80,-83,-81,-82,-80,-82,-81,-82,-82,-80,-83,-81,-82,-83,-81,-81,-83
62:e3:27:a1:06:14,-82,-83,-82,-83,-82,-84,-84,-81,-83,-81,-80,-82
b8:ee:0e:ba:fc:a3,-87,-88,-85,-86,-86,-87,-86,-87,-86,-86,-86,-85,-85,-87,-87,-86,-85,-85,-87,-87,-88,-86,-86,-85
b8:ee:0e:ba:fc:a2,-76,-79,-76,-75,-75,-75,-77,-76
34:8a:ae:6b:5e:6e,-58,-57,-57,-57,-59,-57,-56,-57,-58,-59,-57,-57,-58,-56,-57,-57,-57,-58,-57,-57,-57,-56,-57,-58,-57,-58,-58,-58,-57,-58
58:d5:6e:a9:68:33,-74,-77
18:60:24:d8:98:0a,-76,-72,-73,-68,-72,-68,-73,-69,-71,-71,-72,-76,-68,-73,-72,-72,-69,-71
5a:d7:75:f8:18:ed,-85,-88,-86
06:90:d8:dc:2b:2d,-93,-92
e6:ab:05:4f:90:85,-82,-78,-83,-84,-83,-81,-81,-81,-80,-81,-78,-81,-78,-81,-79,-77,-82,-77,-77,-77,-82,-77,-78,-81,-78,-77,-77,-77,-77,-77,-78,-77,-77,-77,-77
18:d6:c7:4d:3b:ee,-82,-83,-83,-82,-82,-80,-77,-79,-79,-78,-79,-80,-79,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-79,-79,-79,-80,-80,-79,-79,-79,-79,-81,-79,-82
18:d6:c7:4d:3b:ec,-69,-68,-68,-63,-63,-66,-64,-64,-64,-64,-64,-63,-63,-63,-65,-64,-64,-64,-62,-64,-64,-64,-64,-64,-63,-64,-64,-64,-62,-64,-64,-67
58:d5:6e:a9:68:34,-91,-91
18:a6:f7:bc:ed:39,-70,-80,-74,-71,-73,-71,-68,-73,-69,-74,-69,-70,-68,-72,-72,-72,-69,-72,-68,-71,-69,-68,-68,-68,-72
c4:09:38:6d:3b:09,-52,-50,-53,-51,-54,-52,-52,-51,-52,-52,-51,-53,-51,-53,-51,-53,-50,-51,-51,-51,-52,-51,-52,-51,-52,-53,-50,-52,-51,-53,-53,-51,-51,-52,-51
9c:c8:fc:2b:42:b3,-92,-89,-89,-88,-89,-89,-90,-90,-89,-89,-89,-89,-88,-90,-89,-89,-89,-89,-90,-90,-90,-89
9c:c8:fc:2b:42:b2,-81,-67,-61,-63,-63,-64,-64,-67,-64,-65,-63
ec:ad:e0:d4:e8:f8,-82,-79,-80,-81,-83,-81,-81,-84,-83,-82
f8:ab:05:55:49:b6,-76,-71,-74,-72,-69,-70,-68,-69,-76,-70,-76,-69,-69,-70,-69,-69,-73,-71
