18:90:d8:dc:2b:2e,-81,-69,-69,-73,-72,-70,-65,-66,-67,-71,-71,-67,-68,-65,-71,-66,-65,-67,-65,-67,-66
34:8a:ae:6b:5e:6e,-62,-56,-55,-54,-54,-55,-57,-56,-61,-60,-54,-56,-55,-56,-53,-54,-53,-52,-60,-60,-61,-55,-50
18:d6:c7:4d:3b:ec,-55,-54,-54,-54,-56,-57,-54,-54,-53,-54,-57,-56,-55,-54,-55,-55,-54,-54,-53,-56,-54,-53,-55,-54,-53,-52,-53,-54,-54,-54,-55,-56,-57,-55,-56
c4:09:38:6d:3b:09,-52,-51,-53,-52,-52,-55,-52,-52,-52,-52,-51,-53,-52,-52,-54,-51,-49,-52,-53,-50,-50,-53,-53,-52,-52,-52,-54,-52,-51,-51,-52,-52,-51,-52,-51
