18:90:d8:dc:2b:2e,-69
34:8a:ae:6b:5e:6e,-65,-61,-63,-65,-65,-62,-66,-60,-67,-63,-66,-64,-63,-65,-68,-63,-61,-64,-61,-62,-62
18:d6:c7:4d:3b:ec,-67,-65,-64,-67,-65,-66,-63,-64,-64,-63,-63,-63,-63,-63,-63,-63,-62,-63,-64,-64,-64,-63,-64,-62,-65,-64,-63,-64,-61,-64,-65
c4:09:38:6d:3b:09,-50,-53,-53,-53,-50,-50,-50,-52,-52,-53,-53,-53,-53,-52,-52,-54,-52,-53,-53,-54,-54,-53,-52,-51,-53,-53,-52,-53,-53,-54,-54,-54,-52,-52,-49
f8:ab:05:4f:90:86,-51,-54,-50,-49,-50,-52,-51,-55,-52,-52,-55,-52,-54,-53,-54,-54,-55,-52,-52,-54,-55,-55,-55,-52,-56,-53,-54,-73,-53,-55,-56,-54
C2:3B:C4:50:F8:6B,-86,-87,-90,-93,-94,-94,-91,-88,-93,-96,-88
CF:27:BE:19:4E:31,-74,-75,-77,-74,-73,-74,-73,-85,-92,-85,-92,-77,-76,-74,-70,-70,-69,-81,-78,-81,-80,-74,-75,-75,-75,-75,-71,-70,-70,-83
CA:D9:80:DE:59:61,-88,-90,-83,-74,-74,-74,-74,-83,-86,-84,-80,-82,-95,-91,-90,-72,-73,-73,-81,-81,-80,-80,-81,-89,-90,-94,-74,-72,-74,-73,-71,-71,-81
CE:F1:1F:F8:97:20,-65,-66,-66,-74,-72,-74,-76,-74,-78,-73,-73,-64,-63,-65,-65,-76,-75,-72,-71,-70,-74,-68,-72,-76,-65,-65,-65,-66,-82,-80,-77,-84,-85,-73,-74
DF:5A:33:2A:96:47,-83,-85,-96,-82,-83,-82,-82,-83,-90,-90,-94,-85,-84,-85,-82,-82,-81,-81,-82,-82,-82,-96,-89,-96,-96,-85,-84,-84,-79,-82,-81,-80,-80,-90
DB:4F:6E:19:A2:52,-90,-99,-93,-89,-90,-94,-91,-94,-94,-104,-91,-92,-90,-90,-91,-89,-98,-92,-87,-89,-89,-91,-90
FC:B0:61:E1:7F:E2,-74,-72,-77,-79,-78,-78,-78,-75,-75,-76,-76,-76,-74,-73,-73,-73,-73,-74,-75,-78,-76,-77,-79,-75,-73,-72,-73,-72,-72,-74,-83
C2:3B:C4:50:F8:6B,-86,-87,-90,-93,-94,-94,-91,-88,-93,-96,-88
CF:27:BE:19:4E:31,-74,-75,-77,-74,-73,-74,-73,-85,-92,-85,-92,-77,-76,-74,-70,-70,-69,-81,-78,-81,-80,-74,-75,-75,-75,-75,-71,-70,-70,-83
CA:D9:80:DE:59:61,-88,-90,-83,-74,-74,-74,-74,-83,-86,-84,-80,-82,-95,-91,-90,-72,-73,-73,-81,-81,-80,-80,-81,-89,-90,-94,-74,-72,-74,-73,-71,-71,-81
CE:F1:1F:F8:97:20,-65,-66,-66,-74,-72,-74,-76,-74,-78,-73,-73,-64,-63,-65,-65,-76,-75,-72,-71,-70,-74,-68,-72,-76,-65,-65,-65,-66,-82,-80,-77,-84,-85,-73,-74
DF:5A:33:2A:96:47,-83,-85,-96,-82,-83,-82,-82,-83,-90,-90,-94,-85,-84,-85,-82,-82,-81,-81,-82,-82,-82,-96,-89,-96,-96,-85,-84,-84,-79,-82,-81,-80,-80,-90
DB:4F:6E:19:A2:52,-90,-99,-93,-89,-90,-94,-91,-94,-94,-104,-91,-92,-90,-90,-91,-89,-98,-92,-87,-89,-89,-91,-90
FC:B0:61:E1:7F:E2,-74,-72,-77,-79,-78,-78,-78,-75,-75,-76,-76,-76,-74,-73,-73,-73,-73,-74,-75,-78,-76,-77,-79,-75,-73,-72,-73,-72,-72,-74,-83
