70:0f:6a:de:c1:40,Sheridan Secure Access,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63
70:0f:6a:c8:29:40,Sheridan Secure Access,-77,-78,-78,-78,-78,-79,-79,-79,-79,-79,-77,-77,-77,-77,-78,-78,-78,-78,-78,-78,-78,-78,-78,-79,-79,-79,-79,-78,-78,-79,-79,-79,-79,-79,-79
10:bd:18:c6:b7:a0,eduroam,-81,-78,-78,-79,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-81,-79,-80,-80,-81,-81,-80,-80,-79,-79
70:0f:6a:de:ba:60,Sheridan Secure Access,-82,-83,-82,-82,-82,-82,-82,-82,-82,-82,-82,-82,-82,-82,-82,-82,-82,-82,-82,-82,-82,-82,-82,-82,-82,-82,-82,-82,-82,-82,-82,-82,-82,-82,-82
10:bd:18:c6:b7:a0,Sheridan Secure Access,-88,-87,-88,-89,-88,-89,-87,-88,-87,-87
